,S,average cover size,k,run time
0,[14949],5.909999999999995,1,123.928605
1,"[14949, 4429]",11.33,2,123.93095720000002
2,"[14949, 4429, 33]",16.469999999999995,3,124.03421230000001
3,"[14949, 4429, 33, 10519]",21.519999999999985,4,124.2028138
4,"[14949, 4429, 33, 10519, 12771]",26.529999999999998,5,124.4318212
5,"[14949, 4429, 33, 10519, 12771, 8]",30.95999999999999,6,124.76562380000001
6,"[14949, 4429, 33, 10519, 12771, 8, 297]",34.46,7,125.19705680000001
7,"[14949, 4429, 33, 10519, 12771, 8, 297, 481]",38.48000000000001,8,125.70834010000002
8,"[14949, 4429, 33, 10519, 12771, 8, 297, 481, 9106]",42.449999999999996,9,126.272144
9,"[14949, 4429, 33, 10519, 12771, 8, 297, 481, 9106, 8939]",46.160000000000025,10,127.02373309999999
10,"[14949, 4429, 33, 10519, 12771, 8, 297, 481, 9106, 8939, 1241]",50.54999999999996,11,127.84678350000002
11,"[14949, 4429, 33, 10519, 12771, 8, 297, 481, 9106, 8939, 1241, 5765]",52.44999999999998,12,128.7785853
12,"[14949, 4429, 33, 10519, 12771, 8, 297, 481, 9106, 8939, 1241, 5765, 3661]",55.28000000000002,13,129.7582967
13,"[14949, 4429, 33, 10519, 12771, 8, 297, 481, 9106, 8939, 1241, 5765, 3661, 244]",59.04999999999996,14,130.9216258
14,"[14949, 4429, 33, 10519, 12771, 8, 297, 481, 9106, 8939, 1241, 5765, 3661, 244, 5913]",62.59,15,132.0420109
15,"[14949, 4429, 33, 10519, 12771, 8, 297, 481, 9106, 8939, 1241, 5765, 3661, 244, 5913, 80341]",66.64,16,133.3097874
16,"[14949, 4429, 33, 10519, 12771, 8, 297, 481, 9106, 8939, 1241, 5765, 3661, 244, 5913, 80341, 33399]",69.21000000000002,17,134.8156536
17,"[14949, 4429, 33, 10519, 12771, 8, 297, 481, 9106, 8939, 1241, 5765, 3661, 244, 5913, 80341, 33399, 3673]",71.18999999999998,18,136.2713862
18,"[14949, 4429, 33, 10519, 12771, 8, 297, 481, 9106, 8939, 1241, 5765, 3661, 244, 5913, 80341, 33399, 3673, 303]",75.59000000000005,19,137.7225371
19,"[14949, 4429, 33, 10519, 12771, 8, 297, 481, 9106, 8939, 1241, 5765, 3661, 244, 5913, 80341, 33399, 3673, 303, 31037]",75.57000000000004,20,139.3044544
20,"[14949, 4429, 33, 10519, 12771, 8, 297, 481, 9106, 8939, 1241, 5765, 3661, 244, 5913, 80341, 33399, 3673, 303, 31037, 7303]",79.81999999999998,21,141.1496634
21,"[14949, 4429, 33, 10519, 12771, 8, 297, 481, 9106, 8939, 1241, 5765, 3661, 244, 5913, 80341, 33399, 3673, 303, 31037, 7303, 15934]",83.35000000000002,22,142.9419561
22,"[14949, 4429, 33, 10519, 12771, 8, 297, 481, 9106, 8939, 1241, 5765, 3661, 244, 5913, 80341, 33399, 3673, 303, 31037, 7303, 15934, 9131]",84.23000000000002,23,144.687101
23,"[14949, 4429, 33, 10519, 12771, 8, 297, 481, 9106, 8939, 1241, 5765, 3661, 244, 5913, 80341, 33399, 3673, 303, 31037, 7303, 15934, 9131, 12615]",88.25999999999999,24,146.6777992
24,"[14949, 4429, 33, 10519, 12771, 8, 297, 481, 9106, 8939, 1241, 5765, 3661, 244, 5913, 80341, 33399, 3673, 303, 31037, 7303, 15934, 9131, 12615, 7153]",90.44,25,148.60768950000002
