,S,average cover size,k,run time
0,[131],7.669999999999997,1,1.5551314999999999
1,"[131, 639]",13.619999999999996,2,1.5553811999999994
2,"[131, 639, 287]",18.300000000000008,3,1.599466500000001
3,"[131, 639, 287, 608]",22.74000000000001,4,1.6574999000000004
4,"[131, 639, 287, 608, 267]",25.269999999999996,5,1.7343577999999997
5,"[131, 639, 287, 608, 267, 100]",29.460000000000008,6,1.8319105000000002
6,"[131, 639, 287, 608, 267, 100, 559]",33.11,7,1.9421064999999986
7,"[131, 639, 287, 608, 267, 100, 559, 1292]",36.04999999999999,8,2.0793266999999993
8,"[131, 639, 287, 608, 267, 100, 559, 1292, 124]",38.94999999999998,9,2.2407600999999993
9,"[131, 639, 287, 608, 267, 100, 559, 1292, 124, 359]",41.86999999999999,10,2.4046482000000005
10,"[131, 639, 287, 608, 267, 100, 559, 1292, 124, 359, 705]",43.46999999999999,11,2.5838888000000004
11,"[131, 639, 287, 608, 267, 100, 559, 1292, 124, 359, 705, 80]",46.87999999999999,12,2.7667787000000015
12,"[131, 639, 287, 608, 267, 100, 559, 1292, 124, 359, 705, 80, 66]",49.53000000000001,13,2.9628614000000013
13,"[131, 639, 287, 608, 267, 100, 559, 1292, 124, 359, 705, 80, 66, 76]",52.41999999999998,14,3.1835611999999998
14,"[131, 639, 287, 608, 267, 100, 559, 1292, 124, 359, 705, 80, 66, 76, 512]",53.95,15,3.4257174
15,"[131, 639, 287, 608, 267, 100, 559, 1292, 124, 359, 705, 80, 66, 76, 512, 236]",58.220000000000006,16,3.6765739999999987
16,"[131, 639, 287, 608, 267, 100, 559, 1292, 124, 359, 705, 80, 66, 76, 512, 236, 274]",59.56000000000001,17,3.9332510000000003
17,"[131, 639, 287, 608, 267, 100, 559, 1292, 124, 359, 705, 80, 66, 76, 512, 236, 274, 606]",60.77999999999998,18,4.2274256999999995
18,"[131, 639, 287, 608, 267, 100, 559, 1292, 124, 359, 705, 80, 66, 76, 512, 236, 274, 606, 646]",63.98,19,4.5198743
19,"[131, 639, 287, 608, 267, 100, 559, 1292, 124, 359, 705, 80, 66, 76, 512, 236, 274, 606, 646, 535]",66.11999999999999,20,4.8361979999999996
20,"[131, 639, 287, 608, 267, 100, 559, 1292, 124, 359, 705, 80, 66, 76, 512, 236, 274, 606, 646, 535, 3683]",69.94,21,5.1772329
21,"[131, 639, 287, 608, 267, 100, 559, 1292, 124, 359, 705, 80, 66, 76, 512, 236, 274, 606, 646, 535, 3683, 247]",72.19000000000001,22,5.5202355
22,"[131, 639, 287, 608, 267, 100, 559, 1292, 124, 359, 705, 80, 66, 76, 512, 236, 274, 606, 646, 535, 3683, 247, 412]",72.00000000000001,23,5.9542435000000005
23,"[131, 639, 287, 608, 267, 100, 559, 1292, 124, 359, 705, 80, 66, 76, 512, 236, 274, 606, 646, 535, 3683, 247, 412, 8]",77.96000000000001,24,6.3249081
24,"[131, 639, 287, 608, 267, 100, 559, 1292, 124, 359, 705, 80, 66, 76, 512, 236, 274, 606, 646, 535, 3683, 247, 412, 8, 15]",78.50999999999998,25,6.697645700000001
25,"[131, 639, 287, 608, 267, 100, 559, 1292, 124, 359, 705, 80, 66, 76, 512, 236, 274, 606, 646, 535, 3683, 247, 412, 8, 15, 1162]",82.69000000000001,26,7.1260926
26,"[131, 639, 287, 608, 267, 100, 559, 1292, 124, 359, 705, 80, 66, 76, 512, 236, 274, 606, 646, 535, 3683, 247, 412, 8, 15, 1162, 133]",85.50999999999998,27,7.583317900000001
27,"[131, 639, 287, 608, 267, 100, 559, 1292, 124, 359, 705, 80, 66, 76, 512, 236, 274, 606, 646, 535, 3683, 247, 412, 8, 15, 1162, 133, 196]",87.79,28,8.0707735
28,"[131, 639, 287, 608, 267, 100, 559, 1292, 124, 359, 705, 80, 66, 76, 512, 236, 274, 606, 646, 535, 3683, 247, 412, 8, 15, 1162, 133, 196, 145]",86.52000000000002,29,8.5494469
29,"[131, 639, 287, 608, 267, 100, 559, 1292, 124, 359, 705, 80, 66, 76, 512, 236, 274, 606, 646, 535, 3683, 247, 412, 8, 15, 1162, 133, 196, 145, 4824]",91.38999999999997,30,9.1045453
30,"[131, 639, 287, 608, 267, 100, 559, 1292, 124, 359, 705, 80, 66, 76, 512, 236, 274, 606, 646, 535, 3683, 247, 412, 8, 15, 1162, 133, 196, 145, 4824, 265]",92.69000000000004,31,9.634249300000002
31,"[131, 639, 287, 608, 267, 100, 559, 1292, 124, 359, 705, 80, 66, 76, 512, 236, 274, 606, 646, 535, 3683, 247, 412, 8, 15, 1162, 133, 196, 145, 4824, 265, 60]",93.96000000000001,32,10.171680699999998
32,"[131, 639, 287, 608, 267, 100, 559, 1292, 124, 359, 705, 80, 66, 76, 512, 236, 274, 606, 646, 535, 3683, 247, 412, 8, 15, 1162, 133, 196, 145, 4824, 265, 60, 556]",97.40000000000002,33,10.789328499999998
33,"[131, 639, 287, 608, 267, 100, 559, 1292, 124, 359, 705, 80, 66, 76, 512, 236, 274, 606, 646, 535, 3683, 247, 412, 8, 15, 1162, 133, 196, 145, 4824, 265, 60, 556, 1890]",101.84000000000005,34,11.4632767
34,"[131, 639, 287, 608, 267, 100, 559, 1292, 124, 359, 705, 80, 66, 76, 512, 236, 274, 606, 646, 535, 3683, 247, 412, 8, 15, 1162, 133, 196, 145, 4824, 265, 60, 556, 1890, 230]",101.91000000000003,35,12.2226446
35,"[131, 639, 287, 608, 267, 100, 559, 1292, 124, 359, 705, 80, 66, 76, 512, 236, 274, 606, 646, 535, 3683, 247, 412, 8, 15, 1162, 133, 196, 145, 4824, 265, 60, 556, 1890, 230, 239]",103.95999999999997,36,13.0216005
36,"[131, 639, 287, 608, 267, 100, 559, 1292, 124, 359, 705, 80, 66, 76, 512, 236, 274, 606, 646, 535, 3683, 247, 412, 8, 15, 1162, 133, 196, 145, 4824, 265, 60, 556, 1890, 230, 239, 111]",105.97999999999995,37,13.852801900000001
37,"[131, 639, 287, 608, 267, 100, 559, 1292, 124, 359, 705, 80, 66, 76, 512, 236, 274, 606, 646, 535, 3683, 247, 412, 8, 15, 1162, 133, 196, 145, 4824, 265, 60, 556, 1890, 230, 239, 111, 382]",107.71999999999998,38,14.674961900000001
38,"[131, 639, 287, 608, 267, 100, 559, 1292, 124, 359, 705, 80, 66, 76, 512, 236, 274, 606, 646, 535, 3683, 247, 412, 8, 15, 1162, 133, 196, 145, 4824, 265, 60, 556, 1890, 230, 239, 111, 382, 1059]",112.40000000000002,39,15.571191400000004
39,"[131, 639, 287, 608, 267, 100, 559, 1292, 124, 359, 705, 80, 66, 76, 512, 236, 274, 606, 646, 535, 3683, 247, 412, 8, 15, 1162, 133, 196, 145, 4824, 265, 60, 556, 1890, 230, 239, 111, 382, 1059, 41]",113.89000000000004,40,16.476016400000002
40,"[131, 639, 287, 608, 267, 100, 559, 1292, 124, 359, 705, 80, 66, 76, 512, 236, 274, 606, 646, 535, 3683, 247, 412, 8, 15, 1162, 133, 196, 145, 4824, 265, 60, 556, 1890, 230, 239, 111, 382, 1059, 41, 156]",114.86999999999996,41,17.4379757
41,"[131, 639, 287, 608, 267, 100, 559, 1292, 124, 359, 705, 80, 66, 76, 512, 236, 274, 606, 646, 535, 3683, 247, 412, 8, 15, 1162, 133, 196, 145, 4824, 265, 60, 556, 1890, 230, 239, 111, 382, 1059, 41, 156, 1689]",115.22,42,18.340790000000005
42,"[131, 639, 287, 608, 267, 100, 559, 1292, 124, 359, 705, 80, 66, 76, 512, 236, 274, 606, 646, 535, 3683, 247, 412, 8, 15, 1162, 133, 196, 145, 4824, 265, 60, 556, 1890, 230, 239, 111, 382, 1059, 41, 156, 1689, 525]",116.80000000000004,43,19.2575463
43,"[131, 639, 287, 608, 267, 100, 559, 1292, 124, 359, 705, 80, 66, 76, 512, 236, 274, 606, 646, 535, 3683, 247, 412, 8, 15, 1162, 133, 196, 145, 4824, 265, 60, 556, 1890, 230, 239, 111, 382, 1059, 41, 156, 1689, 525, 154]",122.07000000000002,44,20.2846041
44,"[131, 639, 287, 608, 267, 100, 559, 1292, 124, 359, 705, 80, 66, 76, 512, 236, 274, 606, 646, 535, 3683, 247, 412, 8, 15, 1162, 133, 196, 145, 4824, 265, 60, 556, 1890, 230, 239, 111, 382, 1059, 41, 156, 1689, 525, 154, 1032]",122.15,45,21.227670399999994
