,S,average cover size,k,run time
0,[4840],9.589999999999996,1,32.938716
1,"[4840, 17544]",38.03,2,32.9399165
2,"[4840, 17544, 25609]",66.09,3,33.0851913
3,"[4840, 17544, 25609, 23571]",69.22999999999998,4,33.6566518
4,"[4840, 17544, 25609, 23571, 5567]",85.59999999999998,5,34.617814599999996
5,"[4840, 17544, 25609, 23571, 5567, 3460]",91.23999999999997,6,35.749850699999996
6,"[4840, 17544, 25609, 23571, 5567, 3460, 14866]",104.71000000000002,7,37.4862347
7,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758]",105.03000000000002,8,39.2147659
8,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758, 11907]",122.98000000000003,9,41.0335448
9,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758, 11907, 12081]",125.82,10,43.3268461
10,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758, 11907, 12081, 22777]",143.84999999999997,11,45.513583
11,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758, 11907, 12081, 22777, 14081]",139.61,12,47.7046344
12,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758, 11907, 12081, 22777, 14081, 7387]",152.85000000000005,13,50.219025499999994
13,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758, 11907, 12081, 22777, 14081, 7387, 13566]",159.71999999999994,14,53.0223835
14,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758, 11907, 12081, 22777, 14081, 7387, 13566, 19774]",165.33999999999995,15,56.391420499999995
15,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758, 11907, 12081, 22777, 14081, 7387, 13566, 19774, 5192]",165.90999999999997,16,59.7463578
16,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758, 11907, 12081, 22777, 14081, 7387, 13566, 19774, 5192, 6342]",179.96000000000006,17,63.25567740000001
17,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758, 11907, 12081, 22777, 14081, 7387, 13566, 19774, 5192, 6342, 13542]",175.47000000000003,18,66.3365037
18,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758, 11907, 12081, 22777, 14081, 7387, 13566, 19774, 5192, 6342, 13542, 5120]",180.89000000000004,19,69.8411191
19,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758, 11907, 12081, 22777, 14081, 7387, 13566, 19774, 5192, 6342, 13542, 5120, 7132]",186.10999999999999,20,73.7411236
20,"[4840, 17544, 25609, 23571, 5567, 3460, 14866, 15758, 11907, 12081, 22777, 14081, 7387, 13566, 19774, 5192, 6342, 13542, 5120, 7132, 3216]",193.78999999999994,21,77.69055119999999
