,S,average cover size,k,run time
0,[287],6.209999999999996,1,4.163392099999999
1,"[287, 100]",9.6,2,4.163678599999999
2,"[287, 100, 474]",14.88,3,4.163968199999999
3,"[287, 100, 474, 267]",18.82000000000001,4,4.164261999999999
4,"[287, 100, 474, 267, 99]",23.04,5,4.1644255999999995
5,"[287, 100, 474, 267, 99, 359]",26.42999999999999,6,4.1648
6,"[287, 100, 474, 267, 99, 359, 15]",28.520000000000003,7,4.165002100000001
7,"[287, 100, 474, 267, 99, 359, 15, 196]",30.73999999999999,8,4.165199100000001
8,"[287, 100, 474, 267, 99, 359, 15, 196, 638]",34.1,9,4.1653853000000005
9,"[287, 100, 474, 267, 99, 359, 15, 196, 638, 512]",36.33,10,4.1656019
10,"[287, 100, 474, 267, 99, 359, 15, 196, 638, 512, 66]",38.73,11,4.1657546
11,"[287, 100, 474, 267, 99, 359, 15, 196, 638, 512, 66, 525]",42.07000000000001,12,4.1659276
12,"[287, 100, 474, 267, 99, 359, 15, 196, 638, 512, 66, 525, 230]",43.32000000000001,13,4.1661327
13,"[287, 100, 474, 267, 99, 359, 15, 196, 638, 512, 66, 525, 230, 1256]",45.33,14,4.166358000000001
14,"[287, 100, 474, 267, 99, 359, 15, 196, 638, 512, 66, 525, 230, 1256, 562]",48.57000000000001,15,4.166540599999999
15,"[287, 100, 474, 267, 99, 359, 15, 196, 638, 512, 66, 525, 230, 1256, 562, 382]",51.13000000000001,16,4.166754299999999
16,"[287, 100, 474, 267, 99, 359, 15, 196, 638, 512, 66, 525, 230, 1256, 562, 382, 1]",54.67000000000003,17,4.166929099999999
17,"[287, 100, 474, 267, 99, 359, 15, 196, 638, 512, 66, 525, 230, 1256, 562, 382, 1, 1775]",54.12,18,4.167135
18,"[287, 100, 474, 267, 99, 359, 15, 196, 638, 512, 66, 525, 230, 1256, 562, 382, 1, 1775, 60]",56.60999999999998,19,4.1672759
19,"[287, 100, 474, 267, 99, 359, 15, 196, 638, 512, 66, 525, 230, 1256, 562, 382, 1, 1775, 60, 415]",61.61999999999999,20,4.1674235
20,"[287, 100, 474, 267, 99, 359, 15, 196, 638, 512, 66, 525, 230, 1256, 562, 382, 1, 1775, 60, 415, 145]",63.11000000000001,21,4.1675538
21,"[287, 100, 474, 267, 99, 359, 15, 196, 638, 512, 66, 525, 230, 1256, 562, 382, 1, 1775, 60, 415, 145, 2941]",65.43000000000002,22,4.167703100000001
22,"[287, 100, 474, 267, 99, 359, 15, 196, 638, 512, 66, 525, 230, 1256, 562, 382, 1, 1775, 60, 415, 145, 2941, 784]",65.74999999999999,23,4.167990699999999
23,"[287, 100, 474, 267, 99, 359, 15, 196, 638, 512, 66, 525, 230, 1256, 562, 382, 1, 1775, 60, 415, 145, 2941, 784, 128]",69.55000000000003,24,4.1681422
24,"[287, 100, 474, 267, 99, 359, 15, 196, 638, 512, 66, 525, 230, 1256, 562, 382, 1, 1775, 60, 415, 145, 2941, 784, 128, 2119]",71.25,25,4.1683205999999995
25,"[287, 100, 474, 267, 99, 359, 15, 196, 638, 512, 66, 525, 230, 1256, 562, 382, 1, 1775, 60, 415, 145, 2941, 784, 128, 2119, 9994]",70.55999999999999,26,4.1684137
26,"[287, 100, 474, 267, 99, 359, 15, 196, 638, 512, 66, 525, 230, 1256, 562, 382, 1, 1775, 60, 415, 145, 2941, 784, 128, 2119, 9994, 515]",72.52,27,4.1686335
27,"[287, 100, 474, 267, 99, 359, 15, 196, 638, 512, 66, 525, 230, 1256, 562, 382, 1, 1775, 60, 415, 145, 2941, 784, 128, 2119, 9994, 515, 1645]",75.43,28,4.1687765
28,"[287, 100, 474, 267, 99, 359, 15, 196, 638, 512, 66, 525, 230, 1256, 562, 382, 1, 1775, 60, 415, 145, 2941, 784, 128, 2119, 9994, 515, 1645, 140]",76.36000000000001,29,4.168938499999999
29,"[287, 100, 474, 267, 99, 359, 15, 196, 638, 512, 66, 525, 230, 1256, 562, 382, 1, 1775, 60, 415, 145, 2941, 784, 128, 2119, 9994, 515, 1645, 140, 563]",80.16000000000001,30,4.1690871000000005
30,"[287, 100, 474, 267, 99, 359, 15, 196, 638, 512, 66, 525, 230, 1256, 562, 382, 1, 1775, 60, 415, 145, 2941, 784, 128, 2119, 9994, 515, 1645, 140, 563, 457]",80.98000000000003,31,4.169231
31,"[287, 100, 474, 267, 99, 359, 15, 196, 638, 512, 66, 525, 230, 1256, 562, 382, 1, 1775, 60, 415, 145, 2941, 784, 128, 2119, 9994, 515, 1645, 140, 563, 457, 75]",83.00000000000001,32,4.1694619
32,"[287, 100, 474, 267, 99, 359, 15, 196, 638, 512, 66, 525, 230, 1256, 562, 382, 1, 1775, 60, 415, 145, 2941, 784, 128, 2119, 9994, 515, 1645, 140, 563, 457, 75, 1257]",84.24000000000002,33,4.169568699999999
33,"[287, 100, 474, 267, 99, 359, 15, 196, 638, 512, 66, 525, 230, 1256, 562, 382, 1, 1775, 60, 415, 145, 2941, 784, 128, 2119, 9994, 515, 1645, 140, 563, 457, 75, 1257, 129]",87.01999999999998,34,4.169685599999999
34,"[287, 100, 474, 267, 99, 359, 15, 196, 638, 512, 66, 525, 230, 1256, 562, 382, 1, 1775, 60, 415, 145, 2941, 784, 128, 2119, 9994, 515, 1645, 140, 563, 457, 75, 1257, 129, 1955]",91.16999999999997,35,4.169838
35,"[287, 100, 474, 267, 99, 359, 15, 196, 638, 512, 66, 525, 230, 1256, 562, 382, 1, 1775, 60, 415, 145, 2941, 784, 128, 2119, 9994, 515, 1645, 140, 563, 457, 75, 1257, 129, 1955, 157]",91.78,36,4.1699839999999995
36,"[287, 100, 474, 267, 99, 359, 15, 196, 638, 512, 66, 525, 230, 1256, 562, 382, 1, 1775, 60, 415, 145, 2941, 784, 128, 2119, 9994, 515, 1645, 140, 563, 457, 75, 1257, 129, 1955, 157, 2927]",93.89999999999999,37,4.170104499999999
37,"[287, 100, 474, 267, 99, 359, 15, 196, 638, 512, 66, 525, 230, 1256, 562, 382, 1, 1775, 60, 415, 145, 2941, 784, 128, 2119, 9994, 515, 1645, 140, 563, 457, 75, 1257, 129, 1955, 157, 2927, 4041]",96.88999999999993,38,4.1702425000000005
38,"[287, 100, 474, 267, 99, 359, 15, 196, 638, 512, 66, 525, 230, 1256, 562, 382, 1, 1775, 60, 415, 145, 2941, 784, 128, 2119, 9994, 515, 1645, 140, 563, 457, 75, 1257, 129, 1955, 157, 2927, 4041, 329]",96.42000000000006,39,4.1703621
39,"[287, 100, 474, 267, 99, 359, 15, 196, 638, 512, 66, 525, 230, 1256, 562, 382, 1, 1775, 60, 415, 145, 2941, 784, 128, 2119, 9994, 515, 1645, 140, 563, 457, 75, 1257, 129, 1955, 157, 2927, 4041, 329, 4804]",98.55999999999997,40,4.170500499999999
40,"[287, 100, 474, 267, 99, 359, 15, 196, 638, 512, 66, 525, 230, 1256, 562, 382, 1, 1775, 60, 415, 145, 2941, 784, 128, 2119, 9994, 515, 1645, 140, 563, 457, 75, 1257, 129, 1955, 157, 2927, 4041, 329, 4804, 1692]",101.2,41,4.170604899999999
41,"[287, 100, 474, 267, 99, 359, 15, 196, 638, 512, 66, 525, 230, 1256, 562, 382, 1, 1775, 60, 415, 145, 2941, 784, 128, 2119, 9994, 515, 1645, 140, 563, 457, 75, 1257, 129, 1955, 157, 2927, 4041, 329, 4804, 1692, 741]",103.07999999999998,42,4.1707631
42,"[287, 100, 474, 267, 99, 359, 15, 196, 638, 512, 66, 525, 230, 1256, 562, 382, 1, 1775, 60, 415, 145, 2941, 784, 128, 2119, 9994, 515, 1645, 140, 563, 457, 75, 1257, 129, 1955, 157, 2927, 4041, 329, 4804, 1692, 741, 1159]",104.77000000000001,43,4.170878699999999
43,"[287, 100, 474, 267, 99, 359, 15, 196, 638, 512, 66, 525, 230, 1256, 562, 382, 1, 1775, 60, 415, 145, 2941, 784, 128, 2119, 9994, 515, 1645, 140, 563, 457, 75, 1257, 129, 1955, 157, 2927, 4041, 329, 4804, 1692, 741, 1159, 950]",106.04,44,4.1709911
