,S,average cover size,k,run time
0,[17544],397.6699999999999,1,286.4160624
1,"[17544, 4840]",495.35999999999996,2,286.41931389999996
2,"[17544, 4840, 25609]",542.49,3,286.4257425
3,"[17544, 4840, 25609, 23571]",574.6099999999999,4,286.4290517
4,"[17544, 4840, 25609, 23571, 5567]",570.64,5,286.4308375
5,"[17544, 4840, 25609, 23571, 5567, 3460]",576.0700000000002,6,286.4338176
6,"[17544, 4840, 25609, 23571, 5567, 3460, 15758]",607.04,7,286.4361981
7,"[17544, 4840, 25609, 23571, 5567, 3460, 15758, 12081]",616.1899999999998,8,286.438845
8,"[17544, 4840, 25609, 23571, 5567, 3460, 15758, 12081, 11907]",682.3000000000002,9,286.4412981
9,"[17544, 4840, 25609, 23571, 5567, 3460, 15758, 12081, 11907, 13439]",709.17,10,286.4433303
10,"[17544, 4840, 25609, 23571, 5567, 3460, 15758, 12081, 11907, 13439, 7387]",707.6900000000003,11,286.4452468
11,"[17544, 4840, 25609, 23571, 5567, 3460, 15758, 12081, 11907, 13439, 7387, 19774]",716.74,12,286.4470042
12,"[17544, 4840, 25609, 23571, 5567, 3460, 15758, 12081, 11907, 13439, 7387, 19774, 4115]",716.93,13,286.4479491
13,"[17544, 4840, 25609, 23571, 5567, 3460, 15758, 12081, 11907, 13439, 7387, 19774, 4115, 5192]",729.2800000000004,14,286.4499694
14,"[17544, 4840, 25609, 23571, 5567, 3460, 15758, 12081, 11907, 13439, 7387, 19774, 4115, 5192, 6342]",754.6200000000002,15,286.4531233
15,"[17544, 4840, 25609, 23571, 5567, 3460, 15758, 12081, 11907, 13439, 7387, 19774, 4115, 5192, 6342, 5120]",764.4700000000001,16,286.455648
16,"[17544, 4840, 25609, 23571, 5567, 3460, 15758, 12081, 11907, 13439, 7387, 19774, 4115, 5192, 6342, 5120, 10509]",782.6300000000001,17,286.4580932
17,"[17544, 4840, 25609, 23571, 5567, 3460, 15758, 12081, 11907, 13439, 7387, 19774, 4115, 5192, 6342, 5120, 10509, 13542]",773.6899999999998,18,286.4589216
18,"[17544, 4840, 25609, 23571, 5567, 3460, 15758, 12081, 11907, 13439, 7387, 19774, 4115, 5192, 6342, 5120, 10509, 13542, 3216]",768.5199999999998,19,286.45938889999996
19,"[17544, 4840, 25609, 23571, 5567, 3460, 15758, 12081, 11907, 13439, 7387, 19774, 4115, 5192, 6342, 5120, 10509, 13542, 3216, 7132]",779.7800000000001,20,286.4599654
20,"[17544, 4840, 25609, 23571, 5567, 3460, 15758, 12081, 11907, 13439, 7387, 19774, 4115, 5192, 6342, 5120, 10509, 13542, 3216, 7132, 1866]",789.3999999999996,21,286.4608753
21,"[17544, 4840, 25609, 23571, 5567, 3460, 15758, 12081, 11907, 13439, 7387, 19774, 4115, 5192, 6342, 5120, 10509, 13542, 3216, 7132, 1866, 988]",793.9300000000002,22,286.46250399999997
22,"[17544, 4840, 25609, 23571, 5567, 3460, 15758, 12081, 11907, 13439, 7387, 19774, 4115, 5192, 6342, 5120, 10509, 13542, 3216, 7132, 1866, 988, 25608]",799.8100000000004,23,286.4643408
23,"[17544, 4840, 25609, 23571, 5567, 3460, 15758, 12081, 11907, 13439, 7387, 19774, 4115, 5192, 6342, 5120, 10509, 13542, 3216, 7132, 1866, 988, 25608, 25610]",810.4100000000001,24,286.4650747
24,"[17544, 4840, 25609, 23571, 5567, 3460, 15758, 12081, 11907, 13439, 7387, 19774, 4115, 5192, 6342, 5120, 10509, 13542, 3216, 7132, 1866, 988, 25608, 25610, 25607]",797.1700000000002,25,286.46571769999997
25,"[17544, 4840, 25609, 23571, 5567, 3460, 15758, 12081, 11907, 13439, 7387, 19774, 4115, 5192, 6342, 5120, 10509, 13542, 3216, 7132, 1866, 988, 25608, 25610, 25607, 25490]",806.4399999999999,26,286.4665473
26,"[17544, 4840, 25609, 23571, 5567, 3460, 15758, 12081, 11907, 13439, 7387, 19774, 4115, 5192, 6342, 5120, 10509, 13542, 3216, 7132, 1866, 988, 25608, 25610, 25607, 25490, 22771]",803.3799999999999,27,286.4671786
27,"[17544, 4840, 25609, 23571, 5567, 3460, 15758, 12081, 11907, 13439, 7387, 19774, 4115, 5192, 6342, 5120, 10509, 13542, 3216, 7132, 1866, 988, 25608, 25610, 25607, 25490, 22771, 10653]",812.87,28,286.46855239999996
28,"[17544, 4840, 25609, 23571, 5567, 3460, 15758, 12081, 11907, 13439, 7387, 19774, 4115, 5192, 6342, 5120, 10509, 13542, 3216, 7132, 1866, 988, 25608, 25610, 25607, 25490, 22771, 10653, 8970]",810.9599999999998,29,286.47160859999997
29,"[17544, 4840, 25609, 23571, 5567, 3460, 15758, 12081, 11907, 13439, 7387, 19774, 4115, 5192, 6342, 5120, 10509, 13542, 3216, 7132, 1866, 988, 25608, 25610, 25607, 25490, 22771, 10653, 8970, 25117]",830.0999999999999,30,286.4726689
30,"[17544, 4840, 25609, 23571, 5567, 3460, 15758, 12081, 11907, 13439, 7387, 19774, 4115, 5192, 6342, 5120, 10509, 13542, 3216, 7132, 1866, 988, 25608, 25610, 25607, 25490, 22771, 10653, 8970, 25117, 11454]",849.2600000000004,31,286.4733347
31,"[17544, 4840, 25609, 23571, 5567, 3460, 15758, 12081, 11907, 13439, 7387, 19774, 4115, 5192, 6342, 5120, 10509, 13542, 3216, 7132, 1866, 988, 25608, 25610, 25607, 25490, 22771, 10653, 8970, 25117, 11454, 26533]",862.0900000000004,32,286.4745401
32,"[17544, 4840, 25609, 23571, 5567, 3460, 15758, 12081, 11907, 13439, 7387, 19774, 4115, 5192, 6342, 5120, 10509, 13542, 3216, 7132, 1866, 988, 25608, 25610, 25607, 25490, 22771, 10653, 8970, 25117, 11454, 26533, 3762]",847.4899999999997,33,286.4759031
33,"[17544, 4840, 25609, 23571, 5567, 3460, 15758, 12081, 11907, 13439, 7387, 19774, 4115, 5192, 6342, 5120, 10509, 13542, 3216, 7132, 1866, 988, 25608, 25610, 25607, 25490, 22771, 10653, 8970, 25117, 11454, 26533, 3762, 12332]",868.3000000000002,34,286.4764499
34,"[17544, 4840, 25609, 23571, 5567, 3460, 15758, 12081, 11907, 13439, 7387, 19774, 4115, 5192, 6342, 5120, 10509, 13542, 3216, 7132, 1866, 988, 25608, 25610, 25607, 25490, 22771, 10653, 8970, 25117, 11454, 26533, 3762, 12332, 5568]",861.5000000000001,35,286.4784095
35,"[17544, 4840, 25609, 23571, 5567, 3460, 15758, 12081, 11907, 13439, 7387, 19774, 4115, 5192, 6342, 5120, 10509, 13542, 3216, 7132, 1866, 988, 25608, 25610, 25607, 25490, 22771, 10653, 8970, 25117, 11454, 26533, 3762, 12332, 5568, 6904]",877.7199999999996,36,286.4805483
36,"[17544, 4840, 25609, 23571, 5567, 3460, 15758, 12081, 11907, 13439, 7387, 19774, 4115, 5192, 6342, 5120, 10509, 13542, 3216, 7132, 1866, 988, 25608, 25610, 25607, 25490, 22771, 10653, 8970, 25117, 11454, 26533, 3762, 12332, 5568, 6904, 9963]",872.4800000000002,37,286.4811597
37,"[17544, 4840, 25609, 23571, 5567, 3460, 15758, 12081, 11907, 13439, 7387, 19774, 4115, 5192, 6342, 5120, 10509, 13542, 3216, 7132, 1866, 988, 25608, 25610, 25607, 25490, 22771, 10653, 8970, 25117, 11454, 26533, 3762, 12332, 5568, 6904, 9963, 3566]",885.74,38,286.4819698
38,"[17544, 4840, 25609, 23571, 5567, 3460, 15758, 12081, 11907, 13439, 7387, 19774, 4115, 5192, 6342, 5120, 10509, 13542, 3216, 7132, 1866, 988, 25608, 25610, 25607, 25490, 22771, 10653, 8970, 25117, 11454, 26533, 3762, 12332, 5568, 6904, 9963, 3566, 15347]",930.6599999999999,39,286.4844081
39,"[17544, 4840, 25609, 23571, 5567, 3460, 15758, 12081, 11907, 13439, 7387, 19774, 4115, 5192, 6342, 5120, 10509, 13542, 3216, 7132, 1866, 988, 25608, 25610, 25607, 25490, 22771, 10653, 8970, 25117, 11454, 26533, 3762, 12332, 5568, 6904, 9963, 3566, 15347, 12110]",917.77,40,286.4874959
40,"[17544, 4840, 25609, 23571, 5567, 3460, 15758, 12081, 11907, 13439, 7387, 19774, 4115, 5192, 6342, 5120, 10509, 13542, 3216, 7132, 1866, 988, 25608, 25610, 25607, 25490, 22771, 10653, 8970, 25117, 11454, 26533, 3762, 12332, 5568, 6904, 9963, 3566, 15347, 12110, 16125]",926.1600000000001,41,286.4894676
41,"[17544, 4840, 25609, 23571, 5567, 3460, 15758, 12081, 11907, 13439, 7387, 19774, 4115, 5192, 6342, 5120, 10509, 13542, 3216, 7132, 1866, 988, 25608, 25610, 25607, 25490, 22771, 10653, 8970, 25117, 11454, 26533, 3762, 12332, 5568, 6904, 9963, 3566, 15347, 12110, 16125, 2356]",923.4999999999997,42,286.49002029999997
42,"[17544, 4840, 25609, 23571, 5567, 3460, 15758, 12081, 11907, 13439, 7387, 19774, 4115, 5192, 6342, 5120, 10509, 13542, 3216, 7132, 1866, 988, 25608, 25610, 25607, 25490, 22771, 10653, 8970, 25117, 11454, 26533, 3762, 12332, 5568, 6904, 9963, 3566, 15347, 12110, 16125, 2356, 4109]",951.3000000000001,43,286.4932561
