,S,average cover size,k,run time
0,[131],838.2899999999998,1,8.0118698
1,"[131, 639]",833.7800000000001,2,8.012725
2,"[131, 639, 287]",854.2000000000003,3,8.0135675
3,"[131, 639, 287, 267]",841.98,4,8.0144189
4,"[131, 639, 287, 267, 608]",856.4900000000002,5,8.0150054
5,"[131, 639, 287, 267, 608, 100]",845.9200000000001,6,8.015673
6,"[131, 639, 287, 267, 608, 100, 559]",853.5099999999999,7,8.0165988
7,"[131, 639, 287, 267, 608, 100, 559, 124]",851.68,8,8.0172363
8,"[131, 639, 287, 267, 608, 100, 559, 124, 80]",861.3799999999997,9,8.0181729
9,"[131, 639, 287, 267, 608, 100, 559, 124, 80, 236]",868.8199999999995,10,8.0189708
10,"[131, 639, 287, 267, 608, 100, 559, 124, 80, 236, 247]",868.8799999999997,11,8.019516900000001
11,"[131, 639, 287, 267, 608, 100, 559, 124, 80, 236, 247, 412]",862.0200000000002,12,8.0199794
12,"[131, 639, 287, 267, 608, 100, 559, 124, 80, 236, 247, 412, 646]",873.3900000000001,13,8.0206876
13,"[131, 639, 287, 267, 608, 100, 559, 124, 80, 236, 247, 412, 646, 606]",877.7999999999998,14,8.0212093
14,"[131, 639, 287, 267, 608, 100, 559, 124, 80, 236, 247, 412, 646, 606, 8]",863.3800000000005,15,8.0219982
15,"[131, 639, 287, 267, 608, 100, 559, 124, 80, 236, 247, 412, 646, 606, 8, 15]",874.8499999999997,16,8.0225853
16,"[131, 639, 287, 267, 608, 100, 559, 124, 80, 236, 247, 412, 646, 606, 8, 15, 1162]",873.33,17,8.0231314
17,"[131, 639, 287, 267, 608, 100, 559, 124, 80, 236, 247, 412, 646, 606, 8, 15, 1162, 196]",867.3699999999999,18,8.0237576
18,"[131, 639, 287, 267, 608, 100, 559, 124, 80, 236, 247, 412, 646, 606, 8, 15, 1162, 196, 1890]",871.3099999999997,19,8.024494
19,"[131, 639, 287, 267, 608, 100, 559, 124, 80, 236, 247, 412, 646, 606, 8, 15, 1162, 196, 1890, 265]",880.5699999999999,20,8.0249683
20,"[131, 639, 287, 267, 608, 100, 559, 124, 80, 236, 247, 412, 646, 606, 8, 15, 1162, 196, 1890, 265, 239]",877.0300000000002,21,8.0255522
21,"[131, 639, 287, 267, 608, 100, 559, 124, 80, 236, 247, 412, 646, 606, 8, 15, 1162, 196, 1890, 265, 239, 556]",882.1400000000004,22,8.0261602
22,"[131, 639, 287, 267, 608, 100, 559, 124, 80, 236, 247, 412, 646, 606, 8, 15, 1162, 196, 1890, 265, 239, 556, 111]",880.4899999999999,23,8.02643
23,"[131, 639, 287, 267, 608, 100, 559, 124, 80, 236, 247, 412, 646, 606, 8, 15, 1162, 196, 1890, 265, 239, 556, 111, 75]",883.2299999999999,24,8.0269375
