,k,run time,average cover size,S
0,1,256.032378,13.451,[38868]
1,2,256.05242000000004,17.671,"[38868, 57571]"
2,3,256.0671663,23.513,"[38868, 57571, 6737]"
3,4,256.07817170000004,27.444,"[38868, 57571, 6737, 13451]"
4,5,256.08693320000003,31.543,"[38868, 57571, 6737, 13451, 21759]"
5,6,256.09587350000004,36.47,"[38868, 57571, 6737, 13451, 21759, 13884]"
6,7,256.1068776,40.279,"[38868, 57571, 6737, 13451, 21759, 13884, 96321]"
7,8,256.11956530000003,43.894,"[38868, 57571, 6737, 13451, 21759, 13884, 96321, 63861]"
8,9,256.13255430000004,48.044,"[38868, 57571, 6737, 13451, 21759, 13884, 96321, 63861, 19267]"
9,10,256.14044490000003,51.449,"[38868, 57571, 6737, 13451, 21759, 13884, 96321, 63861, 19267, 33126]"
10,11,256.1486314,56.744,"[38868, 57571, 6737, 13451, 21759, 13884, 96321, 63861, 19267, 33126, 7427]"
11,12,256.15643520000003,59.985,"[38868, 57571, 6737, 13451, 21759, 13884, 96321, 63861, 19267, 33126, 7427, 69476]"
12,13,256.1680965,63.954,"[38868, 57571, 6737, 13451, 21759, 13884, 96321, 63861, 19267, 33126, 7427, 69476, 11323]"
13,14,256.17944500000004,66.703,"[38868, 57571, 6737, 13451, 21759, 13884, 96321, 63861, 19267, 33126, 7427, 69476, 11323, 11711]"
14,15,256.18952440000004,71.814,"[38868, 57571, 6737, 13451, 21759, 13884, 96321, 63861, 19267, 33126, 7427, 69476, 11323, 11711, 180399]"
15,16,256.1990405,73.445,"[38868, 57571, 6737, 13451, 21759, 13884, 96321, 63861, 19267, 33126, 7427, 69476, 11323, 11711, 180399, 13830]"
16,17,256.2089298,76.601,"[38868, 57571, 6737, 13451, 21759, 13884, 96321, 63861, 19267, 33126, 7427, 69476, 11323, 11711, 180399, 13830, 9449]"
17,18,256.2173301,80.289,"[38868, 57571, 6737, 13451, 21759, 13884, 96321, 63861, 19267, 33126, 7427, 69476, 11323, 11711, 180399, 13830, 9449, 97287]"
