,S,average cover size,k,run time
0,[107],72.453,1,187.72810810000001
1,"[107, 0]",75.384,2,187.8837406
2,"[107, 0, 686]",83.13,3,187.91309710000002
3,"[107, 0, 686, 1985]",197.615,4,187.93562980000002
4,"[107, 0, 686, 1985, 3291]",203.92,5,187.96121490000002
5,"[107, 0, 686, 1985, 3291, 3363]",208.498,6,187.96923470000002
6,"[107, 0, 686, 1985, 3291, 3363, 2313]",213.259,7,187.9751572
7,"[107, 0, 686, 1985, 3291, 3363, 2313, 2730]",213.121,8,187.982618
8,"[107, 0, 686, 1985, 3291, 3363, 2313, 2730, 2062]",229.9,9,187.9904789
9,"[107, 0, 686, 1985, 3291, 3363, 2313, 2730, 2062, 3830]",233.011,10,187.9967454
10,"[107, 0, 686, 1985, 3291, 3363, 2313, 2730, 2062, 3830, 3025]",234.572,11,188.0019125
11,"[107, 0, 686, 1985, 3291, 3363, 2313, 2730, 2062, 3830, 3025, 3258]",234.744,12,188.0052057
12,"[107, 0, 686, 1985, 3291, 3363, 2313, 2730, 2062, 3830, 3025, 3258, 3521]",239.444,13,188.0078312
13,"[107, 0, 686, 1985, 3291, 3363, 2313, 2730, 2062, 3830, 3025, 3258, 3521, 2996]",238.118,14,188.0112176
14,"[107, 0, 686, 1985, 3291, 3363, 2313, 2730, 2062, 3830, 3025, 3258, 3521, 2996, 3005]",242.342,15,188.0130723
15,"[107, 0, 686, 1985, 3291, 3363, 2313, 2730, 2062, 3830, 3025, 3258, 3521, 2996, 3005, 3212]",244.882,16,188.0151016
16,"[107, 0, 686, 1985, 3291, 3363, 2313, 2730, 2062, 3830, 3025, 3258, 3521, 2996, 3005, 3212, 2018]",242.967,17,188.0156258
17,"[107, 0, 686, 1985, 3291, 3363, 2313, 2730, 2062, 3830, 3025, 3258, 3521, 2996, 3005, 3212, 2018, 3584]",247.276,18,188.0176997
18,"[107, 0, 686, 1985, 3291, 3363, 2313, 2730, 2062, 3830, 3025, 3258, 3521, 2996, 3005, 3212, 2018, 3584, 630]",244.485,19,188.018463
19,"[107, 0, 686, 1985, 3291, 3363, 2313, 2730, 2062, 3830, 3025, 3258, 3521, 2996, 3005, 3212, 2018, 3584, 630, 3617]",246.347,20,188.0207521
20,"[107, 0, 686, 1985, 3291, 3363, 2313, 2730, 2062, 3830, 3025, 3258, 3521, 2996, 3005, 3212, 2018, 3584, 630, 3617, 3918]",253.767,21,188.0230897
21,"[107, 0, 686, 1985, 3291, 3363, 2313, 2730, 2062, 3830, 3025, 3258, 3521, 2996, 3005, 3212, 2018, 3584, 630, 3617, 3918, 1189]",260.433,22,188.0241304
22,"[107, 0, 686, 1985, 3291, 3363, 2313, 2730, 2062, 3830, 3025, 3258, 3521, 2996, 3005, 3212, 2018, 3584, 630, 3617, 3918, 1189, 312]",251.909,23,188.0254473
23,"[107, 0, 686, 1985, 3291, 3363, 2313, 2730, 2062, 3830, 3025, 3258, 3521, 2996, 3005, 3212, 2018, 3584, 630, 3617, 3918, 1189, 312, 3496]",259.615,24,188.0296687
24,"[107, 0, 686, 1985, 3291, 3363, 2313, 2730, 2062, 3830, 3025, 3258, 3521, 2996, 3005, 3212, 2018, 3584, 630, 3617, 3918, 1189, 312, 3496, 2019]",254.891,25,188.030885
25,"[107, 0, 686, 1985, 3291, 3363, 2313, 2730, 2062, 3830, 3025, 3258, 3521, 2996, 3005, 3212, 2018, 3584, 630, 3617, 3918, 1189, 312, 3496, 2019, 3414]",258.483,26,188.0323646
26,"[107, 0, 686, 1985, 3291, 3363, 2313, 2730, 2062, 3830, 3025, 3258, 3521, 2996, 3005, 3212, 2018, 3584, 630, 3617, 3918, 1189, 312, 3496, 2019, 3414, 1830]",259.965,27,188.0325703
27,"[107, 0, 686, 1985, 3291, 3363, 2313, 2730, 2062, 3830, 3025, 3258, 3521, 2996, 3005, 3212, 2018, 3584, 630, 3617, 3918, 1189, 312, 3496, 2019, 3414, 1830, 1880]",264.967,28,188.0357375
