,k,run time,average cover size,S
0,1,5.427177599999999,3.9502,[1143]
1,2,5.428546,6.3097,"[1143, 5848]"
2,3,5.4289742,8.3278,"[1143, 5848, 7338]"
3,4,5.429405099999999,10.131,"[1143, 5848, 7338, 1435]"
4,5,5.430000300000001,12.1212,"[1143, 5848, 7338, 1435, 7155]"
5,6,5.4303447,13.8179,"[1143, 5848, 7338, 1435, 7155, 6768]"
6,7,5.4306179000000006,15.6575,"[1143, 5848, 7338, 1435, 7155, 6768, 5351]"
7,8,5.4308749,17.4203,"[1143, 5848, 7338, 1435, 7155, 6768, 5351, 6098]"
8,9,5.431113799999999,19.5806,"[1143, 5848, 7338, 1435, 7155, 6768, 5351, 6098, 6932]"
9,10,5.4318079,21.2202,"[1143, 5848, 7338, 1435, 7155, 6768, 5351, 6098, 6932, 6486]"
10,11,5.432095899999999,22.8214,"[1143, 5848, 7338, 1435, 7155, 6768, 5351, 6098, 6932, 6486, 3784]"
11,12,5.432394400000001,24.6221,"[1143, 5848, 7338, 1435, 7155, 6768, 5351, 6098, 6932, 6486, 3784, 5345]"
12,13,5.4327034,26.2538,"[1143, 5848, 7338, 1435, 7155, 6768, 5351, 6098, 6932, 6486, 3784, 5345, 1227]"
13,14,5.432946,27.7287,"[1143, 5848, 7338, 1435, 7155, 6768, 5351, 6098, 6932, 6486, 3784, 5345, 1227, 1981]"
14,15,5.433199299999999,29.3148,"[1143, 5848, 7338, 1435, 7155, 6768, 5351, 6098, 6932, 6486, 3784, 5345, 1227, 1981, 638]"
15,16,5.433506199999999,30.8537,"[1143, 5848, 7338, 1435, 7155, 6768, 5351, 6098, 6932, 6486, 3784, 5345, 1227, 1981, 638, 4662]"
16,17,5.4337048999999995,32.3335,"[1143, 5848, 7338, 1435, 7155, 6768, 5351, 6098, 6932, 6486, 3784, 5345, 1227, 1981, 638, 4662, 6744]"
17,18,5.433851099999999,33.9343,"[1143, 5848, 7338, 1435, 7155, 6768, 5351, 6098, 6932, 6486, 3784, 5345, 1227, 1981, 638, 4662, 6744, 5121]"
18,19,5.4340763999999995,35.3168,"[1143, 5848, 7338, 1435, 7155, 6768, 5351, 6098, 6932, 6486, 3784, 5345, 1227, 1981, 638, 4662, 6744, 5121, 2258]"
19,20,5.4343107,36.8193,"[1143, 5848, 7338, 1435, 7155, 6768, 5351, 6098, 6932, 6486, 3784, 5345, 1227, 1981, 638, 4662, 6744, 5121, 2258, 7297]"
20,21,5.4347311,38.3049,"[1143, 5848, 7338, 1435, 7155, 6768, 5351, 6098, 6932, 6486, 3784, 5345, 1227, 1981, 638, 4662, 6744, 5121, 2258, 7297, 636]"
21,22,5.434988,39.8735,"[1143, 5848, 7338, 1435, 7155, 6768, 5351, 6098, 6932, 6486, 3784, 5345, 1227, 1981, 638, 4662, 6744, 5121, 2258, 7297, 636, 6863]"
22,23,5.435233899999999,41.143,"[1143, 5848, 7338, 1435, 7155, 6768, 5351, 6098, 6932, 6486, 3784, 5345, 1227, 1981, 638, 4662, 6744, 5121, 2258, 7297, 636, 6863, 111]"
23,24,5.435364799999999,42.5568,"[1143, 5848, 7338, 1435, 7155, 6768, 5351, 6098, 6932, 6486, 3784, 5345, 1227, 1981, 638, 4662, 6744, 5121, 2258, 7297, 636, 6863, 111, 5287]"
24,25,5.4356193,44.0245,"[1143, 5848, 7338, 1435, 7155, 6768, 5351, 6098, 6932, 6486, 3784, 5345, 1227, 1981, 638, 4662, 6744, 5121, 2258, 7297, 636, 6863, 111, 5287, 2348]"
25,26,5.4357329000000005,45.4346,"[1143, 5848, 7338, 1435, 7155, 6768, 5351, 6098, 6932, 6486, 3784, 5345, 1227, 1981, 638, 4662, 6744, 5121, 2258, 7297, 636, 6863, 111, 5287, 2348, 3460]"
26,27,5.4359493,47.3219,"[1143, 5848, 7338, 1435, 7155, 6768, 5351, 6098, 6932, 6486, 3784, 5345, 1227, 1981, 638, 4662, 6744, 5121, 2258, 7297, 636, 6863, 111, 5287, 2348, 3460, 7324]"
27,28,5.436328799999999,48.7034,"[1143, 5848, 7338, 1435, 7155, 6768, 5351, 6098, 6932, 6486, 3784, 5345, 1227, 1981, 638, 4662, 6744, 5121, 2258, 7297, 636, 6863, 111, 5287, 2348, 3460, 7324, 4531]"
28,29,5.4365297,50.2147,"[1143, 5848, 7338, 1435, 7155, 6768, 5351, 6098, 6932, 6486, 3784, 5345, 1227, 1981, 638, 4662, 6744, 5121, 2258, 7297, 636, 6863, 111, 5287, 2348, 3460, 7324, 4531, 4937]"
29,30,5.4366324,51.5432,"[1143, 5848, 7338, 1435, 7155, 6768, 5351, 6098, 6932, 6486, 3784, 5345, 1227, 1981, 638, 4662, 6744, 5121, 2258, 7297, 636, 6863, 111, 5287, 2348, 3460, 7324, 4531, 4937, 520]"
30,31,5.436781600000001,53.1914,"[1143, 5848, 7338, 1435, 7155, 6768, 5351, 6098, 6932, 6486, 3784, 5345, 1227, 1981, 638, 4662, 6744, 5121, 2258, 7297, 636, 6863, 111, 5287, 2348, 3460, 7324, 4531, 4937, 520, 369]"
31,32,5.436888300000001,54.7279,"[1143, 5848, 7338, 1435, 7155, 6768, 5351, 6098, 6932, 6486, 3784, 5345, 1227, 1981, 638, 4662, 6744, 5121, 2258, 7297, 636, 6863, 111, 5287, 2348, 3460, 7324, 4531, 4937, 520, 369, 6960]"
32,33,5.4370068,56.142,"[1143, 5848, 7338, 1435, 7155, 6768, 5351, 6098, 6932, 6486, 3784, 5345, 1227, 1981, 638, 4662, 6744, 5121, 2258, 7297, 636, 6863, 111, 5287, 2348, 3460, 7324, 4531, 4937, 520, 369, 6960, 6891]"
33,34,5.4372151,57.417,"[1143, 5848, 7338, 1435, 7155, 6768, 5351, 6098, 6932, 6486, 3784, 5345, 1227, 1981, 638, 4662, 6744, 5121, 2258, 7297, 636, 6863, 111, 5287, 2348, 3460, 7324, 4531, 4937, 520, 369, 6960, 6891, 777]"
34,35,5.4373718,59.3532,"[1143, 5848, 7338, 1435, 7155, 6768, 5351, 6098, 6932, 6486, 3784, 5345, 1227, 1981, 638, 4662, 6744, 5121, 2258, 7297, 636, 6863, 111, 5287, 2348, 3460, 7324, 4531, 4937, 520, 369, 6960, 6891, 777, 7369]"
35,36,5.4378815000000005,60.6191,"[1143, 5848, 7338, 1435, 7155, 6768, 5351, 6098, 6932, 6486, 3784, 5345, 1227, 1981, 638, 4662, 6744, 5121, 2258, 7297, 636, 6863, 111, 5287, 2348, 3460, 7324, 4531, 4937, 520, 369, 6960, 6891, 777, 7369, 2115]"
36,37,5.4381504000000005,62.1728,"[1143, 5848, 7338, 1435, 7155, 6768, 5351, 6098, 6932, 6486, 3784, 5345, 1227, 1981, 638, 4662, 6744, 5121, 2258, 7297, 636, 6863, 111, 5287, 2348, 3460, 7324, 4531, 4937, 520, 369, 6960, 6891, 777, 7369, 2115, 6467]"
37,38,5.438537899999999,63.6974,"[1143, 5848, 7338, 1435, 7155, 6768, 5351, 6098, 6932, 6486, 3784, 5345, 1227, 1981, 638, 4662, 6744, 5121, 2258, 7297, 636, 6863, 111, 5287, 2348, 3460, 7324, 4531, 4937, 520, 369, 6960, 6891, 777, 7369, 2115, 6467, 1330]"
38,39,5.438843299999999,65.3855,"[1143, 5848, 7338, 1435, 7155, 6768, 5351, 6098, 6932, 6486, 3784, 5345, 1227, 1981, 638, 4662, 6744, 5121, 2258, 7297, 636, 6863, 111, 5287, 2348, 3460, 7324, 4531, 4937, 520, 369, 6960, 6891, 777, 7369, 2115, 6467, 1330, 3876]"
