,S,average cover size,k,run time
0,[104],1.905,1,0.7269084000000001
1,"[104, 22]",3.5002,2,0.7273370000000003
2,"[104, 22, 332]",5.0924,3,0.7276131000000001
3,"[104, 22, 332, 232]",6.6125,4,0.7278612999999998
4,"[104, 22, 332, 232, 354]",8.1274,5,0.7281088000000002
5,"[104, 22, 332, 232, 354, 23]",9.5913,6,0.7283195999999998
6,"[104, 22, 332, 232, 354, 23, 75]",11.0413,7,0.7285225000000004
7,"[104, 22, 332, 232, 354, 23, 75, 134]",12.4804,8,0.7287616000000003
8,"[104, 22, 332, 232, 354, 23, 75, 134, 377]",13.8218,9,0.7290073000000001
9,"[104, 22, 332, 232, 354, 23, 75, 134, 377, 395]",15.3049,10,0.7291837000000001
10,"[104, 22, 332, 232, 354, 23, 75, 134, 377, 395, 71]",16.7133,11,0.7294061999999997
11,"[104, 22, 332, 232, 354, 23, 75, 134, 377, 395, 71, 105]",18.0526,12,0.7296525000000003
12,"[104, 22, 332, 232, 354, 23, 75, 134, 377, 395, 71, 105, 577]",19.4847,13,0.7298457999999997
13,"[104, 22, 332, 232, 354, 23, 75, 134, 377, 395, 71, 105, 577, 353]",20.9582,14,0.7300567999999998
14,"[104, 22, 332, 232, 354, 23, 75, 134, 377, 395, 71, 105, 577, 353, 428]",22.2046,15,0.7302818000000002
15,"[104, 22, 332, 232, 354, 23, 75, 134, 377, 395, 71, 105, 577, 353, 428, 119]",23.5808,16,0.7304240000000002
16,"[104, 22, 332, 232, 354, 23, 75, 134, 377, 395, 71, 105, 577, 353, 428, 119, 181]",24.8154,17,0.7305916999999997
17,"[104, 22, 332, 232, 354, 23, 75, 134, 377, 395, 71, 105, 577, 353, 428, 119, 181, 459]",26.1274,18,0.7307008000000002
18,"[104, 22, 332, 232, 354, 23, 75, 134, 377, 395, 71, 105, 577, 353, 428, 119, 181, 459, 44]",27.3553,19,0.7308931999999997
19,"[104, 22, 332, 232, 354, 23, 75, 134, 377, 395, 71, 105, 577, 353, 428, 119, 181, 459, 44, 355]",28.7001,20,0.7310581000000003
20,"[104, 22, 332, 232, 354, 23, 75, 134, 377, 395, 71, 105, 577, 353, 428, 119, 181, 459, 44, 355, 375]",29.9579,21,0.7312145000000001
