,S,average cover size,k,run time
0,[107],68.67300000000009,1,164.03551199999998
1,"[107, 1912]",210.32699999999994,2,164.0394858
2,"[107, 1912, 3437]",213.09899999999993,3,164.042231
3,"[107, 1912, 3437, 348]",220.32999999999993,4,164.0442723
4,"[107, 1912, 3437, 348, 2139]",246.577,5,164.0462375
5,"[107, 1912, 3437, 348, 2139, 2354]",250.18000000000006,6,164.0472831
6,"[107, 1912, 3437, 348, 2139, 2354, 2381]",255.95200000000023,7,164.048261
7,"[107, 1912, 3437, 348, 2139, 2354, 2381, 2045]",256.31300000000005,8,164.0492074
8,"[107, 1912, 3437, 348, 2139, 2354, 2381, 2045, 1979]",259.78199999999975,9,164.0501109
9,"[107, 1912, 3437, 348, 2139, 2354, 2381, 2045, 1979, 0]",262.82000000000005,10,164.0509979
10,"[107, 1912, 3437, 348, 2139, 2354, 2381, 2045, 1979, 0, 2356]",263.5440000000001,11,164.0523803
11,"[107, 1912, 3437, 348, 2139, 2354, 2381, 2045, 1979, 0, 2356, 2553]",267.024,12,164.0533037
12,"[107, 1912, 3437, 348, 2139, 2354, 2381, 2045, 1979, 0, 2356, 2553, 2043]",266.1520000000003,13,164.0542396
13,"[107, 1912, 3437, 348, 2139, 2354, 2381, 2045, 1979, 0, 2356, 2553, 2043, 2033]",268.20700000000016,14,164.05513059999998
14,"[107, 1912, 3437, 348, 2139, 2354, 2381, 2045, 1979, 0, 2356, 2553, 2043, 2033, 2037]",268.58699999999993,15,164.0560186
15,"[107, 1912, 3437, 348, 2139, 2354, 2381, 2045, 1979, 0, 2356, 2553, 2043, 2033, 2037, 2655]",269.49300000000034,16,164.05689859999998
16,"[107, 1912, 3437, 348, 2139, 2354, 2381, 2045, 1979, 0, 2356, 2553, 2043, 2033, 2037, 2655, 2460]",276.134,17,164.0578222
17,"[107, 1912, 3437, 348, 2139, 2354, 2381, 2045, 1979, 0, 2356, 2553, 2043, 2033, 2037, 2655, 2460, 2069]",271.79599999999994,18,164.05873979999998
18,"[107, 1912, 3437, 348, 2139, 2354, 2381, 2045, 1979, 0, 2356, 2553, 2043, 2033, 2037, 2655, 2460, 2069, 2190]",273.16299999999995,19,164.059632
19,"[107, 1912, 3437, 348, 2139, 2354, 2381, 2045, 1979, 0, 2356, 2553, 2043, 2033, 2037, 2655, 2460, 2069, 2190, 2108]",272.6160000000004,20,164.0605409
20,"[107, 1912, 3437, 348, 2139, 2354, 2381, 2045, 1979, 0, 2356, 2553, 2043, 2033, 2037, 2655, 2460, 2069, 2190, 2108, 2619]",271.70500000000015,21,164.0614249
21,"[107, 1912, 3437, 348, 2139, 2354, 2381, 2045, 1979, 0, 2356, 2553, 2043, 2033, 2037, 2655, 2460, 2069, 2190, 2108, 2619, 2074]",273.7420000000003,22,164.0623668
22,"[107, 1912, 3437, 348, 2139, 2354, 2381, 2045, 1979, 0, 2356, 2553, 2043, 2033, 2037, 2655, 2460, 2069, 2190, 2108, 2619, 2074, 2550]",275.68199999999996,23,164.06323799999998
