,S,average cover size,k,run time
0,[4840],8.4428,1,135.9164534
1,"[4840, 23571]",12.7214,2,135.9182278
2,"[4840, 23571, 3460]",18.0768,3,135.9187564
3,"[4840, 23571, 3460, 12081]",23.1103,4,135.9193158
4,"[4840, 23571, 3460, 12081, 17544]",53.5612,5,135.9200389
5,"[4840, 23571, 3460, 12081, 17544, 15758]",61.0519,6,135.920822
6,"[4840, 23571, 3460, 12081, 17544, 15758, 5120]",64.5762,7,135.9215048
7,"[4840, 23571, 3460, 12081, 17544, 15758, 5120, 6342]",69.8704,8,135.9221646
8,"[4840, 23571, 3460, 12081, 17544, 15758, 5120, 6342, 5192]",74.7539,9,135.9227862
9,"[4840, 23571, 3460, 12081, 17544, 15758, 5120, 6342, 5192, 8515]",90.7787,10,135.9235751
10,"[4840, 23571, 3460, 12081, 17544, 15758, 5120, 6342, 5192, 8515, 5567]",97.3712,11,135.9242805
11,"[4840, 23571, 3460, 12081, 17544, 15758, 5120, 6342, 5192, 8515, 5567, 7387]",106.7964,12,135.9250642
12,"[4840, 23571, 3460, 12081, 17544, 15758, 5120, 6342, 5192, 8515, 5567, 7387, 3333]",131.1023,13,135.9259041
13,"[4840, 23571, 3460, 12081, 17544, 15758, 5120, 6342, 5192, 8515, 5567, 7387, 3333, 7132]",134.6051,14,135.9267199
14,"[4840, 23571, 3460, 12081, 17544, 15758, 5120, 6342, 5192, 8515, 5567, 7387, 3333, 7132, 1866]",138.5311,15,135.9272544
15,"[4840, 23571, 3460, 12081, 17544, 15758, 5120, 6342, 5192, 8515, 5567, 7387, 3333, 7132, 1866, 2356]",142.8384,16,135.9276845
16,"[4840, 23571, 3460, 12081, 17544, 15758, 5120, 6342, 5192, 8515, 5567, 7387, 3333, 7132, 1866, 2356, 3808]",145.8266,17,135.9283932
17,"[4840, 23571, 3460, 12081, 17544, 15758, 5120, 6342, 5192, 8515, 5567, 7387, 3333, 7132, 1866, 2356, 3808, 19774]",152.6097,18,135.9290395
18,"[4840, 23571, 3460, 12081, 17544, 15758, 5120, 6342, 5192, 8515, 5567, 7387, 3333, 7132, 1866, 2356, 3808, 19774, 8970]",155.3458,19,135.9294542
19,"[4840, 23571, 3460, 12081, 17544, 15758, 5120, 6342, 5192, 8515, 5567, 7387, 3333, 7132, 1866, 2356, 3808, 19774, 8970, 12010]",166.8073,20,135.9297535
20,"[4840, 23571, 3460, 12081, 17544, 15758, 5120, 6342, 5192, 8515, 5567, 7387, 3333, 7132, 1866, 2356, 3808, 19774, 8970, 12010, 4115]",171.5849,21,135.9301163
21,"[4840, 23571, 3460, 12081, 17544, 15758, 5120, 6342, 5192, 8515, 5567, 7387, 3333, 7132, 1866, 2356, 3808, 19774, 8970, 12010, 4115, 988]",176.3362,22,135.9315389
22,"[4840, 23571, 3460, 12081, 17544, 15758, 5120, 6342, 5192, 8515, 5567, 7387, 3333, 7132, 1866, 2356, 3808, 19774, 8970, 12010, 4115, 988, 10653]",180.4133,23,135.9320492
23,"[4840, 23571, 3460, 12081, 17544, 15758, 5120, 6342, 5192, 8515, 5567, 7387, 3333, 7132, 1866, 2356, 3808, 19774, 8970, 12010, 4115, 988, 10653, 809]",183.8241,24,135.9327668
24,"[4840, 23571, 3460, 12081, 17544, 15758, 5120, 6342, 5192, 8515, 5567, 7387, 3333, 7132, 1866, 2356, 3808, 19774, 8970, 12010, 4115, 988, 10653, 809, 14081]",190.9417,25,135.9337073
25,"[4840, 23571, 3460, 12081, 17544, 15758, 5120, 6342, 5192, 8515, 5567, 7387, 3333, 7132, 1866, 2356, 3808, 19774, 8970, 12010, 4115, 988, 10653, 809, 14081, 11454]",196.4132,26,135.9339969
26,"[4840, 23571, 3460, 12081, 17544, 15758, 5120, 6342, 5192, 8515, 5567, 7387, 3333, 7132, 1866, 2356, 3808, 19774, 8970, 12010, 4115, 988, 10653, 809, 14081, 11454, 1568]",200.0582,27,135.9342997
27,"[4840, 23571, 3460, 12081, 17544, 15758, 5120, 6342, 5192, 8515, 5567, 7387, 3333, 7132, 1866, 2356, 3808, 19774, 8970, 12010, 4115, 988, 10653, 809, 14081, 11454, 1568, 13542]",214.5652,28,135.9354327
28,"[4840, 23571, 3460, 12081, 17544, 15758, 5120, 6342, 5192, 8515, 5567, 7387, 3333, 7132, 1866, 2356, 3808, 19774, 8970, 12010, 4115, 988, 10653, 809, 14081, 11454, 1568, 13542, 1720]",217.5489,29,135.9361293
29,"[4840, 23571, 3460, 12081, 17544, 15758, 5120, 6342, 5192, 8515, 5567, 7387, 3333, 7132, 1866, 2356, 3808, 19774, 8970, 12010, 4115, 988, 10653, 809, 14081, 11454, 1568, 13542, 1720, 14767]",220.4017,30,135.9365032
30,"[4840, 23571, 3460, 12081, 17544, 15758, 5120, 6342, 5192, 8515, 5567, 7387, 3333, 7132, 1866, 2356, 3808, 19774, 8970, 12010, 4115, 988, 10653, 809, 14081, 11454, 1568, 13542, 1720, 14767, 3216]",225.9453,31,135.9367504
31,"[4840, 23571, 3460, 12081, 17544, 15758, 5120, 6342, 5192, 8515, 5567, 7387, 3333, 7132, 1866, 2356, 3808, 19774, 8970, 12010, 4115, 988, 10653, 809, 14081, 11454, 1568, 13542, 1720, 14767, 3216, 3566]",228.6888,32,135.937248
32,"[4840, 23571, 3460, 12081, 17544, 15758, 5120, 6342, 5192, 8515, 5567, 7387, 3333, 7132, 1866, 2356, 3808, 19774, 8970, 12010, 4115, 988, 10653, 809, 14081, 11454, 1568, 13542, 1720, 14767, 3216, 3566, 2928]",231.3046,33,135.9380514
33,"[4840, 23571, 3460, 12081, 17544, 15758, 5120, 6342, 5192, 8515, 5567, 7387, 3333, 7132, 1866, 2356, 3808, 19774, 8970, 12010, 4115, 988, 10653, 809, 14081, 11454, 1568, 13542, 1720, 14767, 3216, 3566, 2928, 12332]",236.3195,34,135.9384958
34,"[4840, 23571, 3460, 12081, 17544, 15758, 5120, 6342, 5192, 8515, 5567, 7387, 3333, 7132, 1866, 2356, 3808, 19774, 8970, 12010, 4115, 988, 10653, 809, 14081, 11454, 1568, 13542, 1720, 14767, 3216, 3566, 2928, 12332, 6904]",241.8976,35,135.9390352
35,"[4840, 23571, 3460, 12081, 17544, 15758, 5120, 6342, 5192, 8515, 5567, 7387, 3333, 7132, 1866, 2356, 3808, 19774, 8970, 12010, 4115, 988, 10653, 809, 14081, 11454, 1568, 13542, 1720, 14767, 3216, 3566, 2928, 12332, 6904, 5568]",246.4031,36,135.9393487
36,"[4840, 23571, 3460, 12081, 17544, 15758, 5120, 6342, 5192, 8515, 5567, 7387, 3333, 7132, 1866, 2356, 3808, 19774, 8970, 12010, 4115, 988, 10653, 809, 14081, 11454, 1568, 13542, 1720, 14767, 3216, 3566, 2928, 12332, 6904, 5568, 22777]",249.5016,37,135.94009739999998
37,"[4840, 23571, 3460, 12081, 17544, 15758, 5120, 6342, 5192, 8515, 5567, 7387, 3333, 7132, 1866, 2356, 3808, 19774, 8970, 12010, 4115, 988, 10653, 809, 14081, 11454, 1568, 13542, 1720, 14767, 3216, 3566, 2928, 12332, 6904, 5568, 22777, 7849]",251.9785,38,135.9407767
38,"[4840, 23571, 3460, 12081, 17544, 15758, 5120, 6342, 5192, 8515, 5567, 7387, 3333, 7132, 1866, 2356, 3808, 19774, 8970, 12010, 4115, 988, 10653, 809, 14081, 11454, 1568, 13542, 1720, 14767, 3216, 3566, 2928, 12332, 6904, 5568, 22777, 7849, 2285]",255.884,39,135.941017
39,"[4840, 23571, 3460, 12081, 17544, 15758, 5120, 6342, 5192, 8515, 5567, 7387, 3333, 7132, 1866, 2356, 3808, 19774, 8970, 12010, 4115, 988, 10653, 809, 14081, 11454, 1568, 13542, 1720, 14767, 3216, 3566, 2928, 12332, 6904, 5568, 22777, 7849, 2285, 14890]",259.6059,40,135.9413743
40,"[4840, 23571, 3460, 12081, 17544, 15758, 5120, 6342, 5192, 8515, 5567, 7387, 3333, 7132, 1866, 2356, 3808, 19774, 8970, 12010, 4115, 988, 10653, 809, 14081, 11454, 1568, 13542, 1720, 14767, 3216, 3566, 2928, 12332, 6904, 5568, 22777, 7849, 2285, 14890, 3842]",261.1728,41,135.9420192
41,"[4840, 23571, 3460, 12081, 17544, 15758, 5120, 6342, 5192, 8515, 5567, 7387, 3333, 7132, 1866, 2356, 3808, 19774, 8970, 12010, 4115, 988, 10653, 809, 14081, 11454, 1568, 13542, 1720, 14767, 3216, 3566, 2928, 12332, 6904, 5568, 22777, 7849, 2285, 14890, 3842, 25605]",264.6399,42,135.9427114
42,"[4840, 23571, 3460, 12081, 17544, 15758, 5120, 6342, 5192, 8515, 5567, 7387, 3333, 7132, 1866, 2356, 3808, 19774, 8970, 12010, 4115, 988, 10653, 809, 14081, 11454, 1568, 13542, 1720, 14767, 3216, 3566, 2928, 12332, 6904, 5568, 22777, 7849, 2285, 14890, 3842, 25605, 3673]",267.4786,43,135.9430225
43,"[4840, 23571, 3460, 12081, 17544, 15758, 5120, 6342, 5192, 8515, 5567, 7387, 3333, 7132, 1866, 2356, 3808, 19774, 8970, 12010, 4115, 988, 10653, 809, 14081, 11454, 1568, 13542, 1720, 14767, 3216, 3566, 2928, 12332, 6904, 5568, 22777, 7849, 2285, 14890, 3842, 25605, 3673, 22771]",269.236,44,135.9437269
44,"[4840, 23571, 3460, 12081, 17544, 15758, 5120, 6342, 5192, 8515, 5567, 7387, 3333, 7132, 1866, 2356, 3808, 19774, 8970, 12010, 4115, 988, 10653, 809, 14081, 11454, 1568, 13542, 1720, 14767, 3216, 3566, 2928, 12332, 6904, 5568, 22777, 7849, 2285, 14890, 3842, 25605, 3673, 22771, 3982]",271.632,45,135.944002
45,"[4840, 23571, 3460, 12081, 17544, 15758, 5120, 6342, 5192, 8515, 5567, 7387, 3333, 7132, 1866, 2356, 3808, 19774, 8970, 12010, 4115, 988, 10653, 809, 14081, 11454, 1568, 13542, 1720, 14767, 3216, 3566, 2928, 12332, 6904, 5568, 22777, 7849, 2285, 14890, 3842, 25605, 3673, 22771, 3982, 5731]",274.4317,46,135.9447948
46,"[4840, 23571, 3460, 12081, 17544, 15758, 5120, 6342, 5192, 8515, 5567, 7387, 3333, 7132, 1866, 2356, 3808, 19774, 8970, 12010, 4115, 988, 10653, 809, 14081, 11454, 1568, 13542, 1720, 14767, 3216, 3566, 2928, 12332, 6904, 5568, 22777, 7849, 2285, 14890, 3842, 25605, 3673, 22771, 3982, 5731, 25490]",276.2425,47,135.9453315
47,"[4840, 23571, 3460, 12081, 17544, 15758, 5120, 6342, 5192, 8515, 5567, 7387, 3333, 7132, 1866, 2356, 3808, 19774, 8970, 12010, 4115, 988, 10653, 809, 14081, 11454, 1568, 13542, 1720, 14767, 3216, 3566, 2928, 12332, 6904, 5568, 22777, 7849, 2285, 14890, 3842, 25605, 3673, 22771, 3982, 5731, 25490, 10807]",281.3835,48,135.9455814
48,"[4840, 23571, 3460, 12081, 17544, 15758, 5120, 6342, 5192, 8515, 5567, 7387, 3333, 7132, 1866, 2356, 3808, 19774, 8970, 12010, 4115, 988, 10653, 809, 14081, 11454, 1568, 13542, 1720, 14767, 3216, 3566, 2928, 12332, 6904, 5568, 22777, 7849, 2285, 14890, 3842, 25605, 3673, 22771, 3982, 5731, 25490, 10807, 2289]",283.9247,49,135.9458831
49,"[4840, 23571, 3460, 12081, 17544, 15758, 5120, 6342, 5192, 8515, 5567, 7387, 3333, 7132, 1866, 2356, 3808, 19774, 8970, 12010, 4115, 988, 10653, 809, 14081, 11454, 1568, 13542, 1720, 14767, 3216, 3566, 2928, 12332, 6904, 5568, 22777, 7849, 2285, 14890, 3842, 25605, 3673, 22771, 3982, 5731, 25490, 10807, 2289, 1456]",285.2953,50,135.946464
