,S,average cover size,k,run time
0,[1143],4.032,1,5.9494435
1,"[1143, 5848]",6.286,2,5.9508570999999995
2,"[1143, 5848, 7338]",8.335,3,5.951502799999999
3,"[1143, 5848, 7338, 1435]",10.27,4,5.9522091999999995
4,"[1143, 5848, 7338, 1435, 7155]",12.072,5,5.9529082
5,"[1143, 5848, 7338, 1435, 7155, 6768]",13.831,6,5.9534358
6,"[1143, 5848, 7338, 1435, 7155, 6768, 5351]",15.737,7,5.953976699999999
7,"[1143, 5848, 7338, 1435, 7155, 6768, 5351, 6098]",17.493,8,5.954479699999999
8,"[1143, 5848, 7338, 1435, 7155, 6768, 5351, 6098, 6932]",19.64,9,5.954955299999999
9,"[1143, 5848, 7338, 1435, 7155, 6768, 5351, 6098, 6932, 6486]",21.311,10,5.955727
10,"[1143, 5848, 7338, 1435, 7155, 6768, 5351, 6098, 6932, 6486, 3784]",22.703,11,5.9561077
11,"[1143, 5848, 7338, 1435, 7155, 6768, 5351, 6098, 6932, 6486, 3784, 5345]",24.61,12,5.956513999999999
12,"[1143, 5848, 7338, 1435, 7155, 6768, 5351, 6098, 6932, 6486, 3784, 5345, 1227]",26.465,13,5.9569223
13,"[1143, 5848, 7338, 1435, 7155, 6768, 5351, 6098, 6932, 6486, 3784, 5345, 1227, 1981]",27.617,14,5.957249999999999
14,"[1143, 5848, 7338, 1435, 7155, 6768, 5351, 6098, 6932, 6486, 3784, 5345, 1227, 1981, 638]",29.192,15,5.9575971999999995
15,"[1143, 5848, 7338, 1435, 7155, 6768, 5351, 6098, 6932, 6486, 3784, 5345, 1227, 1981, 638, 4662]",30.756,16,5.958011399999999
16,"[1143, 5848, 7338, 1435, 7155, 6768, 5351, 6098, 6932, 6486, 3784, 5345, 1227, 1981, 638, 4662, 6744]",32.457,17,5.9582851
17,"[1143, 5848, 7338, 1435, 7155, 6768, 5351, 6098, 6932, 6486, 3784, 5345, 1227, 1981, 638, 4662, 6744, 5121]",33.842,18,5.9584898
18,"[1143, 5848, 7338, 1435, 7155, 6768, 5351, 6098, 6932, 6486, 3784, 5345, 1227, 1981, 638, 4662, 6744, 5121, 2258]",35.56,19,5.958792999999999
19,"[1143, 5848, 7338, 1435, 7155, 6768, 5351, 6098, 6932, 6486, 3784, 5345, 1227, 1981, 638, 4662, 6744, 5121, 2258, 7297]",36.897,20,5.9591232
20,"[1143, 5848, 7338, 1435, 7155, 6768, 5351, 6098, 6932, 6486, 3784, 5345, 1227, 1981, 638, 4662, 6744, 5121, 2258, 7297, 636]",38.192,21,5.9596811
21,"[1143, 5848, 7338, 1435, 7155, 6768, 5351, 6098, 6932, 6486, 3784, 5345, 1227, 1981, 638, 4662, 6744, 5121, 2258, 7297, 636, 6863]",40.065,22,5.9600406999999995
22,"[1143, 5848, 7338, 1435, 7155, 6768, 5351, 6098, 6932, 6486, 3784, 5345, 1227, 1981, 638, 4662, 6744, 5121, 2258, 7297, 636, 6863, 111]",41.211,23,5.9603922
23,"[1143, 5848, 7338, 1435, 7155, 6768, 5351, 6098, 6932, 6486, 3784, 5345, 1227, 1981, 638, 4662, 6744, 5121, 2258, 7297, 636, 6863, 111, 5287]",42.64,24,5.960573299999999
24,"[1143, 5848, 7338, 1435, 7155, 6768, 5351, 6098, 6932, 6486, 3784, 5345, 1227, 1981, 638, 4662, 6744, 5121, 2258, 7297, 636, 6863, 111, 5287, 2348]",43.852,25,5.960920300000001
25,"[1143, 5848, 7338, 1435, 7155, 6768, 5351, 6098, 6932, 6486, 3784, 5345, 1227, 1981, 638, 4662, 6744, 5121, 2258, 7297, 636, 6863, 111, 5287, 2348, 3460]",45.303,26,5.9610803
26,"[1143, 5848, 7338, 1435, 7155, 6768, 5351, 6098, 6932, 6486, 3784, 5345, 1227, 1981, 638, 4662, 6744, 5121, 2258, 7297, 636, 6863, 111, 5287, 2348, 3460, 7324]",47.239,27,5.9614205
27,"[1143, 5848, 7338, 1435, 7155, 6768, 5351, 6098, 6932, 6486, 3784, 5345, 1227, 1981, 638, 4662, 6744, 5121, 2258, 7297, 636, 6863, 111, 5287, 2348, 3460, 7324, 4531]",48.627,28,5.961709
