,S,average cover size,k,run time
0,[1143],907.796,1,16.465668799999996
1,"[1143, 5848]",909.72,2,16.4770107
2,"[1143, 5848, 7338]",909.652,3,16.481338799999996
3,"[1143, 5848, 7338, 7155]",912.24,4,16.4856426
4,"[1143, 5848, 7338, 7155, 6768]",911.508,5,16.489176899999997
5,"[1143, 5848, 7338, 7155, 6768, 5351]",910.847,6,16.491961500000002
6,"[1143, 5848, 7338, 7155, 6768, 5351, 6098]",911.648,7,16.4940281
7,"[1143, 5848, 7338, 7155, 6768, 5351, 6098, 6932]",915.301,8,16.4973819
8,"[1143, 5848, 7338, 7155, 6768, 5351, 6098, 6932, 6486]",916.67,9,16.5060433
9,"[1143, 5848, 7338, 7155, 6768, 5351, 6098, 6932, 6486, 3784]",917.134,10,16.5089806
10,"[1143, 5848, 7338, 7155, 6768, 5351, 6098, 6932, 6486, 3784, 5345]",918.774,11,16.510854000000002
11,"[1143, 5848, 7338, 7155, 6768, 5351, 6098, 6932, 6486, 3784, 5345, 1227]",917.925,12,16.5131885
12,"[1143, 5848, 7338, 7155, 6768, 5351, 6098, 6932, 6486, 3784, 5345, 1227, 638]",922.475,13,16.5158353
13,"[1143, 5848, 7338, 7155, 6768, 5351, 6098, 6932, 6486, 3784, 5345, 1227, 638, 4662]",921.758,14,16.518835599999996
14,"[1143, 5848, 7338, 7155, 6768, 5351, 6098, 6932, 6486, 3784, 5345, 1227, 638, 4662, 6744]",923.342,15,16.521380399999998
15,"[1143, 5848, 7338, 7155, 6768, 5351, 6098, 6932, 6486, 3784, 5345, 1227, 638, 4662, 6744, 5121]",930.759,16,16.523086899999996
16,"[1143, 5848, 7338, 7155, 6768, 5351, 6098, 6932, 6486, 3784, 5345, 1227, 638, 4662, 6744, 5121, 2258]",928.948,17,16.526283399999997
17,"[1143, 5848, 7338, 7155, 6768, 5351, 6098, 6932, 6486, 3784, 5345, 1227, 638, 4662, 6744, 5121, 2258, 7297]",932.427,18,16.528725899999998
18,"[1143, 5848, 7338, 7155, 6768, 5351, 6098, 6932, 6486, 3784, 5345, 1227, 638, 4662, 6744, 5121, 2258, 7297, 6863]",930.6,19,16.5312803
19,"[1143, 5848, 7338, 7155, 6768, 5351, 6098, 6932, 6486, 3784, 5345, 1227, 638, 4662, 6744, 5121, 2258, 7297, 6863, 5287]",930.246,20,16.5329591
20,"[1143, 5848, 7338, 7155, 6768, 5351, 6098, 6932, 6486, 3784, 5345, 1227, 638, 4662, 6744, 5121, 2258, 7297, 6863, 5287, 2348]",930.59,21,16.535107500000002
21,"[1143, 5848, 7338, 7155, 6768, 5351, 6098, 6932, 6486, 3784, 5345, 1227, 638, 4662, 6744, 5121, 2258, 7297, 6863, 5287, 2348, 3460]",933.737,22,16.537145600000002
22,"[1143, 5848, 7338, 7155, 6768, 5351, 6098, 6932, 6486, 3784, 5345, 1227, 638, 4662, 6744, 5121, 2258, 7297, 6863, 5287, 2348, 3460, 7324]",935.083,23,16.5386047
23,"[1143, 5848, 7338, 7155, 6768, 5351, 6098, 6932, 6486, 3784, 5345, 1227, 638, 4662, 6744, 5121, 2258, 7297, 6863, 5287, 2348, 3460, 7324, 4531]",959.269,24,16.5436609
24,"[1143, 5848, 7338, 7155, 6768, 5351, 6098, 6932, 6486, 3784, 5345, 1227, 638, 4662, 6744, 5121, 2258, 7297, 6863, 5287, 2348, 3460, 7324, 4531, 4937]",959.127,25,16.545627599999996
25,"[1143, 5848, 7338, 7155, 6768, 5351, 6098, 6932, 6486, 3784, 5345, 1227, 638, 4662, 6744, 5121, 2258, 7297, 6863, 5287, 2348, 3460, 7324, 4531, 4937, 369]",959.87,26,16.5469235
26,"[1143, 5848, 7338, 7155, 6768, 5351, 6098, 6932, 6486, 3784, 5345, 1227, 638, 4662, 6744, 5121, 2258, 7297, 6863, 5287, 2348, 3460, 7324, 4531, 4937, 369, 6960]",958.003,27,16.5487646
27,"[1143, 5848, 7338, 7155, 6768, 5351, 6098, 6932, 6486, 3784, 5345, 1227, 638, 4662, 6744, 5121, 2258, 7297, 6863, 5287, 2348, 3460, 7324, 4531, 4937, 369, 6960, 6891]",959.32,28,16.551062
28,"[1143, 5848, 7338, 7155, 6768, 5351, 6098, 6932, 6486, 3784, 5345, 1227, 638, 4662, 6744, 5121, 2258, 7297, 6863, 5287, 2348, 3460, 7324, 4531, 4937, 369, 6960, 6891, 777]",961.877,29,16.553175799999998
29,"[1143, 5848, 7338, 7155, 6768, 5351, 6098, 6932, 6486, 3784, 5345, 1227, 638, 4662, 6744, 5121, 2258, 7297, 6863, 5287, 2348, 3460, 7324, 4531, 4937, 369, 6960, 6891, 777, 7369]",963.126,30,16.554906099999997
30,"[1143, 5848, 7338, 7155, 6768, 5351, 6098, 6932, 6486, 3784, 5345, 1227, 638, 4662, 6744, 5121, 2258, 7297, 6863, 5287, 2348, 3460, 7324, 4531, 4937, 369, 6960, 6891, 777, 7369, 2115]",966.293,31,16.567967799999998
31,"[1143, 5848, 7338, 7155, 6768, 5351, 6098, 6932, 6486, 3784, 5345, 1227, 638, 4662, 6744, 5121, 2258, 7297, 6863, 5287, 2348, 3460, 7324, 4531, 4937, 369, 6960, 6891, 777, 7369, 2115, 6467]",969.511,32,16.5706742
32,"[1143, 5848, 7338, 7155, 6768, 5351, 6098, 6932, 6486, 3784, 5345, 1227, 638, 4662, 6744, 5121, 2258, 7297, 6863, 5287, 2348, 3460, 7324, 4531, 4937, 369, 6960, 6891, 777, 7369, 2115, 6467, 1330]",971.042,33,16.5752473
33,"[1143, 5848, 7338, 7155, 6768, 5351, 6098, 6932, 6486, 3784, 5345, 1227, 638, 4662, 6744, 5121, 2258, 7297, 6863, 5287, 2348, 3460, 7324, 4531, 4937, 369, 6960, 6891, 777, 7369, 2115, 6467, 1330, 936]",973.659,34,16.577703
34,"[1143, 5848, 7338, 7155, 6768, 5351, 6098, 6932, 6486, 3784, 5345, 1227, 638, 4662, 6744, 5121, 2258, 7297, 6863, 5287, 2348, 3460, 7324, 4531, 4937, 369, 6960, 6891, 777, 7369, 2115, 6467, 1330, 936, 1495]",971.394,35,16.579789599999998
35,"[1143, 5848, 7338, 7155, 6768, 5351, 6098, 6932, 6486, 3784, 5345, 1227, 638, 4662, 6744, 5121, 2258, 7297, 6863, 5287, 2348, 3460, 7324, 4531, 4937, 369, 6960, 6891, 777, 7369, 2115, 6467, 1330, 936, 1495, 795]",994.586,36,16.581333
36,"[1143, 5848, 7338, 7155, 6768, 5351, 6098, 6932, 6486, 3784, 5345, 1227, 638, 4662, 6744, 5121, 2258, 7297, 6863, 5287, 2348, 3460, 7324, 4531, 4937, 369, 6960, 6891, 777, 7369, 2115, 6467, 1330, 936, 1495, 795, 653]",994.235,37,16.583373899999998
37,"[1143, 5848, 7338, 7155, 6768, 5351, 6098, 6932, 6486, 3784, 5345, 1227, 638, 4662, 6744, 5121, 2258, 7297, 6863, 5287, 2348, 3460, 7324, 4531, 4937, 369, 6960, 6891, 777, 7369, 2115, 6467, 1330, 936, 1495, 795, 653, 5159]",994.255,38,16.584831799999996
38,"[1143, 5848, 7338, 7155, 6768, 5351, 6098, 6932, 6486, 3784, 5345, 1227, 638, 4662, 6744, 5121, 2258, 7297, 6863, 5287, 2348, 3460, 7324, 4531, 4937, 369, 6960, 6891, 777, 7369, 2115, 6467, 1330, 936, 1495, 795, 653, 5159, 4516]",993.927,39,16.5872551
39,"[1143, 5848, 7338, 7155, 6768, 5351, 6098, 6932, 6486, 3784, 5345, 1227, 638, 4662, 6744, 5121, 2258, 7297, 6863, 5287, 2348, 3460, 7324, 4531, 4937, 369, 6960, 6891, 777, 7369, 2115, 6467, 1330, 936, 1495, 795, 653, 5159, 4516, 347]",994.583,40,16.5889782
40,"[1143, 5848, 7338, 7155, 6768, 5351, 6098, 6932, 6486, 3784, 5345, 1227, 638, 4662, 6744, 5121, 2258, 7297, 6863, 5287, 2348, 3460, 7324, 4531, 4937, 369, 6960, 6891, 777, 7369, 2115, 6467, 1330, 936, 1495, 795, 653, 5159, 4516, 347, 5474]",995.412,41,16.5901151
41,"[1143, 5848, 7338, 7155, 6768, 5351, 6098, 6932, 6486, 3784, 5345, 1227, 638, 4662, 6744, 5121, 2258, 7297, 6863, 5287, 2348, 3460, 7324, 4531, 4937, 369, 6960, 6891, 777, 7369, 2115, 6467, 1330, 936, 1495, 795, 653, 5159, 4516, 347, 5474, 3870]",996.238,42,16.601922899999998
42,"[1143, 5848, 7338, 7155, 6768, 5351, 6098, 6932, 6486, 3784, 5345, 1227, 638, 4662, 6744, 5121, 2258, 7297, 6863, 5287, 2348, 3460, 7324, 4531, 4937, 369, 6960, 6891, 777, 7369, 2115, 6467, 1330, 936, 1495, 795, 653, 5159, 4516, 347, 5474, 3870, 7321]",1000.546,43,16.6046962
43,"[1143, 5848, 7338, 7155, 6768, 5351, 6098, 6932, 6486, 3784, 5345, 1227, 638, 4662, 6744, 5121, 2258, 7297, 6863, 5287, 2348, 3460, 7324, 4531, 4937, 369, 6960, 6891, 777, 7369, 2115, 6467, 1330, 936, 1495, 795, 653, 5159, 4516, 347, 5474, 3870, 7321, 6608]",998.092,44,16.607002
44,"[1143, 5848, 7338, 7155, 6768, 5351, 6098, 6932, 6486, 3784, 5345, 1227, 638, 4662, 6744, 5121, 2258, 7297, 6863, 5287, 2348, 3460, 7324, 4531, 4937, 369, 6960, 6891, 777, 7369, 2115, 6467, 1330, 936, 1495, 795, 653, 5159, 4516, 347, 5474, 3870, 7321, 6608, 4238]",999.648,45,16.608544099999996
45,"[1143, 5848, 7338, 7155, 6768, 5351, 6098, 6932, 6486, 3784, 5345, 1227, 638, 4662, 6744, 5121, 2258, 7297, 6863, 5287, 2348, 3460, 7324, 4531, 4937, 369, 6960, 6891, 777, 7369, 2115, 6467, 1330, 936, 1495, 795, 653, 5159, 4516, 347, 5474, 3870, 7321, 6608, 4238, 4137]",1001.896,46,16.610573600000002
46,"[1143, 5848, 7338, 7155, 6768, 5351, 6098, 6932, 6486, 3784, 5345, 1227, 638, 4662, 6744, 5121, 2258, 7297, 6863, 5287, 2348, 3460, 7324, 4531, 4937, 369, 6960, 6891, 777, 7369, 2115, 6467, 1330, 936, 1495, 795, 653, 5159, 4516, 347, 5474, 3870, 7321, 6608, 4238, 4137, 1414]",1001.964,47,16.611406600000002
47,"[1143, 5848, 7338, 7155, 6768, 5351, 6098, 6932, 6486, 3784, 5345, 1227, 638, 4662, 6744, 5121, 2258, 7297, 6863, 5287, 2348, 3460, 7324, 4531, 4937, 369, 6960, 6891, 777, 7369, 2115, 6467, 1330, 936, 1495, 795, 653, 5159, 4516, 347, 5474, 3870, 7321, 6608, 4238, 4137, 1414, 829]",999.783,48,16.612671900000002
48,"[1143, 5848, 7338, 7155, 6768, 5351, 6098, 6932, 6486, 3784, 5345, 1227, 638, 4662, 6744, 5121, 2258, 7297, 6863, 5287, 2348, 3460, 7324, 4531, 4937, 369, 6960, 6891, 777, 7369, 2115, 6467, 1330, 936, 1495, 795, 653, 5159, 4516, 347, 5474, 3870, 7321, 6608, 4238, 4137, 1414, 829, 3978]",1002.269,49,16.6140849
