,S,average cover size,k,run time
0,[104],2.632,1,1.8717161000000004
1,"[104, 22]",4.493,2,1.8740415000000006
2,"[104, 22, 232]",6.167,3,1.8760796000000006
3,"[104, 22, 232, 354]",7.997,4,1.8777076000000008
4,"[104, 22, 232, 354, 23]",9.492,5,1.8790855999999998
5,"[104, 22, 232, 354, 23, 75]",11.159,6,1.880583099999999
6,"[104, 22, 232, 354, 23, 75, 134]",12.68,7,1.8821730000000017
7,"[104, 22, 232, 354, 23, 75, 134, 377]",14.224,8,1.8835844000000002
8,"[104, 22, 232, 354, 23, 75, 134, 377, 71]",15.744,9,1.8846452000000014
9,"[104, 22, 232, 354, 23, 75, 134, 377, 71, 105]",17.196,10,1.8858986000000009
10,"[104, 22, 232, 354, 23, 75, 134, 377, 71, 105, 577]",18.697,11,1.8870226999999993
11,"[104, 22, 232, 354, 23, 75, 134, 377, 71, 105, 577, 428]",20.185,12,1.888445400000002
12,"[104, 22, 232, 354, 23, 75, 134, 377, 71, 105, 577, 428, 119]",21.745,13,1.8897787000000008
13,"[104, 22, 232, 354, 23, 75, 134, 377, 71, 105, 577, 428, 119, 139]",23.215,14,1.8907032000000008
14,"[104, 22, 232, 354, 23, 75, 134, 377, 71, 105, 577, 428, 119, 139, 459]",24.576,15,1.8917156000000013
15,"[104, 22, 232, 354, 23, 75, 134, 377, 71, 105, 577, 428, 119, 139, 459, 44]",26.029,16,1.8928838
16,"[104, 22, 232, 354, 23, 75, 134, 377, 71, 105, 577, 428, 119, 139, 459, 44, 355]",27.607,17,1.8938275000000004
17,"[104, 22, 232, 354, 23, 75, 134, 377, 71, 105, 577, 428, 119, 139, 459, 44, 355, 375]",28.707,18,1.8948111000000019
18,"[104, 22, 232, 354, 23, 75, 134, 377, 71, 105, 577, 428, 119, 139, 459, 44, 355, 375, 467]",30.277,19,1.8958405999999997
19,"[104, 22, 232, 354, 23, 75, 134, 377, 71, 105, 577, 428, 119, 139, 459, 44, 355, 375, 467, 68]",31.45,20,1.8966014000000015
20,"[104, 22, 232, 354, 23, 75, 134, 377, 71, 105, 577, 428, 119, 139, 459, 44, 355, 375, 467, 68, 6]",32.884,21,1.8973417999999995
21,"[104, 22, 232, 354, 23, 75, 134, 377, 71, 105, 577, 428, 119, 139, 459, 44, 355, 375, 467, 68, 6, 236]",34.182,22,1.8980414000000003
22,"[104, 22, 232, 354, 23, 75, 134, 377, 71, 105, 577, 428, 119, 139, 459, 44, 355, 375, 467, 68, 6, 236, 199]",35.401,23,1.8991463999999993
23,"[104, 22, 232, 354, 23, 75, 134, 377, 71, 105, 577, 428, 119, 139, 459, 44, 355, 375, 467, 68, 6, 236, 199, 597]",36.69,24,1.8998304000000026
24,"[104, 22, 232, 354, 23, 75, 134, 377, 71, 105, 577, 428, 119, 139, 459, 44, 355, 375, 467, 68, 6, 236, 199, 597, 218]",38.349,25,1.9004905
25,"[104, 22, 232, 354, 23, 75, 134, 377, 71, 105, 577, 428, 119, 139, 459, 44, 355, 375, 467, 68, 6, 236, 199, 597, 218, 482]",39.675,26,1.9013693000000025
