,S,average cover size,k,run time
0,[104],265.409,1,2.007631
1,"[104, 22]",269.459,2,2.0096573999999983
2,"[104, 22, 232]",273.862,3,2.0107929999999996
3,"[104, 22, 232, 354]",275.962,4,2.0117431000000003
4,"[104, 22, 232, 354, 23]",279.436,5,2.0127235
5,"[104, 22, 232, 354, 23, 75]",280.674,6,2.014050000000001
6,"[104, 22, 232, 354, 23, 75, 134]",281.967,7,2.015586899999999
7,"[104, 22, 232, 354, 23, 75, 134, 377]",284.791,8,2.0169773000000006
8,"[104, 22, 232, 354, 23, 75, 134, 377, 71]",287.237,9,2.018021000000001
9,"[104, 22, 232, 354, 23, 75, 134, 377, 71, 105]",290.581,10,2.019275399999998
10,"[104, 22, 232, 354, 23, 75, 134, 377, 71, 105, 577]",291.759,11,2.020372899999998
11,"[104, 22, 232, 354, 23, 75, 134, 377, 71, 105, 577, 428]",294.266,12,2.021678999999999
12,"[104, 22, 232, 354, 23, 75, 134, 377, 71, 105, 577, 428, 119]",297.864,13,2.0229697999999985
13,"[104, 22, 232, 354, 23, 75, 134, 377, 71, 105, 577, 428, 119, 139]",297.133,14,2.023883599999998
14,"[104, 22, 232, 354, 23, 75, 134, 377, 71, 105, 577, 428, 119, 139, 459]",303.817,15,2.025007500000001
15,"[104, 22, 232, 354, 23, 75, 134, 377, 71, 105, 577, 428, 119, 139, 459, 44]",304.358,16,2.0261457999999983
16,"[104, 22, 232, 354, 23, 75, 134, 377, 71, 105, 577, 428, 119, 139, 459, 44, 355]",305.284,17,2.0270225999999987
17,"[104, 22, 232, 354, 23, 75, 134, 377, 71, 105, 577, 428, 119, 139, 459, 44, 355, 375]",309.587,18,2.0280503000000003
18,"[104, 22, 232, 354, 23, 75, 134, 377, 71, 105, 577, 428, 119, 139, 459, 44, 355, 375, 467]",309.867,19,2.0291262000000003
19,"[104, 22, 232, 354, 23, 75, 134, 377, 71, 105, 577, 428, 119, 139, 459, 44, 355, 375, 467, 68]",310.625,20,2.0298817999999983
20,"[104, 22, 232, 354, 23, 75, 134, 377, 71, 105, 577, 428, 119, 139, 459, 44, 355, 375, 467, 68, 6]",310.522,21,2.0306189000000003
21,"[104, 22, 232, 354, 23, 75, 134, 377, 71, 105, 577, 428, 119, 139, 459, 44, 355, 375, 467, 68, 6, 236]",313.619,22,2.031303900000001
22,"[104, 22, 232, 354, 23, 75, 134, 377, 71, 105, 577, 428, 119, 139, 459, 44, 355, 375, 467, 68, 6, 236, 199]",314.526,23,2.032459499999998
23,"[104, 22, 232, 354, 23, 75, 134, 377, 71, 105, 577, 428, 119, 139, 459, 44, 355, 375, 467, 68, 6, 236, 199, 597]",317.197,24,2.0331614999999985
24,"[104, 22, 232, 354, 23, 75, 134, 377, 71, 105, 577, 428, 119, 139, 459, 44, 355, 375, 467, 68, 6, 236, 199, 597, 218]",316.106,25,2.0339878999999996
25,"[104, 22, 232, 354, 23, 75, 134, 377, 71, 105, 577, 428, 119, 139, 459, 44, 355, 375, 467, 68, 6, 236, 199, 597, 218, 482]",318.996,26,2.034974899999998
26,"[104, 22, 232, 354, 23, 75, 134, 377, 71, 105, 577, 428, 119, 139, 459, 44, 355, 375, 467, 68, 6, 236, 199, 597, 218, 482, 338]",321.28,27,2.035773299999999
27,"[104, 22, 232, 354, 23, 75, 134, 377, 71, 105, 577, 428, 119, 139, 459, 44, 355, 375, 467, 68, 6, 236, 199, 597, 218, 482, 338, 774]",324.108,28,2.0365742000000004
28,"[104, 22, 232, 354, 23, 75, 134, 377, 71, 105, 577, 428, 119, 139, 459, 44, 355, 375, 467, 68, 6, 236, 199, 597, 218, 482, 338, 774, 392]",325.033,29,2.0372781999999994
29,"[104, 22, 232, 354, 23, 75, 134, 377, 71, 105, 577, 428, 119, 139, 459, 44, 355, 375, 467, 68, 6, 236, 199, 597, 218, 482, 338, 774, 392, 548]",327.125,30,2.0380488999999997
30,"[104, 22, 232, 354, 23, 75, 134, 377, 71, 105, 577, 428, 119, 139, 459, 44, 355, 375, 467, 68, 6, 236, 199, 597, 218, 482, 338, 774, 392, 548, 73]",327.294,31,2.038761600000001
31,"[104, 22, 232, 354, 23, 75, 134, 377, 71, 105, 577, 428, 119, 139, 459, 44, 355, 375, 467, 68, 6, 236, 199, 597, 218, 482, 338, 774, 392, 548, 73, 29]",328.071,32,2.0393565000000002
32,"[104, 22, 232, 354, 23, 75, 134, 377, 71, 105, 577, 428, 119, 139, 459, 44, 355, 375, 467, 68, 6, 236, 199, 597, 218, 482, 338, 774, 392, 548, 73, 29, 37]",329.626,33,2.0400783999999987
33,"[104, 22, 232, 354, 23, 75, 134, 377, 71, 105, 577, 428, 119, 139, 459, 44, 355, 375, 467, 68, 6, 236, 199, 597, 218, 482, 338, 774, 392, 548, 73, 29, 37, 72]",330.363,34,2.0406908999999978
34,"[104, 22, 232, 354, 23, 75, 134, 377, 71, 105, 577, 428, 119, 139, 459, 44, 355, 375, 467, 68, 6, 236, 199, 597, 218, 482, 338, 774, 392, 548, 73, 29, 37, 72, 89]",330.99,35,2.0412318999999997
35,"[104, 22, 232, 354, 23, 75, 134, 377, 71, 105, 577, 428, 119, 139, 459, 44, 355, 375, 467, 68, 6, 236, 199, 597, 218, 482, 338, 774, 392, 548, 73, 29, 37, 72, 89, 69]",331.258,36,2.0419352999999987
36,"[104, 22, 232, 354, 23, 75, 134, 377, 71, 105, 577, 428, 119, 139, 459, 44, 355, 375, 467, 68, 6, 236, 199, 597, 218, 482, 338, 774, 392, 548, 73, 29, 37, 72, 89, 69, 212]",332.398,37,2.042490000000001
37,"[104, 22, 232, 354, 23, 75, 134, 377, 71, 105, 577, 428, 119, 139, 459, 44, 355, 375, 467, 68, 6, 236, 199, 597, 218, 482, 338, 774, 392, 548, 73, 29, 37, 72, 89, 69, 212, 312]",335.09,38,2.0430218999999994
38,"[104, 22, 232, 354, 23, 75, 134, 377, 71, 105, 577, 428, 119, 139, 459, 44, 355, 375, 467, 68, 6, 236, 199, 597, 218, 482, 338, 774, 392, 548, 73, 29, 37, 72, 89, 69, 212, 312, 465]",334.253,39,2.043932399999999
39,"[104, 22, 232, 354, 23, 75, 134, 377, 71, 105, 577, 428, 119, 139, 459, 44, 355, 375, 467, 68, 6, 236, 199, 597, 218, 482, 338, 774, 392, 548, 73, 29, 37, 72, 89, 69, 212, 312, 465, 130]",336.901,40,2.0446853999999988
40,"[104, 22, 232, 354, 23, 75, 134, 377, 71, 105, 577, 428, 119, 139, 459, 44, 355, 375, 467, 68, 6, 236, 199, 597, 218, 482, 338, 774, 392, 548, 73, 29, 37, 72, 89, 69, 212, 312, 465, 130, 50]",339.051,41,2.0452644999999983
41,"[104, 22, 232, 354, 23, 75, 134, 377, 71, 105, 577, 428, 119, 139, 459, 44, 355, 375, 467, 68, 6, 236, 199, 597, 218, 482, 338, 774, 392, 548, 73, 29, 37, 72, 89, 69, 212, 312, 465, 130, 50, 400]",340.195,42,2.0458356
42,"[104, 22, 232, 354, 23, 75, 134, 377, 71, 105, 577, 428, 119, 139, 459, 44, 355, 375, 467, 68, 6, 236, 199, 597, 218, 482, 338, 774, 392, 548, 73, 29, 37, 72, 89, 69, 212, 312, 465, 130, 50, 400, 39]",338.927,43,2.046402099999998
