,S,average cover size,k,run time
0,[104],3.212,1,1.6531434999999988
1,"[104, 22]",5.719,2,1.6536943999999991
2,"[104, 22, 332]",8.417,3,1.654054499999999
3,"[104, 22, 332, 40]",11.117,4,1.6544372999999997
4,"[104, 22, 332, 40, 232]",13.319,5,1.6547982999999995
5,"[104, 22, 332, 40, 232, 354]",15.035,6,1.6554108999999997
6,"[104, 22, 332, 40, 232, 354, 23]",17.415,7,1.6558674
7,"[104, 22, 332, 40, 232, 354, 23, 75]",19.362,8,1.6563540999999997
8,"[104, 22, 332, 40, 232, 354, 23, 75, 134]",21.375,9,1.6569059999999993
9,"[104, 22, 332, 40, 232, 354, 23, 75, 134, 71]",23.257,10,1.6574597999999998
10,"[104, 22, 332, 40, 232, 354, 23, 75, 134, 71, 577]",25.333,11,1.6579575999999996
11,"[104, 22, 332, 40, 232, 354, 23, 75, 134, 71, 577, 428]",26.849,12,1.6584357
12,"[104, 22, 332, 40, 232, 354, 23, 75, 134, 71, 577, 428, 375]",28.779,13,1.6588871999999988
13,"[104, 22, 332, 40, 232, 354, 23, 75, 134, 71, 577, 428, 375, 467]",30.035,14,1.659654399999999
14,"[104, 22, 332, 40, 232, 354, 23, 75, 134, 71, 577, 428, 375, 467, 315]",32.355,15,1.660364099999999
15,"[104, 22, 332, 40, 232, 354, 23, 75, 134, 71, 577, 428, 375, 467, 315, 587]",34.025,16,1.6609651999999997
16,"[104, 22, 332, 40, 232, 354, 23, 75, 134, 71, 577, 428, 375, 467, 315, 587, 563]",35.826,17,1.6616731999999992
17,"[104, 22, 332, 40, 232, 354, 23, 75, 134, 71, 577, 428, 375, 467, 315, 587, 563, 79]",37.022,18,1.6623428999999987
18,"[104, 22, 332, 40, 232, 354, 23, 75, 134, 71, 577, 428, 375, 467, 315, 587, 563, 79, 218]",38.784,19,1.6629185999999994
19,"[104, 22, 332, 40, 232, 354, 23, 75, 134, 71, 577, 428, 375, 467, 315, 587, 563, 79, 218, 286]",40.278,20,1.6635232000000002
20,"[104, 22, 332, 40, 232, 354, 23, 75, 134, 71, 577, 428, 375, 467, 315, 587, 563, 79, 218, 286, 482]",41.98,21,1.6641245999999992
21,"[104, 22, 332, 40, 232, 354, 23, 75, 134, 71, 577, 428, 375, 467, 315, 587, 563, 79, 218, 286, 482, 151]",43.352,22,1.6646959
22,"[104, 22, 332, 40, 232, 354, 23, 75, 134, 71, 577, 428, 375, 467, 315, 587, 563, 79, 218, 286, 482, 151, 80]",45.249,23,1.6654223999999989
23,"[104, 22, 332, 40, 232, 354, 23, 75, 134, 71, 577, 428, 375, 467, 315, 587, 563, 79, 218, 286, 482, 151, 80, 589]",46.817,24,1.6660554999999988
24,"[104, 22, 332, 40, 232, 354, 23, 75, 134, 71, 577, 428, 375, 467, 315, 587, 563, 79, 218, 286, 482, 151, 80, 589, 774]",48.079,25,1.6667179
25,"[104, 22, 332, 40, 232, 354, 23, 75, 134, 71, 577, 428, 375, 467, 315, 587, 563, 79, 218, 286, 482, 151, 80, 589, 774, 548]",49.408,26,1.6673083999999996
