,S,average cover size,k,run time
0,[4840],256.762,1,161.1836285
1,"[4840, 23571]",248.75,2,161.188029
2,"[4840, 23571, 3460]",273.734,3,161.1892603
3,"[4840, 23571, 3460, 12081]",303.988,4,161.19041
4,"[4840, 23571, 3460, 12081, 17544]",542.033,5,161.1922623
5,"[4840, 23571, 3460, 12081, 17544, 15758]",577.156,6,161.19400290000002
6,"[4840, 23571, 3460, 12081, 17544, 15758, 5120]",579.896,7,161.1956609
7,"[4840, 23571, 3460, 12081, 17544, 15758, 5120, 6342]",608.871,8,161.1978399
8,"[4840, 23571, 3460, 12081, 17544, 15758, 5120, 6342, 5192]",622.967,9,161.1993777
9,"[4840, 23571, 3460, 12081, 17544, 15758, 5120, 6342, 5192, 8515]",660.316,10,161.201023
10,"[4840, 23571, 3460, 12081, 17544, 15758, 5120, 6342, 5192, 8515, 5567]",670.984,11,161.2024239
11,"[4840, 23571, 3460, 12081, 17544, 15758, 5120, 6342, 5192, 8515, 5567, 7387]",688.873,12,161.20424160000002
12,"[4840, 23571, 3460, 12081, 17544, 15758, 5120, 6342, 5192, 8515, 5567, 7387, 3333]",700.276,13,161.2059303
13,"[4840, 23571, 3460, 12081, 17544, 15758, 5120, 6342, 5192, 8515, 5567, 7387, 3333, 7132]",702.868,14,161.2077232
14,"[4840, 23571, 3460, 12081, 17544, 15758, 5120, 6342, 5192, 8515, 5567, 7387, 3333, 7132, 1866]",717.635,15,161.2088735
15,"[4840, 23571, 3460, 12081, 17544, 15758, 5120, 6342, 5192, 8515, 5567, 7387, 3333, 7132, 1866, 2356]",734.917,16,161.2097551
16,"[4840, 23571, 3460, 12081, 17544, 15758, 5120, 6342, 5192, 8515, 5567, 7387, 3333, 7132, 1866, 2356, 8970]",746.202,17,161.2116329
17,"[4840, 23571, 3460, 12081, 17544, 15758, 5120, 6342, 5192, 8515, 5567, 7387, 3333, 7132, 1866, 2356, 8970, 12010]",765.67,18,161.2120659
18,"[4840, 23571, 3460, 12081, 17544, 15758, 5120, 6342, 5192, 8515, 5567, 7387, 3333, 7132, 1866, 2356, 8970, 12010, 4115]",768.049,19,161.2129014
19,"[4840, 23571, 3460, 12081, 17544, 15758, 5120, 6342, 5192, 8515, 5567, 7387, 3333, 7132, 1866, 2356, 8970, 12010, 4115, 988]",777.264,20,161.2152969
20,"[4840, 23571, 3460, 12081, 17544, 15758, 5120, 6342, 5192, 8515, 5567, 7387, 3333, 7132, 1866, 2356, 8970, 12010, 4115, 988, 10653]",787.037,21,161.21627610000002
21,"[4840, 23571, 3460, 12081, 17544, 15758, 5120, 6342, 5192, 8515, 5567, 7387, 3333, 7132, 1866, 2356, 8970, 12010, 4115, 988, 10653, 11454]",804.301,22,161.2176521
22,"[4840, 23571, 3460, 12081, 17544, 15758, 5120, 6342, 5192, 8515, 5567, 7387, 3333, 7132, 1866, 2356, 8970, 12010, 4115, 988, 10653, 11454, 1568]",814.995,23,161.2182001
23,"[4840, 23571, 3460, 12081, 17544, 15758, 5120, 6342, 5192, 8515, 5567, 7387, 3333, 7132, 1866, 2356, 8970, 12010, 4115, 988, 10653, 11454, 1568, 13542]",845.51,24,161.22122430000002
24,"[4840, 23571, 3460, 12081, 17544, 15758, 5120, 6342, 5192, 8515, 5567, 7387, 3333, 7132, 1866, 2356, 8970, 12010, 4115, 988, 10653, 11454, 1568, 13542, 1720]",854.432,25,161.2225325
25,"[4840, 23571, 3460, 12081, 17544, 15758, 5120, 6342, 5192, 8515, 5567, 7387, 3333, 7132, 1866, 2356, 8970, 12010, 4115, 988, 10653, 11454, 1568, 13542, 1720, 3566]",859.013,26,161.2234966
26,"[4840, 23571, 3460, 12081, 17544, 15758, 5120, 6342, 5192, 8515, 5567, 7387, 3333, 7132, 1866, 2356, 8970, 12010, 4115, 988, 10653, 11454, 1568, 13542, 1720, 3566, 2928]",866.119,27,161.2250557
27,"[4840, 23571, 3460, 12081, 17544, 15758, 5120, 6342, 5192, 8515, 5567, 7387, 3333, 7132, 1866, 2356, 8970, 12010, 4115, 988, 10653, 11454, 1568, 13542, 1720, 3566, 2928, 12332]",876.693,28,161.2262765
28,"[4840, 23571, 3460, 12081, 17544, 15758, 5120, 6342, 5192, 8515, 5567, 7387, 3333, 7132, 1866, 2356, 8970, 12010, 4115, 988, 10653, 11454, 1568, 13542, 1720, 3566, 2928, 12332, 6904]",892.094,29,161.22735790000002
29,"[4840, 23571, 3460, 12081, 17544, 15758, 5120, 6342, 5192, 8515, 5567, 7387, 3333, 7132, 1866, 2356, 8970, 12010, 4115, 988, 10653, 11454, 1568, 13542, 1720, 3566, 2928, 12332, 6904, 7849]",902.615,30,161.22813630000002
30,"[4840, 23571, 3460, 12081, 17544, 15758, 5120, 6342, 5192, 8515, 5567, 7387, 3333, 7132, 1866, 2356, 8970, 12010, 4115, 988, 10653, 11454, 1568, 13542, 1720, 3566, 2928, 12332, 6904, 7849, 2285]",906.777,31,161.2286656
31,"[4840, 23571, 3460, 12081, 17544, 15758, 5120, 6342, 5192, 8515, 5567, 7387, 3333, 7132, 1866, 2356, 8970, 12010, 4115, 988, 10653, 11454, 1568, 13542, 1720, 3566, 2928, 12332, 6904, 7849, 2285, 14890]",919.554,32,161.2299008
32,"[4840, 23571, 3460, 12081, 17544, 15758, 5120, 6342, 5192, 8515, 5567, 7387, 3333, 7132, 1866, 2356, 8970, 12010, 4115, 988, 10653, 11454, 1568, 13542, 1720, 3566, 2928, 12332, 6904, 7849, 2285, 14890, 3842]",918.54,33,161.23143050000002
33,"[4840, 23571, 3460, 12081, 17544, 15758, 5120, 6342, 5192, 8515, 5567, 7387, 3333, 7132, 1866, 2356, 8970, 12010, 4115, 988, 10653, 11454, 1568, 13542, 1720, 3566, 2928, 12332, 6904, 7849, 2285, 14890, 3842, 25605]",921.953,34,161.233383
34,"[4840, 23571, 3460, 12081, 17544, 15758, 5120, 6342, 5192, 8515, 5567, 7387, 3333, 7132, 1866, 2356, 8970, 12010, 4115, 988, 10653, 11454, 1568, 13542, 1720, 3566, 2928, 12332, 6904, 7849, 2285, 14890, 3842, 25605, 3982]",925.139,35,161.2340158
35,"[4840, 23571, 3460, 12081, 17544, 15758, 5120, 6342, 5192, 8515, 5567, 7387, 3333, 7132, 1866, 2356, 8970, 12010, 4115, 988, 10653, 11454, 1568, 13542, 1720, 3566, 2928, 12332, 6904, 7849, 2285, 14890, 3842, 25605, 3982, 5731]",933.696,36,161.235684
