,S,average cover size,k,run time
0,[4840],228.923,1,249.1449023
1,"[4840, 23571]",247.333,2,249.16328979999997
2,"[4840, 23571, 3460]",282.782,3,249.17358940000003
3,"[4840, 23571, 3460, 17544]",517.103,4,249.18220639999998
4,"[4840, 23571, 3460, 17544, 15758]",548.618,5,249.19831499999998
5,"[4840, 23571, 3460, 17544, 15758, 5120]",571.833,6,249.2100459
6,"[4840, 23571, 3460, 17544, 15758, 5120, 6342]",597.18,7,249.2196462
7,"[4840, 23571, 3460, 17544, 15758, 5120, 6342, 5192]",608.927,8,249.22913089999997
8,"[4840, 23571, 3460, 17544, 15758, 5120, 6342, 5192, 5567]",637.041,9,249.2462137
9,"[4840, 23571, 3460, 17544, 15758, 5120, 6342, 5192, 5567, 7387]",663.354,10,249.26272970000002
10,"[4840, 23571, 3460, 17544, 15758, 5120, 6342, 5192, 5567, 7387, 3333]",685.399,11,249.27552329999997
11,"[4840, 23571, 3460, 17544, 15758, 5120, 6342, 5192, 5567, 7387, 3333, 7132]",697.261,12,249.29436499999997
12,"[4840, 23571, 3460, 17544, 15758, 5120, 6342, 5192, 5567, 7387, 3333, 7132, 1866]",701.299,13,249.30722809999997
13,"[4840, 23571, 3460, 17544, 15758, 5120, 6342, 5192, 5567, 7387, 3333, 7132, 1866, 2356]",723.847,14,249.3145224
14,"[4840, 23571, 3460, 17544, 15758, 5120, 6342, 5192, 5567, 7387, 3333, 7132, 1866, 2356, 12010]",747.873,15,249.3281783
15,"[4840, 23571, 3460, 17544, 15758, 5120, 6342, 5192, 5567, 7387, 3333, 7132, 1866, 2356, 12010, 10653]",748.948,16,249.3322218
16,"[4840, 23571, 3460, 17544, 15758, 5120, 6342, 5192, 5567, 7387, 3333, 7132, 1866, 2356, 12010, 10653, 11454]",771.71,17,249.3431223
17,"[4840, 23571, 3460, 17544, 15758, 5120, 6342, 5192, 5567, 7387, 3333, 7132, 1866, 2356, 12010, 10653, 11454, 13542]",810.207,18,249.34735690000002
18,"[4840, 23571, 3460, 17544, 15758, 5120, 6342, 5192, 5567, 7387, 3333, 7132, 1866, 2356, 12010, 10653, 11454, 13542, 3566]",816.289,19,249.35747270000002
19,"[4840, 23571, 3460, 17544, 15758, 5120, 6342, 5192, 5567, 7387, 3333, 7132, 1866, 2356, 12010, 10653, 11454, 13542, 3566, 2928]",829.931,20,249.3682566
20,"[4840, 23571, 3460, 17544, 15758, 5120, 6342, 5192, 5567, 7387, 3333, 7132, 1866, 2356, 12010, 10653, 11454, 13542, 3566, 2928, 12337]",837.057,21,249.3763834
21,"[4840, 23571, 3460, 17544, 15758, 5120, 6342, 5192, 5567, 7387, 3333, 7132, 1866, 2356, 12010, 10653, 11454, 13542, 3566, 2928, 12337, 7849]",839.442,22,249.38147629999997
22,"[4840, 23571, 3460, 17544, 15758, 5120, 6342, 5192, 5567, 7387, 3333, 7132, 1866, 2356, 12010, 10653, 11454, 13542, 3566, 2928, 12337, 7849, 2285]",847.393,23,249.38592640000002
23,"[4840, 23571, 3460, 17544, 15758, 5120, 6342, 5192, 5567, 7387, 3333, 7132, 1866, 2356, 12010, 10653, 11454, 13542, 3566, 2928, 12337, 7849, 2285, 1465]",856.154,24,249.3912828
24,"[4840, 23571, 3460, 17544, 15758, 5120, 6342, 5192, 5567, 7387, 3333, 7132, 1866, 2356, 12010, 10653, 11454, 13542, 3566, 2928, 12337, 7849, 2285, 1465, 16262]",864.003,25,249.3952258
25,"[4840, 23571, 3460, 17544, 15758, 5120, 6342, 5192, 5567, 7387, 3333, 7132, 1866, 2356, 12010, 10653, 11454, 13542, 3566, 2928, 12337, 7849, 2285, 1465, 16262, 12082]",868.541,26,249.4044703
26,"[4840, 23571, 3460, 17544, 15758, 5120, 6342, 5192, 5567, 7387, 3333, 7132, 1866, 2356, 12010, 10653, 11454, 13542, 3566, 2928, 12337, 7849, 2285, 1465, 16262, 12082, 1777]",871.01,27,249.4120808
27,"[4840, 23571, 3460, 17544, 15758, 5120, 6342, 5192, 5567, 7387, 3333, 7132, 1866, 2356, 12010, 10653, 11454, 13542, 3566, 2928, 12337, 7849, 2285, 1465, 16262, 12082, 1777, 2157]",873.391,28,249.4159494
28,"[4840, 23571, 3460, 17544, 15758, 5120, 6342, 5192, 5567, 7387, 3333, 7132, 1866, 2356, 12010, 10653, 11454, 13542, 3566, 2928, 12337, 7849, 2285, 1465, 16262, 12082, 1777, 2157, 2438]",884.743,29,249.4212844
29,"[4840, 23571, 3460, 17544, 15758, 5120, 6342, 5192, 5567, 7387, 3333, 7132, 1866, 2356, 12010, 10653, 11454, 13542, 3566, 2928, 12337, 7849, 2285, 1465, 16262, 12082, 1777, 2157, 2438, 14896]",884.727,30,249.4235761
30,"[4840, 23571, 3460, 17544, 15758, 5120, 6342, 5192, 5567, 7387, 3333, 7132, 1866, 2356, 12010, 10653, 11454, 13542, 3566, 2928, 12337, 7849, 2285, 1465, 16262, 12082, 1777, 2157, 2438, 14896, 3712]",885.814,31,249.43576209999998
31,"[4840, 23571, 3460, 17544, 15758, 5120, 6342, 5192, 5567, 7387, 3333, 7132, 1866, 2356, 12010, 10653, 11454, 13542, 3566, 2928, 12337, 7849, 2285, 1465, 16262, 12082, 1777, 2157, 2438, 14896, 3712, 12311]",899.545,32,249.4443726
32,"[4840, 23571, 3460, 17544, 15758, 5120, 6342, 5192, 5567, 7387, 3333, 7132, 1866, 2356, 12010, 10653, 11454, 13542, 3566, 2928, 12337, 7849, 2285, 1465, 16262, 12082, 1777, 2157, 2438, 14896, 3712, 12311, 2451]",904.421,33,249.46394779999997
33,"[4840, 23571, 3460, 17544, 15758, 5120, 6342, 5192, 5567, 7387, 3333, 7132, 1866, 2356, 12010, 10653, 11454, 13542, 3566, 2928, 12337, 7849, 2285, 1465, 16262, 12082, 1777, 2157, 2438, 14896, 3712, 12311, 2451, 12832]",904.041,34,249.46807460000002
34,"[4840, 23571, 3460, 17544, 15758, 5120, 6342, 5192, 5567, 7387, 3333, 7132, 1866, 2356, 12010, 10653, 11454, 13542, 3566, 2928, 12337, 7849, 2285, 1465, 16262, 12082, 1777, 2157, 2438, 14896, 3712, 12311, 2451, 12832, 10256]",909.315,35,249.4708688
35,"[4840, 23571, 3460, 17544, 15758, 5120, 6342, 5192, 5567, 7387, 3333, 7132, 1866, 2356, 12010, 10653, 11454, 13542, 3566, 2928, 12337, 7849, 2285, 1465, 16262, 12082, 1777, 2157, 2438, 14896, 3712, 12311, 2451, 12832, 10256, 10360]",915.429,36,249.47874459999997
36,"[4840, 23571, 3460, 17544, 15758, 5120, 6342, 5192, 5567, 7387, 3333, 7132, 1866, 2356, 12010, 10653, 11454, 13542, 3566, 2928, 12337, 7849, 2285, 1465, 16262, 12082, 1777, 2157, 2438, 14896, 3712, 12311, 2451, 12832, 10256, 10360, 3964]",920.41,37,249.4844316
37,"[4840, 23571, 3460, 17544, 15758, 5120, 6342, 5192, 5567, 7387, 3333, 7132, 1866, 2356, 12010, 10653, 11454, 13542, 3566, 2928, 12337, 7849, 2285, 1465, 16262, 12082, 1777, 2157, 2438, 14896, 3712, 12311, 2451, 12832, 10256, 10360, 3964, 3355]",931.439,38,249.48757690000002
38,"[4840, 23571, 3460, 17544, 15758, 5120, 6342, 5192, 5567, 7387, 3333, 7132, 1866, 2356, 12010, 10653, 11454, 13542, 3566, 2928, 12337, 7849, 2285, 1465, 16262, 12082, 1777, 2157, 2438, 14896, 3712, 12311, 2451, 12832, 10256, 10360, 3964, 3355, 6965]",932.359,39,249.49166789999998
39,"[4840, 23571, 3460, 17544, 15758, 5120, 6342, 5192, 5567, 7387, 3333, 7132, 1866, 2356, 12010, 10653, 11454, 13542, 3566, 2928, 12337, 7849, 2285, 1465, 16262, 12082, 1777, 2157, 2438, 14896, 3712, 12311, 2451, 12832, 10256, 10360, 3964, 3355, 6965, 8886]",937.502,40,249.4959012
40,"[4840, 23571, 3460, 17544, 15758, 5120, 6342, 5192, 5567, 7387, 3333, 7132, 1866, 2356, 12010, 10653, 11454, 13542, 3566, 2928, 12337, 7849, 2285, 1465, 16262, 12082, 1777, 2157, 2438, 14896, 3712, 12311, 2451, 12832, 10256, 10360, 3964, 3355, 6965, 8886, 13502]",935.775,41,249.5003196
41,"[4840, 23571, 3460, 17544, 15758, 5120, 6342, 5192, 5567, 7387, 3333, 7132, 1866, 2356, 12010, 10653, 11454, 13542, 3566, 2928, 12337, 7849, 2285, 1465, 16262, 12082, 1777, 2157, 2438, 14896, 3712, 12311, 2451, 12832, 10256, 10360, 3964, 3355, 6965, 8886, 13502, 5917]",941.208,42,249.504867
42,"[4840, 23571, 3460, 17544, 15758, 5120, 6342, 5192, 5567, 7387, 3333, 7132, 1866, 2356, 12010, 10653, 11454, 13542, 3566, 2928, 12337, 7849, 2285, 1465, 16262, 12082, 1777, 2157, 2438, 14896, 3712, 12311, 2451, 12832, 10256, 10360, 3964, 3355, 6965, 8886, 13502, 5917, 2571]",940.437,43,249.5124171
43,"[4840, 23571, 3460, 17544, 15758, 5120, 6342, 5192, 5567, 7387, 3333, 7132, 1866, 2356, 12010, 10653, 11454, 13542, 3566, 2928, 12337, 7849, 2285, 1465, 16262, 12082, 1777, 2157, 2438, 14896, 3712, 12311, 2451, 12832, 10256, 10360, 3964, 3355, 6965, 8886, 13502, 5917, 2571, 2563]",951.348,44,249.5183134
44,"[4840, 23571, 3460, 17544, 15758, 5120, 6342, 5192, 5567, 7387, 3333, 7132, 1866, 2356, 12010, 10653, 11454, 13542, 3566, 2928, 12337, 7849, 2285, 1465, 16262, 12082, 1777, 2157, 2438, 14896, 3712, 12311, 2451, 12832, 10256, 10360, 3964, 3355, 6965, 8886, 13502, 5917, 2571, 2563, 13997]",955.907,45,249.5242425
45,"[4840, 23571, 3460, 17544, 15758, 5120, 6342, 5192, 5567, 7387, 3333, 7132, 1866, 2356, 12010, 10653, 11454, 13542, 3566, 2928, 12337, 7849, 2285, 1465, 16262, 12082, 1777, 2157, 2438, 14896, 3712, 12311, 2451, 12832, 10256, 10360, 3964, 3355, 6965, 8886, 13502, 5917, 2571, 2563, 13997, 9368]",955.503,46,249.5272513
46,"[4840, 23571, 3460, 17544, 15758, 5120, 6342, 5192, 5567, 7387, 3333, 7132, 1866, 2356, 12010, 10653, 11454, 13542, 3566, 2928, 12337, 7849, 2285, 1465, 16262, 12082, 1777, 2157, 2438, 14896, 3712, 12311, 2451, 12832, 10256, 10360, 3964, 3355, 6965, 8886, 13502, 5917, 2571, 2563, 13997, 9368, 5312]",954.486,47,249.52907770000002
47,"[4840, 23571, 3460, 17544, 15758, 5120, 6342, 5192, 5567, 7387, 3333, 7132, 1866, 2356, 12010, 10653, 11454, 13542, 3566, 2928, 12337, 7849, 2285, 1465, 16262, 12082, 1777, 2157, 2438, 14896, 3712, 12311, 2451, 12832, 10256, 10360, 3964, 3355, 6965, 8886, 13502, 5917, 2571, 2563, 13997, 9368, 5312, 13363]",960.575,48,249.5342877
48,"[4840, 23571, 3460, 17544, 15758, 5120, 6342, 5192, 5567, 7387, 3333, 7132, 1866, 2356, 12010, 10653, 11454, 13542, 3566, 2928, 12337, 7849, 2285, 1465, 16262, 12082, 1777, 2157, 2438, 14896, 3712, 12311, 2451, 12832, 10256, 10360, 3964, 3355, 6965, 8886, 13502, 5917, 2571, 2563, 13997, 9368, 5312, 13363, 2801]",970.02,49,249.539357
49,"[4840, 23571, 3460, 17544, 15758, 5120, 6342, 5192, 5567, 7387, 3333, 7132, 1866, 2356, 12010, 10653, 11454, 13542, 3566, 2928, 12337, 7849, 2285, 1465, 16262, 12082, 1777, 2157, 2438, 14896, 3712, 12311, 2451, 12832, 10256, 10360, 3964, 3355, 6965, 8886, 13502, 5917, 2571, 2563, 13997, 9368, 5312, 13363, 2801, 5242]",972.839,50,249.54306580000002
