,S,average cover size,k,run time
0,[131],35.2976,1,14.338093100000002
1,"[131, 639]",46.9561,2,14.3387667
2,"[131, 639, 287]",64.3127,3,14.3398097
3,"[131, 639, 287, 608]",72.7273,4,14.340809200000002
4,"[131, 639, 287, 608, 267]",80.8357,5,14.3416116
5,"[131, 639, 287, 608, 267, 559]",88.1626,6,14.3424555
6,"[131, 639, 287, 608, 267, 559, 100]",98.7102,7,14.343068500000001
7,"[131, 639, 287, 608, 267, 559, 100, 124]",105.4686,8,14.3440656
8,"[131, 639, 287, 608, 267, 559, 100, 124, 1292]",111.0576,9,14.3457705
9,"[131, 639, 287, 608, 267, 559, 100, 124, 1292, 359]",116.5748,10,14.3466178
10,"[131, 639, 287, 608, 267, 559, 100, 124, 1292, 359, 535]",121.8717,11,14.3473291
11,"[131, 639, 287, 608, 267, 559, 100, 124, 1292, 359, 535, 80]",128.2865,12,14.348030700000002
12,"[131, 639, 287, 608, 267, 559, 100, 124, 1292, 359, 535, 80, 606]",132.6602,13,14.3490639
13,"[131, 639, 287, 608, 267, 559, 100, 124, 1292, 359, 535, 80, 606, 247]",137.4217,14,14.3500293
14,"[131, 639, 287, 608, 267, 559, 100, 124, 1292, 359, 535, 80, 606, 247, 236]",142.1004,15,14.350524200000002
15,"[131, 639, 287, 608, 267, 559, 100, 124, 1292, 359, 535, 80, 606, 247, 236, 274]",147.0122,16,14.3511436
16,"[131, 639, 287, 608, 267, 559, 100, 124, 1292, 359, 535, 80, 606, 247, 236, 274, 8]",152.2632,17,14.352086100000001
17,"[131, 639, 287, 608, 267, 559, 100, 124, 1292, 359, 535, 80, 606, 247, 236, 274, 8, 412]",156.8514,18,14.352645800000001
18,"[131, 639, 287, 608, 267, 559, 100, 124, 1292, 359, 535, 80, 606, 247, 236, 274, 8, 412, 196]",161.2669,19,14.3534239
19,"[131, 639, 287, 608, 267, 559, 100, 124, 1292, 359, 535, 80, 606, 247, 236, 274, 8, 412, 196, 646]",167.2938,20,14.354171100000002
20,"[131, 639, 287, 608, 267, 559, 100, 124, 1292, 359, 535, 80, 606, 247, 236, 274, 8, 412, 196, 646, 15]",172.2139,21,14.3546555
21,"[131, 639, 287, 608, 267, 559, 100, 124, 1292, 359, 535, 80, 606, 247, 236, 274, 8, 412, 196, 646, 15, 239]",175.9039,22,14.3555116
22,"[131, 639, 287, 608, 267, 559, 100, 124, 1292, 359, 535, 80, 606, 247, 236, 274, 8, 412, 196, 646, 15, 239, 111]",179.6838,23,14.357125200000002
23,"[131, 639, 287, 608, 267, 559, 100, 124, 1292, 359, 535, 80, 606, 247, 236, 274, 8, 412, 196, 646, 15, 239, 111, 1689]",181.5274,24,14.357806100000001
24,"[131, 639, 287, 608, 267, 559, 100, 124, 1292, 359, 535, 80, 606, 247, 236, 274, 8, 412, 196, 646, 15, 239, 111, 1689, 60]",186.5137,25,14.3583772
25,"[131, 639, 287, 608, 267, 559, 100, 124, 1292, 359, 535, 80, 606, 247, 236, 274, 8, 412, 196, 646, 15, 239, 111, 1689, 60, 1162]",191.3937,26,14.358972600000001
26,"[131, 639, 287, 608, 267, 559, 100, 124, 1292, 359, 535, 80, 606, 247, 236, 274, 8, 412, 196, 646, 15, 239, 111, 1689, 60, 1162, 1890]",195.6475,27,14.3597201
27,"[131, 639, 287, 608, 267, 559, 100, 124, 1292, 359, 535, 80, 606, 247, 236, 274, 8, 412, 196, 646, 15, 239, 111, 1689, 60, 1162, 1890, 784]",198.1044,28,14.3603217
28,"[131, 639, 287, 608, 267, 559, 100, 124, 1292, 359, 535, 80, 606, 247, 236, 274, 8, 412, 196, 646, 15, 239, 111, 1689, 60, 1162, 1890, 784, 1449]",201.2288,29,14.3608266
29,"[131, 639, 287, 608, 267, 559, 100, 124, 1292, 359, 535, 80, 606, 247, 236, 274, 8, 412, 196, 646, 15, 239, 111, 1689, 60, 1162, 1890, 784, 1449, 1256]",204.319,30,14.361250000000002
30,"[131, 639, 287, 608, 267, 559, 100, 124, 1292, 359, 535, 80, 606, 247, 236, 274, 8, 412, 196, 646, 15, 239, 111, 1689, 60, 1162, 1890, 784, 1449, 1256, 75]",208.6148,31,14.361887200000002
31,"[131, 639, 287, 608, 267, 559, 100, 124, 1292, 359, 535, 80, 606, 247, 236, 274, 8, 412, 196, 646, 15, 239, 111, 1689, 60, 1162, 1890, 784, 1449, 1256, 75, 310]",212.2528,32,14.3622798
32,"[131, 639, 287, 608, 267, 559, 100, 124, 1292, 359, 535, 80, 606, 247, 236, 274, 8, 412, 196, 646, 15, 239, 111, 1689, 60, 1162, 1890, 784, 1449, 1256, 75, 310, 230]",215.8376,33,14.362786400000001
33,"[131, 639, 287, 608, 267, 559, 100, 124, 1292, 359, 535, 80, 606, 247, 236, 274, 8, 412, 196, 646, 15, 239, 111, 1689, 60, 1162, 1890, 784, 1449, 1256, 75, 310, 230, 156]",219.2638,34,14.3632669
34,"[131, 639, 287, 608, 267, 559, 100, 124, 1292, 359, 535, 80, 606, 247, 236, 274, 8, 412, 196, 646, 15, 239, 111, 1689, 60, 1162, 1890, 784, 1449, 1256, 75, 310, 230, 156, 41]",222.7141,35,14.3638495
35,"[131, 639, 287, 608, 267, 559, 100, 124, 1292, 359, 535, 80, 606, 247, 236, 274, 8, 412, 196, 646, 15, 239, 111, 1689, 60, 1162, 1890, 784, 1449, 1256, 75, 310, 230, 156, 41, 4824]",225.7552,36,14.364461600000002
36,"[131, 639, 287, 608, 267, 559, 100, 124, 1292, 359, 535, 80, 606, 247, 236, 274, 8, 412, 196, 646, 15, 239, 111, 1689, 60, 1162, 1890, 784, 1449, 1256, 75, 310, 230, 156, 41, 4824, 1032]",228.0231,37,14.364998700000001
37,"[131, 639, 287, 608, 267, 559, 100, 124, 1292, 359, 535, 80, 606, 247, 236, 274, 8, 412, 196, 646, 15, 239, 111, 1689, 60, 1162, 1890, 784, 1449, 1256, 75, 310, 230, 156, 41, 4824, 1032, 192]",232.16,38,14.365237400000002
38,"[131, 639, 287, 608, 267, 559, 100, 124, 1292, 359, 535, 80, 606, 247, 236, 274, 8, 412, 196, 646, 15, 239, 111, 1689, 60, 1162, 1890, 784, 1449, 1256, 75, 310, 230, 156, 41, 4824, 1032, 192, 159]",234.6857,39,14.3656917
39,"[131, 639, 287, 608, 267, 559, 100, 124, 1292, 359, 535, 80, 606, 247, 236, 274, 8, 412, 196, 646, 15, 239, 111, 1689, 60, 1162, 1890, 784, 1449, 1256, 75, 310, 230, 156, 41, 4824, 1032, 192, 159, 128]",237.6718,40,14.3659861
40,"[131, 639, 287, 608, 267, 559, 100, 124, 1292, 359, 535, 80, 606, 247, 236, 274, 8, 412, 196, 646, 15, 239, 111, 1689, 60, 1162, 1890, 784, 1449, 1256, 75, 310, 230, 156, 41, 4824, 1032, 192, 159, 128, 457]",240.4693,41,14.3663587
41,"[131, 639, 287, 608, 267, 559, 100, 124, 1292, 359, 535, 80, 606, 247, 236, 274, 8, 412, 196, 646, 15, 239, 111, 1689, 60, 1162, 1890, 784, 1449, 1256, 75, 310, 230, 156, 41, 4824, 1032, 192, 159, 128, 457, 556]",244.2854,42,14.3668576
42,"[131, 639, 287, 608, 267, 559, 100, 124, 1292, 359, 535, 80, 606, 247, 236, 274, 8, 412, 196, 646, 15, 239, 111, 1689, 60, 1162, 1890, 784, 1449, 1256, 75, 310, 230, 156, 41, 4824, 1032, 192, 159, 128, 457, 556, 227]",248.0505,43,14.367102599999999
43,"[131, 639, 287, 608, 267, 559, 100, 124, 1292, 359, 535, 80, 606, 247, 236, 274, 8, 412, 196, 646, 15, 239, 111, 1689, 60, 1162, 1890, 784, 1449, 1256, 75, 310, 230, 156, 41, 4824, 1032, 192, 159, 128, 457, 556, 227, 1159]",251.5906,44,14.367349400000002
44,"[131, 639, 287, 608, 267, 559, 100, 124, 1292, 359, 535, 80, 606, 247, 236, 274, 8, 412, 196, 646, 15, 239, 111, 1689, 60, 1162, 1890, 784, 1449, 1256, 75, 310, 230, 156, 41, 4824, 1032, 192, 159, 128, 457, 556, 227, 1159, 1692]",254.5681,45,14.3676395
45,"[131, 639, 287, 608, 267, 559, 100, 124, 1292, 359, 535, 80, 606, 247, 236, 274, 8, 412, 196, 646, 15, 239, 111, 1689, 60, 1162, 1890, 784, 1449, 1256, 75, 310, 230, 156, 41, 4824, 1032, 192, 159, 128, 457, 556, 227, 1159, 1692, 426]",257.6304,46,14.367945500000001
46,"[131, 639, 287, 608, 267, 559, 100, 124, 1292, 359, 535, 80, 606, 247, 236, 274, 8, 412, 196, 646, 15, 239, 111, 1689, 60, 1162, 1890, 784, 1449, 1256, 75, 310, 230, 156, 41, 4824, 1032, 192, 159, 128, 457, 556, 227, 1159, 1692, 426, 1257]",260.4603,47,14.3683689
47,"[131, 639, 287, 608, 267, 559, 100, 124, 1292, 359, 535, 80, 606, 247, 236, 274, 8, 412, 196, 646, 15, 239, 111, 1689, 60, 1162, 1890, 784, 1449, 1256, 75, 310, 230, 156, 41, 4824, 1032, 192, 159, 128, 457, 556, 227, 1159, 1692, 426, 1257, 140]",264.0455,48,14.368825600000001
48,"[131, 639, 287, 608, 267, 559, 100, 124, 1292, 359, 535, 80, 606, 247, 236, 274, 8, 412, 196, 646, 15, 239, 111, 1689, 60, 1162, 1890, 784, 1449, 1256, 75, 310, 230, 156, 41, 4824, 1032, 192, 159, 128, 457, 556, 227, 1159, 1692, 426, 1257, 140, 661]",265.3563,49,14.369216699999999
49,"[131, 639, 287, 608, 267, 559, 100, 124, 1292, 359, 535, 80, 606, 247, 236, 274, 8, 412, 196, 646, 15, 239, 111, 1689, 60, 1162, 1890, 784, 1449, 1256, 75, 310, 230, 156, 41, 4824, 1032, 192, 159, 128, 457, 556, 227, 1159, 1692, 426, 1257, 140, 661, 354]",268.5076,50,14.369423900000001
