,S,average cover size,k,run time
0,[4840],228.798,1,142.2884062
1,"[4840, 23571]",241.245,2,142.2913724
2,"[4840, 23571, 3460]",282.408,3,142.2921906
3,"[4840, 23571, 3460, 12081]",313.346,4,142.2930961
4,"[4840, 23571, 3460, 12081, 17544]",548.866,5,142.29415550000002
5,"[4840, 23571, 3460, 12081, 17544, 15758]",576.813,6,142.2954761
6,"[4840, 23571, 3460, 12081, 17544, 15758, 5120]",585.895,7,142.2965601
7,"[4840, 23571, 3460, 12081, 17544, 15758, 5120, 6342]",610.349,8,142.29772060000002
8,"[4840, 23571, 3460, 12081, 17544, 15758, 5120, 6342, 5192]",617.819,9,142.3015107
9,"[4840, 23571, 3460, 12081, 17544, 15758, 5120, 6342, 5192, 8515]",652.41,10,142.3027796
10,"[4840, 23571, 3460, 12081, 17544, 15758, 5120, 6342, 5192, 8515, 5567]",663.976,11,142.303632
11,"[4840, 23571, 3460, 12081, 17544, 15758, 5120, 6342, 5192, 8515, 5567, 7387]",689.787,12,142.3050351
12,"[4840, 23571, 3460, 12081, 17544, 15758, 5120, 6342, 5192, 8515, 5567, 7387, 3333]",698.965,13,142.30640730000002
13,"[4840, 23571, 3460, 12081, 17544, 15758, 5120, 6342, 5192, 8515, 5567, 7387, 3333, 7132]",708.442,14,142.3077796
14,"[4840, 23571, 3460, 12081, 17544, 15758, 5120, 6342, 5192, 8515, 5567, 7387, 3333, 7132, 1866]",717.362,15,142.30855680000002
15,"[4840, 23571, 3460, 12081, 17544, 15758, 5120, 6342, 5192, 8515, 5567, 7387, 3333, 7132, 1866, 2356]",731.681,16,142.3091612
16,"[4840, 23571, 3460, 12081, 17544, 15758, 5120, 6342, 5192, 8515, 5567, 7387, 3333, 7132, 1866, 2356, 8970]",740.11,17,142.3102996
17,"[4840, 23571, 3460, 12081, 17544, 15758, 5120, 6342, 5192, 8515, 5567, 7387, 3333, 7132, 1866, 2356, 8970, 12010]",755.886,18,142.3106836
18,"[4840, 23571, 3460, 12081, 17544, 15758, 5120, 6342, 5192, 8515, 5567, 7387, 3333, 7132, 1866, 2356, 8970, 12010, 4109]",773.887,19,142.31113770000002
19,"[4840, 23571, 3460, 12081, 17544, 15758, 5120, 6342, 5192, 8515, 5567, 7387, 3333, 7132, 1866, 2356, 8970, 12010, 4109, 4115]",773.735,20,142.31216750000002
20,"[4840, 23571, 3460, 12081, 17544, 15758, 5120, 6342, 5192, 8515, 5567, 7387, 3333, 7132, 1866, 2356, 8970, 12010, 4109, 4115, 988]",793.777,21,142.3141933
21,"[4840, 23571, 3460, 12081, 17544, 15758, 5120, 6342, 5192, 8515, 5567, 7387, 3333, 7132, 1866, 2356, 8970, 12010, 4109, 4115, 988, 10653]",795.362,22,142.3148871
22,"[4840, 23571, 3460, 12081, 17544, 15758, 5120, 6342, 5192, 8515, 5567, 7387, 3333, 7132, 1866, 2356, 8970, 12010, 4109, 4115, 988, 10653, 11454]",810.708,23,142.315976
23,"[4840, 23571, 3460, 12081, 17544, 15758, 5120, 6342, 5192, 8515, 5567, 7387, 3333, 7132, 1866, 2356, 8970, 12010, 4109, 4115, 988, 10653, 11454, 22782]",813.983,24,142.3164243
24,"[4840, 23571, 3460, 12081, 17544, 15758, 5120, 6342, 5192, 8515, 5567, 7387, 3333, 7132, 1866, 2356, 8970, 12010, 4109, 4115, 988, 10653, 11454, 22782, 1568]",816.101,25,142.3167649
25,"[4840, 23571, 3460, 12081, 17544, 15758, 5120, 6342, 5192, 8515, 5567, 7387, 3333, 7132, 1866, 2356, 8970, 12010, 4109, 4115, 988, 10653, 11454, 22782, 1568, 13542]",856.856,26,142.31847100000002
26,"[4840, 23571, 3460, 12081, 17544, 15758, 5120, 6342, 5192, 8515, 5567, 7387, 3333, 7132, 1866, 2356, 8970, 12010, 4109, 4115, 988, 10653, 11454, 22782, 1568, 13542, 1720]",862.432,27,142.3195451
27,"[4840, 23571, 3460, 12081, 17544, 15758, 5120, 6342, 5192, 8515, 5567, 7387, 3333, 7132, 1866, 2356, 8970, 12010, 4109, 4115, 988, 10653, 11454, 22782, 1568, 13542, 1720, 3216]",865.447,28,142.3201766
28,"[4840, 23571, 3460, 12081, 17544, 15758, 5120, 6342, 5192, 8515, 5567, 7387, 3333, 7132, 1866, 2356, 8970, 12010, 4109, 4115, 988, 10653, 11454, 22782, 1568, 13542, 1720, 3216, 3566]",870.976,29,142.32075740000002
