,S,average cover size,k,run time
0,[1143],38.705,1,11.304621100000002
1,"[1143, 7338]",44.424,2,11.3166735
2,"[1143, 7338, 604]",50.912,3,11.320403900000002
3,"[1143, 7338, 604, 6932]",55.31,4,11.3240442
4,"[1143, 7338, 604, 6932, 5345]",66.02,5,11.334020300000002
5,"[1143, 7338, 604, 6932, 5345, 1981]",70.498,6,11.3427593
6,"[1143, 7338, 604, 6932, 5345, 1981, 638]",75.927,7,11.347384600000002
7,"[1143, 7338, 604, 6932, 5345, 1981, 638, 5121]",78.17,8,11.3520571
8,"[1143, 7338, 604, 6932, 5345, 1981, 638, 5121, 7297]",80.255,9,11.3576215
9,"[1143, 7338, 604, 6932, 5345, 1981, 638, 5121, 7297, 4531]",83.541,10,11.3625246
10,"[1143, 7338, 604, 6932, 5345, 1981, 638, 5121, 7297, 4531, 7369]",86.761,11,11.364035100000002
11,"[1143, 7338, 604, 6932, 5345, 1981, 638, 5121, 7297, 4531, 7369, 795]",88.6,12,11.3688449
12,"[1143, 7338, 604, 6932, 5345, 1981, 638, 5121, 7297, 4531, 7369, 795, 5159]",93.698,13,11.376137200000002
13,"[1143, 7338, 604, 6932, 5345, 1981, 638, 5121, 7297, 4531, 7369, 795, 5159, 3224]",94.919,14,11.379869200000002
14,"[1143, 7338, 604, 6932, 5345, 1981, 638, 5121, 7297, 4531, 7369, 795, 5159, 3224, 6250]",97.324,15,11.3834914
15,"[1143, 7338, 604, 6932, 5345, 1981, 638, 5121, 7297, 4531, 7369, 795, 5159, 3224, 6250, 7585]",100.517,16,11.386361400000002
16,"[1143, 7338, 604, 6932, 5345, 1981, 638, 5121, 7297, 4531, 7369, 795, 5159, 3224, 6250, 7585, 5257]",102.927,17,11.3892323
17,"[1143, 7338, 604, 6932, 5345, 1981, 638, 5121, 7297, 4531, 7369, 795, 5159, 3224, 6250, 7585, 5257, 1406]",102.914,18,11.3919754
18,"[1143, 7338, 604, 6932, 5345, 1981, 638, 5121, 7297, 4531, 7369, 795, 5159, 3224, 6250, 7585, 5257, 1406, 3864]",108.854,19,11.3947063
19,"[1143, 7338, 604, 6932, 5345, 1981, 638, 5121, 7297, 4531, 7369, 795, 5159, 3224, 6250, 7585, 5257, 1406, 3864, 2019]",109.548,20,11.397602599999999
20,"[1143, 7338, 604, 6932, 5345, 1981, 638, 5121, 7297, 4531, 7369, 795, 5159, 3224, 6250, 7585, 5257, 1406, 3864, 2019, 1338]",111.796,21,11.398077700000002
21,"[1143, 7338, 604, 6932, 5345, 1981, 638, 5121, 7297, 4531, 7369, 795, 5159, 3224, 6250, 7585, 5257, 1406, 3864, 2019, 1338, 6436]",112.559,22,11.398716100000001
22,"[1143, 7338, 604, 6932, 5345, 1981, 638, 5121, 7297, 4531, 7369, 795, 5159, 3224, 6250, 7585, 5257, 1406, 3864, 2019, 1338, 6436, 6990]",113.344,23,11.4013341
23,"[1143, 7338, 604, 6932, 5345, 1981, 638, 5121, 7297, 4531, 7369, 795, 5159, 3224, 6250, 7585, 5257, 1406, 3864, 2019, 1338, 6436, 6990, 7265]",116.71,24,11.404656800000001
24,"[1143, 7338, 604, 6932, 5345, 1981, 638, 5121, 7297, 4531, 7369, 795, 5159, 3224, 6250, 7585, 5257, 1406, 3864, 2019, 1338, 6436, 6990, 7265, 6281]",119.684,25,11.407844100000002
25,"[1143, 7338, 604, 6932, 5345, 1981, 638, 5121, 7297, 4531, 7369, 795, 5159, 3224, 6250, 7585, 5257, 1406, 3864, 2019, 1338, 6436, 6990, 7265, 6281, 3772]",119.137,26,11.4101556
26,"[1143, 7338, 604, 6932, 5345, 1981, 638, 5121, 7297, 4531, 7369, 795, 5159, 3224, 6250, 7585, 5257, 1406, 3864, 2019, 1338, 6436, 6990, 7265, 6281, 3772, 6854]",124.158,27,11.4119602
27,"[1143, 7338, 604, 6932, 5345, 1981, 638, 5121, 7297, 4531, 7369, 795, 5159, 3224, 6250, 7585, 5257, 1406, 3864, 2019, 1338, 6436, 6990, 7265, 6281, 3772, 6854, 3091]",126.838,28,11.414612300000002
28,"[1143, 7338, 604, 6932, 5345, 1981, 638, 5121, 7297, 4531, 7369, 795, 5159, 3224, 6250, 7585, 5257, 1406, 3864, 2019, 1338, 6436, 6990, 7265, 6281, 3772, 6854, 3091, 6622]",128.806,29,11.4174172
29,"[1143, 7338, 604, 6932, 5345, 1981, 638, 5121, 7297, 4531, 7369, 795, 5159, 3224, 6250, 7585, 5257, 1406, 3864, 2019, 1338, 6436, 6990, 7265, 6281, 3772, 6854, 3091, 6622, 5970]",133.329,30,11.4198943
30,"[1143, 7338, 604, 6932, 5345, 1981, 638, 5121, 7297, 4531, 7369, 795, 5159, 3224, 6250, 7585, 5257, 1406, 3864, 2019, 1338, 6436, 6990, 7265, 6281, 3772, 6854, 3091, 6622, 5970, 3422]",134.354,31,11.4225925
31,"[1143, 7338, 604, 6932, 5345, 1981, 638, 5121, 7297, 4531, 7369, 795, 5159, 3224, 6250, 7585, 5257, 1406, 3864, 2019, 1338, 6436, 6990, 7265, 6281, 3772, 6854, 3091, 6622, 5970, 3422, 4756]",134.855,32,11.424882100000001
32,"[1143, 7338, 604, 6932, 5345, 1981, 638, 5121, 7297, 4531, 7369, 795, 5159, 3224, 6250, 7585, 5257, 1406, 3864, 2019, 1338, 6436, 6990, 7265, 6281, 3772, 6854, 3091, 6622, 5970, 3422, 4756, 3945]",138.575,33,11.4268568
33,"[1143, 7338, 604, 6932, 5345, 1981, 638, 5121, 7297, 4531, 7369, 795, 5159, 3224, 6250, 7585, 5257, 1406, 3864, 2019, 1338, 6436, 6990, 7265, 6281, 3772, 6854, 3091, 6622, 5970, 3422, 4756, 3945, 1895]",139.773,34,11.428712700000002
34,"[1143, 7338, 604, 6932, 5345, 1981, 638, 5121, 7297, 4531, 7369, 795, 5159, 3224, 6250, 7585, 5257, 1406, 3864, 2019, 1338, 6436, 6990, 7265, 6281, 3772, 6854, 3091, 6622, 5970, 3422, 4756, 3945, 1895, 5900]",140.069,35,11.430762600000001
35,"[1143, 7338, 604, 6932, 5345, 1981, 638, 5121, 7297, 4531, 7369, 795, 5159, 3224, 6250, 7585, 5257, 1406, 3864, 2019, 1338, 6436, 6990, 7265, 6281, 3772, 6854, 3091, 6622, 5970, 3422, 4756, 3945, 1895, 5900, 778]",140.659,36,11.432697600000001
36,"[1143, 7338, 604, 6932, 5345, 1981, 638, 5121, 7297, 4531, 7369, 795, 5159, 3224, 6250, 7585, 5257, 1406, 3864, 2019, 1338, 6436, 6990, 7265, 6281, 3772, 6854, 3091, 6622, 5970, 3422, 4756, 3945, 1895, 5900, 778, 3175]",144.687,37,11.4331238
37,"[1143, 7338, 604, 6932, 5345, 1981, 638, 5121, 7297, 4531, 7369, 795, 5159, 3224, 6250, 7585, 5257, 1406, 3864, 2019, 1338, 6436, 6990, 7265, 6281, 3772, 6854, 3091, 6622, 5970, 3422, 4756, 3945, 1895, 5900, 778, 3175, 7307]",145.126,38,11.4344447
38,"[1143, 7338, 604, 6932, 5345, 1981, 638, 5121, 7297, 4531, 7369, 795, 5159, 3224, 6250, 7585, 5257, 1406, 3864, 2019, 1338, 6436, 6990, 7265, 6281, 3772, 6854, 3091, 6622, 5970, 3422, 4756, 3945, 1895, 5900, 778, 3175, 7307, 5721]",147.68,39,11.434606600000002
39,"[1143, 7338, 604, 6932, 5345, 1981, 638, 5121, 7297, 4531, 7369, 795, 5159, 3224, 6250, 7585, 5257, 1406, 3864, 2019, 1338, 6436, 6990, 7265, 6281, 3772, 6854, 3091, 6622, 5970, 3422, 4756, 3945, 1895, 5900, 778, 3175, 7307, 5721, 617]",150.213,40,11.4353743
40,"[1143, 7338, 604, 6932, 5345, 1981, 638, 5121, 7297, 4531, 7369, 795, 5159, 3224, 6250, 7585, 5257, 1406, 3864, 2019, 1338, 6436, 6990, 7265, 6281, 3772, 6854, 3091, 6622, 5970, 3422, 4756, 3945, 1895, 5900, 778, 3175, 7307, 5721, 617, 3884]",151.505,41,11.4366506
41,"[1143, 7338, 604, 6932, 5345, 1981, 638, 5121, 7297, 4531, 7369, 795, 5159, 3224, 6250, 7585, 5257, 1406, 3864, 2019, 1338, 6436, 6990, 7265, 6281, 3772, 6854, 3091, 6622, 5970, 3422, 4756, 3945, 1895, 5900, 778, 3175, 7307, 5721, 617, 3884, 6971]",152.408,42,11.437895700000002
42,"[1143, 7338, 604, 6932, 5345, 1981, 638, 5121, 7297, 4531, 7369, 795, 5159, 3224, 6250, 7585, 5257, 1406, 3864, 2019, 1338, 6436, 6990, 7265, 6281, 3772, 6854, 3091, 6622, 5970, 3422, 4756, 3945, 1895, 5900, 778, 3175, 7307, 5721, 617, 3884, 6971, 1783]",153.832,43,11.4381649
43,"[1143, 7338, 604, 6932, 5345, 1981, 638, 5121, 7297, 4531, 7369, 795, 5159, 3224, 6250, 7585, 5257, 1406, 3864, 2019, 1338, 6436, 6990, 7265, 6281, 3772, 6854, 3091, 6622, 5970, 3422, 4756, 3945, 1895, 5900, 778, 3175, 7307, 5721, 617, 3884, 6971, 1783, 807]",156.613,44,11.4402048
