,k,run time,average cover size,S
0,1,59.172410299999996,1024.845,[107]
1,2,59.217115199999995,1089.606,"[107, 3437]"
2,3,59.233734299999995,1121.348,"[107, 3437, 0]"
3,4,59.2425297,1242.751,"[107, 3437, 0, 2347]"
4,5,59.2576368,1453.922,"[107, 3437, 0, 2347, 3291]"
5,6,59.2597909,1471.594,"[107, 3437, 0, 2347, 3291, 3363]"
6,7,59.2624565,1472.425,"[107, 3437, 0, 2347, 3291, 3363, 2434]"
7,8,59.265507199999995,1472.379,"[107, 3437, 0, 2347, 3291, 3363, 2434, 3302]"
8,9,59.2667089,1476.091,"[107, 3437, 0, 2347, 3291, 3363, 2434, 3302, 2894]"
9,10,59.267914999999995,1477.543,"[107, 3437, 0, 2347, 3291, 3363, 2434, 3302, 2894, 3119]"
10,11,59.2699137,1478.257,"[107, 3437, 0, 2347, 3291, 3363, 2434, 3302, 2894, 3119, 460]"
11,12,59.2711622,1480.025,"[107, 3437, 0, 2347, 3291, 3363, 2434, 3302, 2894, 3119, 460, 3077]"
12,13,59.2724505,1480.222,"[107, 3437, 0, 2347, 3291, 3363, 2434, 3302, 2894, 3119, 460, 3077, 2950]"
13,14,59.273534399999996,1483.295,"[107, 3437, 0, 2347, 3291, 3363, 2434, 3302, 2894, 3119, 460, 3077, 2950, 2659]"
14,15,59.273894999999996,1485.048,"[107, 3437, 0, 2347, 3291, 3363, 2434, 3302, 2894, 3119, 460, 3077, 2950, 2659, 2126]"
15,16,59.2747883,1487.016,"[107, 3437, 0, 2347, 3291, 3363, 2434, 3302, 2894, 3119, 460, 3077, 2950, 2659, 2126, 2049]"
16,17,59.275598599999995,1487.039,"[107, 3437, 0, 2347, 3291, 3363, 2434, 3302, 2894, 3119, 460, 3077, 2950, 2659, 2126, 2049, 407]"
17,18,59.2757374,1490.767,"[107, 3437, 0, 2347, 3291, 3363, 2434, 3302, 2894, 3119, 460, 3077, 2950, 2659, 2126, 2049, 407, 3383]"
18,19,59.275873,1492.685,"[107, 3437, 0, 2347, 3291, 3363, 2434, 3302, 2894, 3119, 460, 3077, 2950, 2659, 2126, 2049, 407, 3383, 644]"
19,20,59.2763802,1499.021,"[107, 3437, 0, 2347, 3291, 3363, 2434, 3302, 2894, 3119, 460, 3077, 2950, 2659, 2126, 2049, 407, 3383, 644, 795]"
20,21,59.2766184,1499.947,"[107, 3437, 0, 2347, 3291, 3363, 2434, 3302, 2894, 3119, 460, 3077, 2950, 2659, 2126, 2049, 407, 3383, 644, 795, 2949]"
21,22,59.2768115,1502.59,"[107, 3437, 0, 2347, 3291, 3363, 2434, 3302, 2894, 3119, 460, 3077, 2950, 2659, 2126, 2049, 407, 3383, 644, 795, 2949, 474]"
22,23,59.276907099999995,1507.015,"[107, 3437, 0, 2347, 3291, 3363, 2434, 3302, 2894, 3119, 460, 3077, 2950, 2659, 2126, 2049, 407, 3383, 644, 795, 2949, 474, 938]"
23,24,59.2776931,1504.245,"[107, 3437, 0, 2347, 3291, 3363, 2434, 3302, 2894, 3119, 460, 3077, 2950, 2659, 2126, 2049, 407, 3383, 644, 795, 2949, 474, 938, 634]"
24,25,59.278131599999995,1504.958,"[107, 3437, 0, 2347, 3291, 3363, 2434, 3302, 2894, 3119, 460, 3077, 2950, 2659, 2126, 2049, 407, 3383, 644, 795, 2949, 474, 938, 634, 4023]"
25,26,59.2782165,1511.488,"[107, 3437, 0, 2347, 3291, 3363, 2434, 3302, 2894, 3119, 460, 3077, 2950, 2659, 2126, 2049, 407, 3383, 644, 795, 2949, 474, 938, 634, 4023, 771]"
26,27,59.2782574,1512.115,"[107, 3437, 0, 2347, 3291, 3363, 2434, 3302, 2894, 3119, 460, 3077, 2950, 2659, 2126, 2049, 407, 3383, 644, 795, 2949, 474, 938, 634, 4023, 771, 1676]"
27,28,59.2785059,1513.264,"[107, 3437, 0, 2347, 3291, 3363, 2434, 3302, 2894, 3119, 460, 3077, 2950, 2659, 2126, 2049, 407, 3383, 644, 795, 2949, 474, 938, 634, 4023, 771, 1676, 2450]"
28,29,59.278889799999995,1512.322,"[107, 3437, 0, 2347, 3291, 3363, 2434, 3302, 2894, 3119, 460, 3077, 2950, 2659, 2126, 2049, 407, 3383, 644, 795, 2949, 474, 938, 634, 4023, 771, 1676, 2450, 2545]"
29,30,59.2795426,1513.865,"[107, 3437, 0, 2347, 3291, 3363, 2434, 3302, 2894, 3119, 460, 3077, 2950, 2659, 2126, 2049, 407, 3383, 644, 795, 2949, 474, 938, 634, 4023, 771, 1676, 2450, 2545, 1896]"
30,31,59.2800641,1516.354,"[107, 3437, 0, 2347, 3291, 3363, 2434, 3302, 2894, 3119, 460, 3077, 2950, 2659, 2126, 2049, 407, 3383, 644, 795, 2949, 474, 938, 634, 4023, 771, 1676, 2450, 2545, 1896, 2678]"
31,32,59.280330299999996,1518.117,"[107, 3437, 0, 2347, 3291, 3363, 2434, 3302, 2894, 3119, 460, 3077, 2950, 2659, 2126, 2049, 407, 3383, 644, 795, 2949, 474, 938, 634, 4023, 771, 1676, 2450, 2545, 1896, 2678, 2801]"
32,33,59.2808462,1518.937,"[107, 3437, 0, 2347, 3291, 3363, 2434, 3302, 2894, 3119, 460, 3077, 2950, 2659, 2126, 2049, 407, 3383, 644, 795, 2949, 474, 938, 634, 4023, 771, 1676, 2450, 2545, 1896, 2678, 2801, 2041]"
