,k,run time,average cover size,S
0,1,117.0382791,1036.361,[107]
1,2,117.05190409999999,1252.271,"[107, 1684]"
2,3,117.0631394,1397.878,"[107, 1684, 1912]"
3,4,117.072302,1445.836,"[107, 1684, 1912, 3437]"
4,5,117.07932869999999,1473.494,"[107, 1684, 1912, 3437, 0]"
5,6,117.08396649999999,1473.109,"[107, 1684, 1912, 3437, 0, 348]"
6,7,117.08685109999999,1493.883,"[107, 1684, 1912, 3437, 0, 348, 686]"
7,8,117.0889673,1489.911,"[107, 1684, 1912, 3437, 0, 348, 686, 1718]"
8,9,117.0908374,1494.985,"[107, 1684, 1912, 3437, 0, 348, 686, 1718, 2344]"
9,10,117.09239269999999,1493.645,"[107, 1684, 1912, 3437, 0, 348, 686, 1718, 2344, 1964]"
10,11,117.0939291,1492.394,"[107, 1684, 1912, 3437, 0, 348, 686, 1718, 2344, 1964, 2189]"
11,12,117.09540759999999,1492.918,"[107, 1684, 1912, 3437, 0, 348, 686, 1718, 2344, 1964, 2189, 2501]"
12,13,117.0968994,1492.253,"[107, 1684, 1912, 3437, 0, 348, 686, 1718, 2344, 1964, 2189, 2501, 2594]"
13,14,117.0982368,1491.943,"[107, 1684, 1912, 3437, 0, 348, 686, 1718, 2344, 1964, 2189, 2501, 2594, 1959]"
14,15,117.0995789,1494.418,"[107, 1684, 1912, 3437, 0, 348, 686, 1718, 2344, 1964, 2189, 2501, 2594, 1959, 2458]"
15,16,117.10089889999999,1493.375,"[107, 1684, 1912, 3437, 0, 348, 686, 1718, 2344, 1964, 2189, 2501, 2594, 1959, 2458, 1465]"
16,17,117.1022445,1494.373,"[107, 1684, 1912, 3437, 0, 348, 686, 1718, 2344, 1964, 2189, 2501, 2594, 1959, 2458, 1465, 2396]"
17,18,117.103517,1496.557,"[107, 1684, 1912, 3437, 0, 348, 686, 1718, 2344, 1964, 2189, 2501, 2594, 1959, 2458, 1465, 2396, 1505]"
18,19,117.1058975,1497.857,"[107, 1684, 1912, 3437, 0, 348, 686, 1718, 2344, 1964, 2189, 2501, 2594, 1959, 2458, 1465, 2396, 1505, 2608]"
19,20,117.10730369999999,1497.92,"[107, 1684, 1912, 3437, 0, 348, 686, 1718, 2344, 1964, 2189, 2501, 2594, 1959, 2458, 1465, 2396, 1505, 2608, 1970]"
20,21,117.10866259999999,1497.338,"[107, 1684, 1912, 3437, 0, 348, 686, 1718, 2344, 1964, 2189, 2501, 2594, 1959, 2458, 1465, 2396, 1505, 2608, 1970, 2267]"
21,22,117.1101736,1496.526,"[107, 1684, 1912, 3437, 0, 348, 686, 1718, 2344, 1964, 2189, 2501, 2594, 1959, 2458, 1465, 2396, 1505, 2608, 1970, 2267, 2567]"
22,23,117.1116842,1494.42,"[107, 1684, 1912, 3437, 0, 348, 686, 1718, 2344, 1964, 2189, 2501, 2594, 1959, 2458, 1465, 2396, 1505, 2608, 1970, 2267, 2567, 2226]"
23,24,117.1131085,1498.191,"[107, 1684, 1912, 3437, 0, 348, 686, 1718, 2344, 1964, 2189, 2501, 2594, 1959, 2458, 1465, 2396, 1505, 2608, 1970, 2267, 2567, 2226, 422]"
24,25,117.114009,1500.585,"[107, 1684, 1912, 3437, 0, 348, 686, 1718, 2344, 1964, 2189, 2501, 2594, 1959, 2458, 1465, 2396, 1505, 2608, 1970, 2267, 2567, 2226, 422, 1074]"
25,26,117.1159524,1497.757,"[107, 1684, 1912, 3437, 0, 348, 686, 1718, 2344, 1964, 2189, 2501, 2594, 1959, 2458, 1465, 2396, 1505, 2608, 1970, 2267, 2567, 2226, 422, 1074, 2478]"
26,27,117.117342,1501.791,"[107, 1684, 1912, 3437, 0, 348, 686, 1718, 2344, 1964, 2189, 2501, 2594, 1959, 2458, 1465, 2396, 1505, 2608, 1970, 2267, 2567, 2226, 422, 1074, 2478, 3327]"
27,28,117.11905239999999,1501.078,"[107, 1684, 1912, 3437, 0, 348, 686, 1718, 2344, 1964, 2189, 2501, 2594, 1959, 2458, 1465, 2396, 1505, 2608, 1970, 2267, 2567, 2226, 422, 1074, 2478, 3327, 1513]"
28,29,117.12350889999999,1503.454,"[107, 1684, 1912, 3437, 0, 348, 686, 1718, 2344, 1964, 2189, 2501, 2594, 1959, 2458, 1465, 2396, 1505, 2608, 1970, 2267, 2567, 2226, 422, 1074, 2478, 3327, 1513, 2128]"
29,30,117.1249472,1500.767,"[107, 1684, 1912, 3437, 0, 348, 686, 1718, 2344, 1964, 2189, 2501, 2594, 1959, 2458, 1465, 2396, 1505, 2608, 1970, 2267, 2567, 2226, 422, 1074, 2478, 3327, 1513, 2128, 1981]"
30,31,117.12620179999999,1503.271,"[107, 1684, 1912, 3437, 0, 348, 686, 1718, 2344, 1964, 2189, 2501, 2594, 1959, 2458, 1465, 2396, 1505, 2608, 1970, 2267, 2567, 2226, 422, 1074, 2478, 3327, 1513, 2128, 1981, 1724]"
31,32,117.1280374,1502.742,"[107, 1684, 1912, 3437, 0, 348, 686, 1718, 2344, 1964, 2189, 2501, 2594, 1959, 2458, 1465, 2396, 1505, 2608, 1970, 2267, 2567, 2226, 422, 1074, 2478, 3327, 1513, 2128, 1981, 1724, 641]"
32,33,117.130304,1503.901,"[107, 1684, 1912, 3437, 0, 348, 686, 1718, 2344, 1964, 2189, 2501, 2594, 1959, 2458, 1465, 2396, 1505, 2608, 1970, 2267, 2567, 2226, 422, 1074, 2478, 3327, 1513, 2128, 1981, 1724, 641, 2056]"
33,34,117.1316889,1503.126,"[107, 1684, 1912, 3437, 0, 348, 686, 1718, 2344, 1964, 2189, 2501, 2594, 1959, 2458, 1465, 2396, 1505, 2608, 1970, 2267, 2567, 2226, 422, 1074, 2478, 3327, 1513, 2128, 1981, 1724, 641, 2056, 1794]"
