,k,run time,average cover size,S
0,1,0.4842348999999997,372.396,[104]
1,2,0.4848523,378.017,"[104, 22]"
2,3,0.4851999,377.197,"[104, 22, 232]"
3,4,0.4855910999999997,379.561,"[104, 22, 232, 354]"
4,5,0.4860521999999996,380.959,"[104, 22, 232, 354, 75]"
5,6,0.4864286,381.156,"[104, 22, 232, 354, 75, 71]"
6,7,0.4866526999999996,380.421,"[104, 22, 232, 354, 75, 71, 577]"
7,8,0.4868732999999996,382.073,"[104, 22, 232, 354, 75, 71, 577, 428]"
8,9,0.48718629999999985,383.714,"[104, 22, 232, 354, 75, 71, 577, 428, 119]"
9,10,0.4873949999999998,384.424,"[104, 22, 232, 354, 75, 71, 577, 428, 119, 139]"
10,11,0.4875263999999997,385.711,"[104, 22, 232, 354, 75, 71, 577, 428, 119, 139, 433]"
11,12,0.4877317999999997,387.523,"[104, 22, 232, 354, 75, 71, 577, 428, 119, 139, 433, 375]"
12,13,0.48798759999999985,388.145,"[104, 22, 232, 354, 75, 71, 577, 428, 119, 139, 433, 375, 503]"
13,14,0.48809179999999985,387.016,"[104, 22, 232, 354, 75, 71, 577, 428, 119, 139, 433, 375, 503, 6]"
14,15,0.4881762999999997,392.673,"[104, 22, 232, 354, 75, 71, 577, 428, 119, 139, 433, 375, 503, 6, 563]"
15,16,0.4884598999999996,393.56,"[104, 22, 232, 354, 75, 71, 577, 428, 119, 139, 433, 375, 503, 6, 563, 79]"
16,17,0.488556,394.724,"[104, 22, 232, 354, 75, 71, 577, 428, 119, 139, 433, 375, 503, 6, 563, 79, 338]"
17,18,0.48871949999999975,395.672,"[104, 22, 232, 354, 75, 71, 577, 428, 119, 139, 433, 375, 503, 6, 563, 79, 338, 80]"
18,19,0.4888364999999997,395.984,"[104, 22, 232, 354, 75, 71, 577, 428, 119, 139, 433, 375, 503, 6, 563, 79, 338, 80, 774]"
19,20,0.48899009999999965,399.075,"[104, 22, 232, 354, 75, 71, 577, 428, 119, 139, 433, 375, 503, 6, 563, 79, 338, 80, 774, 548]"
20,21,0.48919849999999965,399.737,"[104, 22, 232, 354, 75, 71, 577, 428, 119, 139, 433, 375, 503, 6, 563, 79, 338, 80, 774, 548, 37]"
21,22,0.4892854999999998,400.219,"[104, 22, 232, 354, 75, 71, 577, 428, 119, 139, 433, 375, 503, 6, 563, 79, 338, 80, 774, 548, 37, 72]"
22,23,0.48940899999999976,399.536,"[104, 22, 232, 354, 75, 71, 577, 428, 119, 139, 433, 375, 503, 6, 563, 79, 338, 80, 774, 548, 37, 72, 89]"
