,S,average cover size,k,run time
0,[131],835.826,1,9.4643448
1,"[131, 287]",837.829,2,9.466561200000001
2,"[131, 287, 267]",836.816,3,9.4693137
3,"[131, 287, 267, 559]",841.821,4,9.470834100000001
4,"[131, 287, 267, 559, 744]",854.993,5,9.472572
5,"[131, 287, 267, 559, 744, 100]",856.898,6,9.473476600000001
6,"[131, 287, 267, 559, 744, 100, 124]",855.078,7,9.476098499999999
7,"[131, 287, 267, 559, 744, 100, 124, 535]",858.798,8,9.477904800000001
8,"[131, 287, 267, 559, 744, 100, 124, 535, 80]",858.911,9,9.479226400000002
9,"[131, 287, 267, 559, 744, 100, 124, 535, 80, 236]",860.799,10,9.481482100000001
10,"[131, 287, 267, 559, 744, 100, 124, 535, 80, 236, 8]",862.956,11,9.484026499999999
11,"[131, 287, 267, 559, 744, 100, 124, 535, 80, 236, 8, 412]",868.684,12,9.486793299999999
12,"[131, 287, 267, 559, 744, 100, 124, 535, 80, 236, 8, 412, 221]",868.443,13,9.489339099999999
13,"[131, 287, 267, 559, 744, 100, 124, 535, 80, 236, 8, 412, 221, 646]",872.837,14,9.4925639
14,"[131, 287, 267, 559, 744, 100, 124, 535, 80, 236, 8, 412, 221, 646, 15]",868.999,15,9.495197699999999
15,"[131, 287, 267, 559, 744, 100, 124, 535, 80, 236, 8, 412, 221, 646, 15, 60]",872.624,16,9.4984943
16,"[131, 287, 267, 559, 744, 100, 124, 535, 80, 236, 8, 412, 221, 646, 15, 60, 1162]",875.104,17,9.5009145
17,"[131, 287, 267, 559, 744, 100, 124, 535, 80, 236, 8, 412, 221, 646, 15, 60, 1162, 310]",876.181,18,9.5038096
18,"[131, 287, 267, 559, 744, 100, 124, 535, 80, 236, 8, 412, 221, 646, 15, 60, 1162, 310, 192]",881.223,19,9.505780300000001
19,"[131, 287, 267, 559, 744, 100, 124, 535, 80, 236, 8, 412, 221, 646, 15, 60, 1162, 310, 192, 77]",885.342,20,9.5082956
20,"[131, 287, 267, 559, 744, 100, 124, 535, 80, 236, 8, 412, 221, 646, 15, 60, 1162, 310, 192, 77, 515]",886.968,21,9.5096995
21,"[131, 287, 267, 559, 744, 100, 124, 535, 80, 236, 8, 412, 221, 646, 15, 60, 1162, 310, 192, 77, 515, 457]",886.928,22,9.512103
22,"[131, 287, 267, 559, 744, 100, 124, 535, 80, 236, 8, 412, 221, 646, 15, 60, 1162, 310, 192, 77, 515, 457, 1159]",892.865,23,9.514895500000002
23,"[131, 287, 267, 559, 744, 100, 124, 535, 80, 236, 8, 412, 221, 646, 15, 60, 1162, 310, 192, 77, 515, 457, 1159, 1692]",896.806,24,9.516944899999999
24,"[131, 287, 267, 559, 744, 100, 124, 535, 80, 236, 8, 412, 221, 646, 15, 60, 1162, 310, 192, 77, 515, 457, 1159, 1692, 426]",902.534,25,9.5193568
25,"[131, 287, 267, 559, 744, 100, 124, 535, 80, 236, 8, 412, 221, 646, 15, 60, 1162, 310, 192, 77, 515, 457, 1159, 1692, 426, 140]",905.222,26,9.5204725
26,"[131, 287, 267, 559, 744, 100, 124, 535, 80, 236, 8, 412, 221, 646, 15, 60, 1162, 310, 192, 77, 515, 457, 1159, 1692, 426, 140, 226]",906.866,27,9.5228893
27,"[131, 287, 267, 559, 744, 100, 124, 535, 80, 236, 8, 412, 221, 646, 15, 60, 1162, 310, 192, 77, 515, 457, 1159, 1692, 426, 140, 226, 805]",910.126,28,9.524193400000001
28,"[131, 287, 267, 559, 744, 100, 124, 535, 80, 236, 8, 412, 221, 646, 15, 60, 1162, 310, 192, 77, 515, 457, 1159, 1692, 426, 140, 226, 805, 741]",915.787,29,9.5255421
29,"[131, 287, 267, 559, 744, 100, 124, 535, 80, 236, 8, 412, 221, 646, 15, 60, 1162, 310, 192, 77, 515, 457, 1159, 1692, 426, 140, 226, 805, 741, 214]",921.447,30,9.527286100000001
30,"[131, 287, 267, 559, 744, 100, 124, 535, 80, 236, 8, 412, 221, 646, 15, 60, 1162, 310, 192, 77, 515, 457, 1159, 1692, 426, 140, 226, 805, 741, 214, 607]",917.771,31,9.5282555
31,"[131, 287, 267, 559, 744, 100, 124, 535, 80, 236, 8, 412, 221, 646, 15, 60, 1162, 310, 192, 77, 515, 457, 1159, 1692, 426, 140, 226, 805, 741, 214, 607, 19]",921.776,32,9.5296537
32,"[131, 287, 267, 559, 744, 100, 124, 535, 80, 236, 8, 412, 221, 646, 15, 60, 1162, 310, 192, 77, 515, 457, 1159, 1692, 426, 140, 226, 805, 741, 214, 607, 19, 866]",923.662,33,9.5318674
33,"[131, 287, 267, 559, 744, 100, 124, 535, 80, 236, 8, 412, 221, 646, 15, 60, 1162, 310, 192, 77, 515, 457, 1159, 1692, 426, 140, 226, 805, 741, 214, 607, 19, 866, 950]",925.57,34,9.5336143
34,"[131, 287, 267, 559, 744, 100, 124, 535, 80, 236, 8, 412, 221, 646, 15, 60, 1162, 310, 192, 77, 515, 457, 1159, 1692, 426, 140, 226, 805, 741, 214, 607, 19, 866, 950, 981]",931.234,35,9.5358761
35,"[131, 287, 267, 559, 744, 100, 124, 535, 80, 236, 8, 412, 221, 646, 15, 60, 1162, 310, 192, 77, 515, 457, 1159, 1692, 426, 140, 226, 805, 741, 214, 607, 19, 866, 950, 981, 2841]",927.601,36,9.537575400000001
36,"[131, 287, 267, 559, 744, 100, 124, 535, 80, 236, 8, 412, 221, 646, 15, 60, 1162, 310, 192, 77, 515, 457, 1159, 1692, 426, 140, 226, 805, 741, 214, 607, 19, 866, 950, 981, 2841, 736]",935.458,37,9.539259099999999
37,"[131, 287, 267, 559, 744, 100, 124, 535, 80, 236, 8, 412, 221, 646, 15, 60, 1162, 310, 192, 77, 515, 457, 1159, 1692, 426, 140, 226, 805, 741, 214, 607, 19, 866, 950, 981, 2841, 736, 56]",935.673,38,9.5402721
38,"[131, 287, 267, 559, 744, 100, 124, 535, 80, 236, 8, 412, 221, 646, 15, 60, 1162, 310, 192, 77, 515, 457, 1159, 1692, 426, 140, 226, 805, 741, 214, 607, 19, 866, 950, 981, 2841, 736, 56, 1987]",938.566,39,9.5425072
