,S,average cover size,k,run time
0,[131],837.217,1,8.211952700000001
1,"[131, 639]",848.044,2,8.2126107
2,"[131, 639, 287]",850.059,3,8.2138577
3,"[131, 639, 287, 608]",851.106,4,8.214953900000001
4,"[131, 639, 287, 608, 267]",848.643,5,8.215971
5,"[131, 639, 287, 608, 267, 559]",852.505,6,8.216886200000001
6,"[131, 639, 287, 608, 267, 559, 100]",855.204,7,8.217789400000001
7,"[131, 639, 287, 608, 267, 559, 100, 124]",857.363,8,8.2190873
8,"[131, 639, 287, 608, 267, 559, 100, 124, 80]",860.452,9,8.220390400000001
9,"[131, 639, 287, 608, 267, 559, 100, 124, 80, 606]",861.185,10,8.2214726
10,"[131, 639, 287, 608, 267, 559, 100, 124, 80, 606, 247]",859.249,11,8.222574100000001
11,"[131, 639, 287, 608, 267, 559, 100, 124, 80, 606, 247, 236]",864.342,12,8.223217400000001
12,"[131, 639, 287, 608, 267, 559, 100, 124, 80, 606, 247, 236, 8]",864.12,13,8.223930000000001
13,"[131, 639, 287, 608, 267, 559, 100, 124, 80, 606, 247, 236, 8, 412]",866.61,14,8.2245357
14,"[131, 639, 287, 608, 267, 559, 100, 124, 80, 606, 247, 236, 8, 412, 196]",867.754,15,8.225407500000001
15,"[131, 639, 287, 608, 267, 559, 100, 124, 80, 606, 247, 236, 8, 412, 196, 646]",868.899,16,8.2264575
16,"[131, 639, 287, 608, 267, 559, 100, 124, 80, 606, 247, 236, 8, 412, 196, 646, 15]",872.967,17,8.2271584
17,"[131, 639, 287, 608, 267, 559, 100, 124, 80, 606, 247, 236, 8, 412, 196, 646, 15, 239]",868.74,18,8.227839000000001
18,"[131, 639, 287, 608, 267, 559, 100, 124, 80, 606, 247, 236, 8, 412, 196, 646, 15, 239, 111]",875.584,19,8.228744500000001
19,"[131, 639, 287, 608, 267, 559, 100, 124, 80, 606, 247, 236, 8, 412, 196, 646, 15, 239, 111, 265]",873.717,20,8.2294272
20,"[131, 639, 287, 608, 267, 559, 100, 124, 80, 606, 247, 236, 8, 412, 196, 646, 15, 239, 111, 265, 60]",871.944,21,8.2302608
21,"[131, 639, 287, 608, 267, 559, 100, 124, 80, 606, 247, 236, 8, 412, 196, 646, 15, 239, 111, 265, 60, 1162]",878.102,22,8.2309322
22,"[131, 639, 287, 608, 267, 559, 100, 124, 80, 606, 247, 236, 8, 412, 196, 646, 15, 239, 111, 265, 60, 1162, 1890]",878.233,23,8.2317862
23,"[131, 639, 287, 608, 267, 559, 100, 124, 80, 606, 247, 236, 8, 412, 196, 646, 15, 239, 111, 265, 60, 1162, 1890, 75]",882.411,24,8.2324528
24,"[131, 639, 287, 608, 267, 559, 100, 124, 80, 606, 247, 236, 8, 412, 196, 646, 15, 239, 111, 265, 60, 1162, 1890, 75, 310]",882.64,25,8.2329119
25,"[131, 639, 287, 608, 267, 559, 100, 124, 80, 606, 247, 236, 8, 412, 196, 646, 15, 239, 111, 265, 60, 1162, 1890, 75, 310, 417]",885.003,26,8.2334877
26,"[131, 639, 287, 608, 267, 559, 100, 124, 80, 606, 247, 236, 8, 412, 196, 646, 15, 239, 111, 265, 60, 1162, 1890, 75, 310, 417, 156]",883.749,27,8.2339836
27,"[131, 639, 287, 608, 267, 559, 100, 124, 80, 606, 247, 236, 8, 412, 196, 646, 15, 239, 111, 265, 60, 1162, 1890, 75, 310, 417, 156, 41]",890.673,28,8.2346353
28,"[131, 639, 287, 608, 267, 559, 100, 124, 80, 606, 247, 236, 8, 412, 196, 646, 15, 239, 111, 265, 60, 1162, 1890, 75, 310, 417, 156, 41, 4824]",895.184,29,8.235265700000001
