,S,average cover size,k,run time
0,[131],837.166,1,17.387809499999996
1,"[131, 639]",850.935,2,17.389909699999997
2,"[131, 639, 287]",848.133,3,17.3920764
3,"[131, 639, 287, 608]",848.942,4,17.394182899999997
4,"[131, 639, 287, 608, 267]",848.885,5,17.3958827
5,"[131, 639, 287, 608, 267, 559]",853.784,6,17.397418899999998
6,"[131, 639, 287, 608, 267, 559, 100]",851.422,7,17.399046499999997
7,"[131, 639, 287, 608, 267, 559, 100, 124]",856.124,8,17.4016182
8,"[131, 639, 287, 608, 267, 559, 100, 124, 80]",858.425,9,17.404075
9,"[131, 639, 287, 608, 267, 559, 100, 124, 80, 606]",862.433,10,17.4061169
10,"[131, 639, 287, 608, 267, 559, 100, 124, 80, 606, 247]",858.23,11,17.4081812
11,"[131, 639, 287, 608, 267, 559, 100, 124, 80, 606, 247, 236]",861.442,12,17.4093686
12,"[131, 639, 287, 608, 267, 559, 100, 124, 80, 606, 247, 236, 8]",864.011,13,17.410692599999997
13,"[131, 639, 287, 608, 267, 559, 100, 124, 80, 606, 247, 236, 8, 412]",868.955,14,17.4118255
14,"[131, 639, 287, 608, 267, 559, 100, 124, 80, 606, 247, 236, 8, 412, 196]",867.933,15,17.4134568
15,"[131, 639, 287, 608, 267, 559, 100, 124, 80, 606, 247, 236, 8, 412, 196, 646]",868.347,16,17.415344499999996
16,"[131, 639, 287, 608, 267, 559, 100, 124, 80, 606, 247, 236, 8, 412, 196, 646, 15]",868.206,17,17.4166363
17,"[131, 639, 287, 608, 267, 559, 100, 124, 80, 606, 247, 236, 8, 412, 196, 646, 15, 239]",873.909,18,17.417896
18,"[131, 639, 287, 608, 267, 559, 100, 124, 80, 606, 247, 236, 8, 412, 196, 646, 15, 239, 111]",873.697,19,17.419553099999995
19,"[131, 639, 287, 608, 267, 559, 100, 124, 80, 606, 247, 236, 8, 412, 196, 646, 15, 239, 111, 265]",871.152,20,17.420805799999997
20,"[131, 639, 287, 608, 267, 559, 100, 124, 80, 606, 247, 236, 8, 412, 196, 646, 15, 239, 111, 265, 60]",877.368,21,17.4223292
21,"[131, 639, 287, 608, 267, 559, 100, 124, 80, 606, 247, 236, 8, 412, 196, 646, 15, 239, 111, 265, 60, 1162]",877.677,22,17.423540699999997
22,"[131, 639, 287, 608, 267, 559, 100, 124, 80, 606, 247, 236, 8, 412, 196, 646, 15, 239, 111, 265, 60, 1162, 1890]",877.187,23,17.425087499999997
23,"[131, 639, 287, 608, 267, 559, 100, 124, 80, 606, 247, 236, 8, 412, 196, 646, 15, 239, 111, 265, 60, 1162, 1890, 75]",885.232,24,17.426322399999997
24,"[131, 639, 287, 608, 267, 559, 100, 124, 80, 606, 247, 236, 8, 412, 196, 646, 15, 239, 111, 265, 60, 1162, 1890, 75, 310]",882.92,25,17.4271575
25,"[131, 639, 287, 608, 267, 559, 100, 124, 80, 606, 247, 236, 8, 412, 196, 646, 15, 239, 111, 265, 60, 1162, 1890, 75, 310, 417]",886.18,26,17.427976799999996
26,"[131, 639, 287, 608, 267, 559, 100, 124, 80, 606, 247, 236, 8, 412, 196, 646, 15, 239, 111, 265, 60, 1162, 1890, 75, 310, 417, 156]",886.936,27,17.4287176
27,"[131, 639, 287, 608, 267, 559, 100, 124, 80, 606, 247, 236, 8, 412, 196, 646, 15, 239, 111, 265, 60, 1162, 1890, 75, 310, 417, 156, 41]",890.781,28,17.429844099999997
28,"[131, 639, 287, 608, 267, 559, 100, 124, 80, 606, 247, 236, 8, 412, 196, 646, 15, 239, 111, 265, 60, 1162, 1890, 75, 310, 417, 156, 41, 4824]",894.146,29,17.4309748
29,"[131, 639, 287, 608, 267, 559, 100, 124, 80, 606, 247, 236, 8, 412, 196, 646, 15, 239, 111, 265, 60, 1162, 1890, 75, 310, 417, 156, 41, 4824, 192]",900.677,30,17.4324333
30,"[131, 639, 287, 608, 267, 559, 100, 124, 80, 606, 247, 236, 8, 412, 196, 646, 15, 239, 111, 265, 60, 1162, 1890, 75, 310, 417, 156, 41, 4824, 192, 128]",902.407,31,17.433873399999996
31,"[131, 639, 287, 608, 267, 559, 100, 124, 80, 606, 247, 236, 8, 412, 196, 646, 15, 239, 111, 265, 60, 1162, 1890, 75, 310, 417, 156, 41, 4824, 192, 128, 457]",905.898,32,17.434885199999997
32,"[131, 639, 287, 608, 267, 559, 100, 124, 80, 606, 247, 236, 8, 412, 196, 646, 15, 239, 111, 265, 60, 1162, 1890, 75, 310, 417, 156, 41, 4824, 192, 128, 457, 556]",907.324,33,17.4367589
33,"[131, 639, 287, 608, 267, 559, 100, 124, 80, 606, 247, 236, 8, 412, 196, 646, 15, 239, 111, 265, 60, 1162, 1890, 75, 310, 417, 156, 41, 4824, 192, 128, 457, 556, 227]",910.762,34,17.437444899999996
34,"[131, 639, 287, 608, 267, 559, 100, 124, 80, 606, 247, 236, 8, 412, 196, 646, 15, 239, 111, 265, 60, 1162, 1890, 75, 310, 417, 156, 41, 4824, 192, 128, 457, 556, 227, 1159]",912.719,35,17.438200599999995
35,"[131, 639, 287, 608, 267, 559, 100, 124, 80, 606, 247, 236, 8, 412, 196, 646, 15, 239, 111, 265, 60, 1162, 1890, 75, 310, 417, 156, 41, 4824, 192, 128, 457, 556, 227, 1159, 1692]",918.546,36,17.4393315
36,"[131, 639, 287, 608, 267, 559, 100, 124, 80, 606, 247, 236, 8, 412, 196, 646, 15, 239, 111, 265, 60, 1162, 1890, 75, 310, 417, 156, 41, 4824, 192, 128, 457, 556, 227, 1159, 1692, 426]",921.168,37,17.440339699999996
37,"[131, 639, 287, 608, 267, 559, 100, 124, 80, 606, 247, 236, 8, 412, 196, 646, 15, 239, 111, 265, 60, 1162, 1890, 75, 310, 417, 156, 41, 4824, 192, 128, 457, 556, 227, 1159, 1692, 426, 1257]",921.245,38,17.441209099999995
38,"[131, 639, 287, 608, 267, 559, 100, 124, 80, 606, 247, 236, 8, 412, 196, 646, 15, 239, 111, 265, 60, 1162, 1890, 75, 310, 417, 156, 41, 4824, 192, 128, 457, 556, 227, 1159, 1692, 426, 1257, 140]",926.318,39,17.4421233
39,"[131, 639, 287, 608, 267, 559, 100, 124, 80, 606, 247, 236, 8, 412, 196, 646, 15, 239, 111, 265, 60, 1162, 1890, 75, 310, 417, 156, 41, 4824, 192, 128, 457, 556, 227, 1159, 1692, 426, 1257, 140, 37]",929.891,40,17.4432761
