,S,average cover size,k,run time
0,[131],3275.894,1,7.432962300000001
1,"[131, 639]",3285.785,2,7.4331065
2,"[131, 639, 326]",3279.264,3,7.433211300000001
3,"[131, 639, 326, 287]",3279.419,4,7.433310700000001
4,"[131, 639, 326, 287, 608]",3287.046,5,7.433420600000001
5,"[131, 639, 326, 287, 608, 474]",3285.654,6,7.4335137
6,"[131, 639, 326, 287, 608, 474, 267]",3289.137,7,7.433602100000001
7,"[131, 639, 326, 287, 608, 474, 267, 559]",3294.753,8,7.433690600000001
8,"[131, 639, 326, 287, 608, 474, 267, 559, 266]",3288.003,9,7.4337811
9,"[131, 639, 326, 287, 608, 474, 267, 559, 266, 100]",3294.742,10,7.4338864
10,"[131, 639, 326, 287, 608, 474, 267, 559, 266, 100, 553]",3294.45,11,7.433987600000001
11,"[131, 639, 326, 287, 608, 474, 267, 559, 266, 100, 553, 705]",3294.302,12,7.434067100000001
12,"[131, 639, 326, 287, 608, 474, 267, 559, 266, 100, 553, 705, 124]",3304.781,13,7.434158300000001
13,"[131, 639, 326, 287, 608, 474, 267, 559, 266, 100, 553, 705, 124, 638]",3304.189,14,7.4342678
14,"[131, 639, 326, 287, 608, 474, 267, 559, 266, 100, 553, 705, 124, 638, 1292]",3305.825,15,7.434336000000001
15,"[131, 639, 326, 287, 608, 474, 267, 559, 266, 100, 553, 705, 124, 638, 1292, 359]",3302.579,16,7.434419900000001
16,"[131, 639, 326, 287, 608, 474, 267, 559, 266, 100, 553, 705, 124, 638, 1292, 359, 535]",3312.695,17,7.4345177
17,"[131, 639, 326, 287, 608, 474, 267, 559, 266, 100, 553, 705, 124, 638, 1292, 359, 535, 512]",3319.248,18,7.434594700000001
18,"[131, 639, 326, 287, 608, 474, 267, 559, 266, 100, 553, 705, 124, 638, 1292, 359, 535, 512, 80]",3311.591,19,7.4346963
19,"[131, 639, 326, 287, 608, 474, 267, 559, 266, 100, 553, 705, 124, 638, 1292, 359, 535, 512, 80, 606]",3316.498,20,7.434791400000001
20,"[131, 639, 326, 287, 608, 474, 267, 559, 266, 100, 553, 705, 124, 638, 1292, 359, 535, 512, 80, 606, 247]",3329.311,21,7.4348771000000005
21,"[131, 639, 326, 287, 608, 474, 267, 559, 266, 100, 553, 705, 124, 638, 1292, 359, 535, 512, 80, 606, 247, 236]",3328.048,22,7.4349608
22,"[131, 639, 326, 287, 608, 474, 267, 559, 266, 100, 553, 705, 124, 638, 1292, 359, 535, 512, 80, 606, 247, 236, 274]",3334.082,23,7.435049800000001
23,"[131, 639, 326, 287, 608, 474, 267, 559, 266, 100, 553, 705, 124, 638, 1292, 359, 535, 512, 80, 606, 247, 236, 274, 66]",3339.618,24,7.4351361
24,"[131, 639, 326, 287, 608, 474, 267, 559, 266, 100, 553, 705, 124, 638, 1292, 359, 535, 512, 80, 606, 247, 236, 274, 66, 99]",3348.02,25,7.4352144000000004
