,S,average cover size,k,run time
0,[10679],1.0,1,1.4060068999999995
1,"[10679, 5009]",2.3667,2,1.4060409000000007
2,"[10679, 5009, 5552]",3.863,3,1.4061394000000007
3,"[10679, 5009, 5552, 1021]",5.8829,4,1.4062096000000004
4,"[10679, 5009, 5552, 1021, 7472]",6.8889,5,1.4062535999999994
5,"[10679, 5009, 5552, 1021, 7472, 7239]",8.1315,6,1.4062646
6,"[10679, 5009, 5552, 1021, 7472, 7239, 658]",12.1697,7,1.4063344000000004
7,"[10679, 5009, 5552, 1021, 7472, 7239, 658, 7224]",13.2381,8,1.4063791000000005
8,"[10679, 5009, 5552, 1021, 7472, 7239, 658, 7224, 4638]",15.9726,9,1.4064312
9,"[10679, 5009, 5552, 1021, 7472, 7239, 658, 7224, 4638, 8648]",16.9375,10,1.4065297999999995
10,"[10679, 5009, 5552, 1021, 7472, 7239, 658, 7224, 4638, 8648, 3439]",19.7003,11,1.4065414999999994
11,"[10679, 5009, 5552, 1021, 7472, 7239, 658, 7224, 4638, 8648, 3439, 7883]",19.6921,12,1.4066259999999993
12,"[10679, 5009, 5552, 1021, 7472, 7239, 658, 7224, 4638, 8648, 3439, 7883, 101]",22.5873,13,1.4066372000000005
13,"[10679, 5009, 5552, 1021, 7472, 7239, 658, 7224, 4638, 8648, 3439, 7883, 101, 1780]",25.9727,14,1.4066819000000006
14,"[10679, 5009, 5552, 1021, 7472, 7239, 658, 7224, 4638, 8648, 3439, 7883, 101, 1780, 7177]",26.8238,15,1.4067384
15,"[10679, 5009, 5552, 1021, 7472, 7239, 658, 7224, 4638, 8648, 3439, 7883, 101, 1780, 7177, 4137]",30.5941,16,1.406809599999999
16,"[10679, 5009, 5552, 1021, 7472, 7239, 658, 7224, 4638, 8648, 3439, 7883, 101, 1780, 7177, 4137, 2266]",31.7044,17,1.4069167999999994
17,"[10679, 5009, 5552, 1021, 7472, 7239, 658, 7224, 4638, 8648, 3439, 7883, 101, 1780, 7177, 4137, 2266, 8646]",31.7041,18,1.4069453999999997
18,"[10679, 5009, 5552, 1021, 7472, 7239, 658, 7224, 4638, 8648, 3439, 7883, 101, 1780, 7177, 4137, 2266, 8646, 2856]",34.0762,19,1.4069555999999999
19,"[10679, 5009, 5552, 1021, 7472, 7239, 658, 7224, 4638, 8648, 3439, 7883, 101, 1780, 7177, 4137, 2266, 8646, 2856, 10654]",35.171,20,1.4070506999999992
20,"[10679, 5009, 5552, 1021, 7472, 7239, 658, 7224, 4638, 8648, 3439, 7883, 101, 1780, 7177, 4137, 2266, 8646, 2856, 10654, 1776]",36.3055,21,1.4070613000000005
21,"[10679, 5009, 5552, 1021, 7472, 7239, 658, 7224, 4638, 8648, 3439, 7883, 101, 1780, 7177, 4137, 2266, 8646, 2856, 10654, 1776, 2844]",46.4032,22,1.4071034000000004
22,"[10679, 5009, 5552, 1021, 7472, 7239, 658, 7224, 4638, 8648, 3439, 7883, 101, 1780, 7177, 4137, 2266, 8646, 2856, 10654, 1776, 2844, 8643]",47.3,23,1.407203599999999
23,"[10679, 5009, 5552, 1021, 7472, 7239, 658, 7224, 4638, 8648, 3439, 7883, 101, 1780, 7177, 4137, 2266, 8646, 2856, 10654, 1776, 2844, 8643, 71]",50.6378,24,1.407214399999999
24,"[10679, 5009, 5552, 1021, 7472, 7239, 658, 7224, 4638, 8648, 3439, 7883, 101, 1780, 7177, 4137, 2266, 8646, 2856, 10654, 1776, 2844, 8643, 71, 660]",52.1285,25,1.4072814000000005
25,"[10679, 5009, 5552, 1021, 7472, 7239, 658, 7224, 4638, 8648, 3439, 7883, 101, 1780, 7177, 4137, 2266, 8646, 2856, 10654, 1776, 2844, 8643, 71, 660, 877]",56.3926,26,1.4073443
26,"[10679, 5009, 5552, 1021, 7472, 7239, 658, 7224, 4638, 8648, 3439, 7883, 101, 1780, 7177, 4137, 2266, 8646, 2856, 10654, 1776, 2844, 8643, 71, 660, 877, 6917]",57.9084,27,1.4073911
27,"[10679, 5009, 5552, 1021, 7472, 7239, 658, 7224, 4638, 8648, 3439, 7883, 101, 1780, 7177, 4137, 2266, 8646, 2856, 10654, 1776, 2844, 8643, 71, 660, 877, 6917, 2399]",59.8878,28,1.4074630999999993
28,"[10679, 5009, 5552, 1021, 7472, 7239, 658, 7224, 4638, 8648, 3439, 7883, 101, 1780, 7177, 4137, 2266, 8646, 2856, 10654, 1776, 2844, 8643, 71, 660, 877, 6917, 2399, 7054]",60.9186,29,1.4075185999999995
29,"[10679, 5009, 5552, 1021, 7472, 7239, 658, 7224, 4638, 8648, 3439, 7883, 101, 1780, 7177, 4137, 2266, 8646, 2856, 10654, 1776, 2844, 8643, 71, 660, 877, 6917, 2399, 7054, 1773]",66.0584,30,1.4075629999999997
30,"[10679, 5009, 5552, 1021, 7472, 7239, 658, 7224, 4638, 8648, 3439, 7883, 101, 1780, 7177, 4137, 2266, 8646, 2856, 10654, 1776, 2844, 8643, 71, 660, 877, 6917, 2399, 7054, 1773, 8641]",65.9397,31,1.4075995999999993
31,"[10679, 5009, 5552, 1021, 7472, 7239, 658, 7224, 4638, 8648, 3439, 7883, 101, 1780, 7177, 4137, 2266, 8646, 2856, 10654, 1776, 2844, 8643, 71, 660, 877, 6917, 2399, 7054, 1773, 8641, 10644]",67.1914,32,1.4076094999999995
