,S,average cover size,k,run time
0,[634],1.201,1,0.42830439999999825
1,"[634, 640]",3.054,2,0.42839460000000074
2,"[634, 640, 207]",7.21,3,0.4284724000000004
3,"[634, 640, 207, 647]",8.411,4,0.4285680999999997
4,"[634, 640, 207, 647, 696]",9.674,5,0.4286299999999983
5,"[634, 640, 207, 647, 696, 28]",20.614,6,0.42869310000000027
6,"[634, 640, 207, 647, 696, 28, 688]",21.769,7,0.42875510000000006
7,"[634, 640, 207, 647, 696, 28, 688, 521]",23.171,8,0.42878809999999845
8,"[634, 640, 207, 647, 696, 28, 688, 521, 635]",24.136,9,0.4288425999999994
9,"[634, 640, 207, 647, 696, 28, 688, 521, 635, 684]",25.05,10,0.4288765000000012
10,"[634, 640, 207, 647, 696, 28, 688, 521, 635, 684, 289]",29.681,11,0.42888599999999855
11,"[634, 640, 207, 647, 696, 28, 688, 521, 635, 684, 289, 544]",30.861,12,0.42897920000000056
12,"[634, 640, 207, 647, 696, 28, 688, 521, 635, 684, 289, 544, 475]",33.915,13,0.4290319999999994
13,"[634, 640, 207, 647, 696, 28, 688, 521, 635, 684, 289, 544, 475, 458]",37.19,14,0.4291045999999987
14,"[634, 640, 207, 647, 696, 28, 688, 521, 635, 684, 289, 544, 475, 458, 232]",62.238,15,0.4291601000000007
15,"[634, 640, 207, 647, 696, 28, 688, 521, 635, 684, 289, 544, 475, 458, 232, 595]",63.39,16,0.429253199999998
16,"[634, 640, 207, 647, 696, 28, 688, 521, 635, 684, 289, 544, 475, 458, 232, 595, 562]",64.941,17,0.4293085999999988
17,"[634, 640, 207, 647, 696, 28, 688, 521, 635, 684, 289, 544, 475, 458, 232, 595, 562, 14]",93.396,18,0.4293680000000002
18,"[634, 640, 207, 647, 696, 28, 688, 521, 635, 684, 289, 544, 475, 458, 232, 595, 562, 14, 152]",99.146,19,0.4294571000000005
19,"[634, 640, 207, 647, 696, 28, 688, 521, 635, 684, 289, 544, 475, 458, 232, 595, 562, 14, 152, 436]",99.746,20,0.4295439999999999
20,"[634, 640, 207, 647, 696, 28, 688, 521, 635, 684, 289, 544, 475, 458, 232, 595, 562, 14, 152, 436, 969]",103.965,21,0.4296055999999986
21,"[634, 640, 207, 647, 696, 28, 688, 521, 635, 684, 289, 544, 475, 458, 232, 595, 562, 14, 152, 436, 969, 147]",106.758,22,0.4296155999999982
22,"[634, 640, 207, 647, 696, 28, 688, 521, 635, 684, 289, 544, 475, 458, 232, 595, 562, 14, 152, 436, 969, 147, 165]",110.233,23,0.4296857999999979
23,"[634, 640, 207, 647, 696, 28, 688, 521, 635, 684, 289, 544, 475, 458, 232, 595, 562, 14, 152, 436, 969, 147, 165, 112]",131.183,24,0.429745699999998
24,"[634, 640, 207, 647, 696, 28, 688, 521, 635, 684, 289, 544, 475, 458, 232, 595, 562, 14, 152, 436, 969, 147, 165, 112, 144]",142.376,25,0.429830299999999
25,"[634, 640, 207, 647, 696, 28, 688, 521, 635, 684, 289, 544, 475, 458, 232, 595, 562, 14, 152, 436, 969, 147, 165, 112, 144, 543]",143.599,26,0.4299035999999994
26,"[634, 640, 207, 647, 696, 28, 688, 521, 635, 684, 289, 544, 475, 458, 232, 595, 562, 14, 152, 436, 969, 147, 165, 112, 144, 543, 121]",148.59,27,0.4299584999999979
27,"[634, 640, 207, 647, 696, 28, 688, 521, 635, 684, 289, 544, 475, 458, 232, 595, 562, 14, 152, 436, 969, 147, 165, 112, 144, 543, 121, 140]",158.785,28,0.4300341000000003
28,"[634, 640, 207, 647, 696, 28, 688, 521, 635, 684, 289, 544, 475, 458, 232, 595, 562, 14, 152, 436, 969, 147, 165, 112, 144, 543, 121, 140, 621]",158.01,29,0.43010280000000023
29,"[634, 640, 207, 647, 696, 28, 688, 521, 635, 684, 289, 544, 475, 458, 232, 595, 562, 14, 152, 436, 969, 147, 165, 112, 144, 543, 121, 140, 621, 951]",160.313,30,0.4301580999999999
30,"[634, 640, 207, 647, 696, 28, 688, 521, 635, 684, 289, 544, 475, 458, 232, 595, 562, 14, 152, 436, 969, 147, 165, 112, 144, 543, 121, 140, 621, 951, 683]",161.459,31,0.4301682999999983
31,"[634, 640, 207, 647, 696, 28, 688, 521, 635, 684, 289, 544, 475, 458, 232, 595, 562, 14, 152, 436, 969, 147, 165, 112, 144, 543, 121, 140, 621, 951, 683, 950]",162.782,32,0.43017719999999926
32,"[634, 640, 207, 647, 696, 28, 688, 521, 635, 684, 289, 544, 475, 458, 232, 595, 562, 14, 152, 436, 969, 147, 165, 112, 144, 543, 121, 140, 621, 951, 683, 950, 334]",164.114,33,0.43019879999999944
33,"[634, 640, 207, 647, 696, 28, 688, 521, 635, 684, 289, 544, 475, 458, 232, 595, 562, 14, 152, 436, 969, 147, 165, 112, 144, 543, 121, 140, 621, 951, 683, 950, 334, 682]",163.432,34,0.43026180000000025
34,"[634, 640, 207, 647, 696, 28, 688, 521, 635, 684, 289, 544, 475, 458, 232, 595, 562, 14, 152, 436, 969, 147, 165, 112, 144, 543, 121, 140, 621, 951, 683, 950, 334, 682, 610]",166.268,35,0.4302716999999987
35,"[634, 640, 207, 647, 696, 28, 688, 521, 635, 684, 289, 544, 475, 458, 232, 595, 562, 14, 152, 436, 969, 147, 165, 112, 144, 543, 121, 140, 621, 951, 683, 950, 334, 682, 610, 468]",166.859,36,0.43031780000000097
36,"[634, 640, 207, 647, 696, 28, 688, 521, 635, 684, 289, 544, 475, 458, 232, 595, 562, 14, 152, 436, 969, 147, 165, 112, 144, 543, 121, 140, 621, 951, 683, 950, 334, 682, 610, 468, 138]",166.739,37,0.4303676000000003
37,"[634, 640, 207, 647, 696, 28, 688, 521, 635, 684, 289, 544, 475, 458, 232, 595, 562, 14, 152, 436, 969, 147, 165, 112, 144, 543, 121, 140, 621, 951, 683, 950, 334, 682, 610, 468, 138, 23]",179.671,38,0.43043309999999835
38,"[634, 640, 207, 647, 696, 28, 688, 521, 635, 684, 289, 544, 475, 458, 232, 595, 562, 14, 152, 436, 969, 147, 165, 112, 144, 543, 121, 140, 621, 951, 683, 950, 334, 682, 610, 468, 138, 23, 937]",182.151,39,0.4305053000000001
39,"[634, 640, 207, 647, 696, 28, 688, 521, 635, 684, 289, 544, 475, 458, 232, 595, 562, 14, 152, 436, 969, 147, 165, 112, 144, 543, 121, 140, 621, 951, 683, 950, 334, 682, 610, 468, 138, 23, 937, 1013]",178.223,40,0.4305172999999982
40,"[634, 640, 207, 647, 696, 28, 688, 521, 635, 684, 289, 544, 475, 458, 232, 595, 562, 14, 152, 436, 969, 147, 165, 112, 144, 543, 121, 140, 621, 951, 683, 950, 334, 682, 610, 468, 138, 23, 937, 1013, 537]",182.643,41,0.4305784999999993
41,"[634, 640, 207, 647, 696, 28, 688, 521, 635, 684, 289, 544, 475, 458, 232, 595, 562, 14, 152, 436, 969, 147, 165, 112, 144, 543, 121, 140, 621, 951, 683, 950, 334, 682, 610, 468, 138, 23, 937, 1013, 537, 375]",193.39,42,0.4306139999999985
42,"[634, 640, 207, 647, 696, 28, 688, 521, 635, 684, 289, 544, 475, 458, 232, 595, 562, 14, 152, 436, 969, 147, 165, 112, 144, 543, 121, 140, 621, 951, 683, 950, 334, 682, 610, 468, 138, 23, 937, 1013, 537, 375, 1048]",193.986,43,0.4307034999999999
43,"[634, 640, 207, 647, 696, 28, 688, 521, 635, 684, 289, 544, 475, 458, 232, 595, 562, 14, 152, 436, 969, 147, 165, 112, 144, 543, 121, 140, 621, 951, 683, 950, 334, 682, 610, 468, 138, 23, 937, 1013, 537, 375, 1048, 483]",195.806,44,0.43075199999999825
44,"[634, 640, 207, 647, 696, 28, 688, 521, 635, 684, 289, 544, 475, 458, 232, 595, 562, 14, 152, 436, 969, 147, 165, 112, 144, 543, 121, 140, 621, 951, 683, 950, 334, 682, 610, 468, 138, 23, 937, 1013, 537, 375, 1048, 483, 434]",197.86,45,0.4308183999999997
45,"[634, 640, 207, 647, 696, 28, 688, 521, 635, 684, 289, 544, 475, 458, 232, 595, 562, 14, 152, 436, 969, 147, 165, 112, 144, 543, 121, 140, 621, 951, 683, 950, 334, 682, 610, 468, 138, 23, 937, 1013, 537, 375, 1048, 483, 434, 258]",201.665,46,0.4308639999999997
46,"[634, 640, 207, 647, 696, 28, 688, 521, 635, 684, 289, 544, 475, 458, 232, 595, 562, 14, 152, 436, 969, 147, 165, 112, 144, 543, 121, 140, 621, 951, 683, 950, 334, 682, 610, 468, 138, 23, 937, 1013, 537, 375, 1048, 483, 434, 258, 273]",205.52,47,0.4309490999999994
47,"[634, 640, 207, 647, 696, 28, 688, 521, 635, 684, 289, 544, 475, 458, 232, 595, 562, 14, 152, 436, 969, 147, 165, 112, 144, 543, 121, 140, 621, 951, 683, 950, 334, 682, 610, 468, 138, 23, 937, 1013, 537, 375, 1048, 483, 434, 258, 273, 913]",208.738,48,0.4310210000000012
48,"[634, 640, 207, 647, 696, 28, 688, 521, 635, 684, 289, 544, 475, 458, 232, 595, 562, 14, 152, 436, 969, 147, 165, 112, 144, 543, 121, 140, 621, 951, 683, 950, 334, 682, 610, 468, 138, 23, 937, 1013, 537, 375, 1048, 483, 434, 258, 273, 913, 268]",209.756,49,0.4310307999999985
49,"[634, 640, 207, 647, 696, 28, 688, 521, 635, 684, 289, 544, 475, 458, 232, 595, 562, 14, 152, 436, 969, 147, 165, 112, 144, 543, 121, 140, 621, 951, 683, 950, 334, 682, 610, 468, 138, 23, 937, 1013, 537, 375, 1048, 483, 434, 258, 273, 913, 268, 288]",209.767,50,0.43107200000000034
