,k,run time,average cover size,S
0,1,0.6305856999999997,1.0,[10679]
1,2,0.6306149999999997,2.3832,"[10679, 5009]"
2,3,0.6306684999999996,4.6881,"[10679, 5009, 1433]"
3,4,0.6307307999999998,5.9329,"[10679, 5009, 1433, 7239]"
4,5,0.6307395999999996,9.6227,"[10679, 5009, 1433, 7239, 2767]"
5,6,0.6307799999999997,10.5974,"[10679, 5009, 1433, 7239, 2767, 7882]"
6,7,0.6307866,11.5937,"[10679, 5009, 1433, 7239, 2767, 7882, 8649]"
7,8,0.6307921999999997,14.3184,"[10679, 5009, 1433, 7239, 2767, 7882, 8649, 4638]"
8,9,0.6309304999999998,15.3601,"[10679, 5009, 1433, 7239, 2767, 7882, 8649, 4638, 7177]"
9,10,0.6309378999999997,18.5872,"[10679, 5009, 1433, 7239, 2767, 7882, 8649, 4638, 7177, 5189]"
10,11,0.6309687999999998,19.8539,"[10679, 5009, 1433, 7239, 2767, 7882, 8649, 4638, 7177, 5189, 7165]"
11,12,0.6309753999999996,23.1532,"[10679, 5009, 1433, 7239, 2767, 7882, 8649, 4638, 7177, 5189, 7165, 1779]"
12,13,0.6309982999999999,24.0831,"[10679, 5009, 1433, 7239, 2767, 7882, 8649, 4638, 7177, 5189, 7165, 1779, 8646]"
13,14,0.6310039999999999,26.5486,"[10679, 5009, 1433, 7239, 2767, 7882, 8649, 4638, 7177, 5189, 7165, 1779, 8646, 2856]"
14,15,0.6311279999999999,30.2256,"[10679, 5009, 1433, 7239, 2767, 7882, 8649, 4638, 7177, 5189, 7165, 1779, 8646, 2856, 657]"
15,16,0.6311351999999997,31.8455,"[10679, 5009, 1433, 7239, 2767, 7882, 8649, 4638, 7177, 5189, 7165, 1779, 8646, 2856, 657, 660]"
16,17,0.6311415,32.7625,"[10679, 5009, 1433, 7239, 2767, 7882, 8649, 4638, 7177, 5189, 7165, 1779, 8646, 2856, 657, 660, 7473]"
17,18,0.6311470999999997,34.7065,"[10679, 5009, 1433, 7239, 2767, 7882, 8649, 4638, 7177, 5189, 7165, 1779, 8646, 2856, 657, 660, 7473, 3722]"
18,19,0.6311533999999996,38.9384,"[10679, 5009, 1433, 7239, 2767, 7882, 8649, 4638, 7177, 5189, 7165, 1779, 8646, 2856, 657, 660, 7473, 3722, 877]"
19,20,0.6311958,40.4595,"[10679, 5009, 1433, 7239, 2767, 7882, 8649, 4638, 7177, 5189, 7165, 1779, 8646, 2856, 657, 660, 7473, 3722, 877, 7079]"
20,21,0.6312023999999998,42.2885,"[10679, 5009, 1433, 7239, 2767, 7882, 8649, 4638, 7177, 5189, 7165, 1779, 8646, 2856, 657, 660, 7473, 3722, 877, 7079, 2399]"
21,22,0.6312225999999996,43.7441,"[10679, 5009, 1433, 7239, 2767, 7882, 8649, 4638, 7177, 5189, 7165, 1779, 8646, 2856, 657, 660, 7473, 3722, 877, 7079, 2399, 654]"
22,23,0.6312289999999998,44.9118,"[10679, 5009, 1433, 7239, 2767, 7882, 8649, 4638, 7177, 5189, 7165, 1779, 8646, 2856, 657, 660, 7473, 3722, 877, 7079, 2399, 654, 7054]"
23,24,0.6312347999999997,45.6286,"[10679, 5009, 1433, 7239, 2767, 7882, 8649, 4638, 7177, 5189, 7165, 1779, 8646, 2856, 657, 660, 7473, 3722, 877, 7079, 2399, 654, 7054, 6713]"
24,25,0.6312403999999998,50.6218,"[10679, 5009, 1433, 7239, 2767, 7882, 8649, 4638, 7177, 5189, 7165, 1779, 8646, 2856, 657, 660, 7473, 3722, 877, 7079, 2399, 654, 7054, 6713, 1773]"
25,26,0.6312601999999998,51.8224,"[10679, 5009, 1433, 7239, 2767, 7882, 8649, 4638, 7177, 5189, 7165, 1779, 8646, 2856, 657, 660, 7473, 3722, 877, 7079, 2399, 654, 7054, 6713, 1773, 10644]"
26,27,0.6312660999999999,56.925,"[10679, 5009, 1433, 7239, 2767, 7882, 8649, 4638, 7177, 5189, 7165, 1779, 8646, 2856, 657, 660, 7473, 3722, 877, 7079, 2399, 654, 7054, 6713, 1773, 10644, 1771]"
27,28,0.6312718999999998,56.8717,"[10679, 5009, 1433, 7239, 2767, 7882, 8649, 4638, 7177, 5189, 7165, 1779, 8646, 2856, 657, 660, 7473, 3722, 877, 7079, 2399, 654, 7054, 6713, 1773, 10644, 1771, 2268]"
28,29,0.6313124999999999,66.5364,"[10679, 5009, 1433, 7239, 2767, 7882, 8649, 4638, 7177, 5189, 7165, 1779, 8646, 2856, 657, 660, 7473, 3722, 877, 7079, 2399, 654, 7054, 6713, 1773, 10644, 1771, 2268, 655]"
29,30,0.6314385999999996,67.5692,"[10679, 5009, 1433, 7239, 2767, 7882, 8649, 4638, 7177, 5189, 7165, 1779, 8646, 2856, 657, 660, 7473, 3722, 877, 7079, 2399, 654, 7054, 6713, 1773, 10644, 1771, 2268, 655, 6980]"
30,31,0.6314476999999998,69.5174,"[10679, 5009, 1433, 7239, 2767, 7882, 8649, 4638, 7177, 5189, 7165, 1779, 8646, 2856, 657, 660, 7473, 3722, 877, 7079, 2399, 654, 7054, 6713, 1773, 10644, 1771, 2268, 655, 6980, 4850]"
31,32,0.6315097999999999,70.6382,"[10679, 5009, 1433, 7239, 2767, 7882, 8649, 4638, 7177, 5189, 7165, 1779, 8646, 2856, 657, 660, 7473, 3722, 877, 7079, 2399, 654, 7054, 6713, 1773, 10644, 1771, 2268, 655, 6980, 4850, 6956]"
32,33,0.6315164999999996,71.4789,"[10679, 5009, 1433, 7239, 2767, 7882, 8649, 4638, 7177, 5189, 7165, 1779, 8646, 2856, 657, 660, 7473, 3722, 877, 7079, 2399, 654, 7054, 6713, 1773, 10644, 1771, 2268, 655, 6980, 4850, 6956, 8635]"
33,34,0.6315219999999999,72.951,"[10679, 5009, 1433, 7239, 2767, 7882, 8649, 4638, 7177, 5189, 7165, 1779, 8646, 2856, 657, 660, 7473, 3722, 877, 7079, 2399, 654, 7054, 6713, 1773, 10644, 1771, 2268, 655, 6980, 4850, 6956, 8635, 6620]"
34,35,0.6315282999999998,73.768,"[10679, 5009, 1433, 7239, 2767, 7882, 8649, 4638, 7177, 5189, 7165, 1779, 8646, 2856, 657, 660, 7473, 3722, 877, 7079, 2399, 654, 7054, 6713, 1773, 10644, 1771, 2268, 655, 6980, 4850, 6956, 8635, 6620, 7880]"
35,36,0.6315339999999998,74.8619,"[10679, 5009, 1433, 7239, 2767, 7882, 8649, 4638, 7177, 5189, 7165, 1779, 8646, 2856, 657, 660, 7473, 3722, 877, 7079, 2399, 654, 7054, 6713, 1773, 10644, 1771, 2268, 655, 6980, 4850, 6956, 8635, 6620, 7880, 10632]"
36,37,0.6315393999999999,96.9953,"[10679, 5009, 1433, 7239, 2767, 7882, 8649, 4638, 7177, 5189, 7165, 1779, 8646, 2856, 657, 660, 7473, 3722, 877, 7079, 2399, 654, 7054, 6713, 1773, 10644, 1771, 2268, 655, 6980, 4850, 6956, 8635, 6620, 7880, 10632, 653]"
37,38,0.6325523999999998,97.3526,"[10679, 5009, 1433, 7239, 2767, 7882, 8649, 4638, 7177, 5189, 7165, 1779, 8646, 2856, 657, 660, 7473, 3722, 877, 7079, 2399, 654, 7054, 6713, 1773, 10644, 1771, 2268, 655, 6980, 4850, 6956, 8635, 6620, 7880, 10632, 653, 6728]"
38,39,0.6325610999999998,98.7654,"[10679, 5009, 1433, 7239, 2767, 7882, 8649, 4638, 7177, 5189, 7165, 1779, 8646, 2856, 657, 660, 7473, 3722, 877, 7079, 2399, 654, 7054, 6713, 1773, 10644, 1771, 2268, 655, 6980, 4850, 6956, 8635, 6620, 7880, 10632, 653, 6728, 3723]"
39,40,0.6327115999999999,102.0317,"[10679, 5009, 1433, 7239, 2767, 7882, 8649, 4638, 7177, 5189, 7165, 1779, 8646, 2856, 657, 660, 7473, 3722, 877, 7079, 2399, 654, 7054, 6713, 1773, 10644, 1771, 2268, 655, 6980, 4850, 6956, 8635, 6620, 7880, 10632, 653, 6728, 3723, 1225]"
40,41,0.6327426999999997,103.9701,"[10679, 5009, 1433, 7239, 2767, 7882, 8649, 4638, 7177, 5189, 7165, 1779, 8646, 2856, 657, 660, 7473, 3722, 877, 7079, 2399, 654, 7054, 6713, 1773, 10644, 1771, 2268, 655, 6980, 4850, 6956, 8635, 6620, 7880, 10632, 653, 6728, 3723, 1225, 6665]"
41,42,0.6327494999999996,105.1162,"[10679, 5009, 1433, 7239, 2767, 7882, 8649, 4638, 7177, 5189, 7165, 1779, 8646, 2856, 657, 660, 7473, 3722, 877, 7079, 2399, 654, 7054, 6713, 1773, 10644, 1771, 2268, 655, 6980, 4850, 6956, 8635, 6620, 7880, 10632, 653, 6728, 3723, 1225, 6665, 6690]"
42,43,0.6327555,106.0548,"[10679, 5009, 1433, 7239, 2767, 7882, 8649, 4638, 7177, 5189, 7165, 1779, 8646, 2856, 657, 660, 7473, 3722, 877, 7079, 2399, 654, 7054, 6713, 1773, 10644, 1771, 2268, 655, 6980, 4850, 6956, 8635, 6620, 7880, 10632, 653, 6728, 3723, 1225, 6665, 6690, 8619]"
43,44,0.6327609999999999,124.2357,"[10679, 5009, 1433, 7239, 2767, 7882, 8649, 4638, 7177, 5189, 7165, 1779, 8646, 2856, 657, 660, 7473, 3722, 877, 7079, 2399, 654, 7054, 6713, 1773, 10644, 1771, 2268, 655, 6980, 4850, 6956, 8635, 6620, 7880, 10632, 653, 6728, 3723, 1225, 6665, 6690, 8619, 521]"
44,45,0.6329860999999997,129.0002,"[10679, 5009, 1433, 7239, 2767, 7882, 8649, 4638, 7177, 5189, 7165, 1779, 8646, 2856, 657, 660, 7473, 3722, 877, 7079, 2399, 654, 7054, 6713, 1773, 10644, 1771, 2268, 655, 6980, 4850, 6956, 8635, 6620, 7880, 10632, 653, 6728, 3723, 1225, 6665, 6690, 8619, 521, 5263]"
45,46,0.6330166999999998,131.4652,"[10679, 5009, 1433, 7239, 2767, 7882, 8649, 4638, 7177, 5189, 7165, 1779, 8646, 2856, 657, 660, 7473, 3722, 877, 7079, 2399, 654, 7054, 6713, 1773, 10644, 1771, 2268, 655, 6980, 4850, 6956, 8635, 6620, 7880, 10632, 653, 6728, 3723, 1225, 6665, 6690, 8619, 521, 5263, 3671]"
46,47,0.6330788999999997,132.1256,"[10679, 5009, 1433, 7239, 2767, 7882, 8649, 4638, 7177, 5189, 7165, 1779, 8646, 2856, 657, 660, 7473, 3722, 877, 7079, 2399, 654, 7054, 6713, 1773, 10644, 1771, 2268, 655, 6980, 4850, 6956, 8635, 6620, 7880, 10632, 653, 6728, 3723, 1225, 6665, 6690, 8619, 521, 5263, 3671, 10575]"
47,48,0.6330852,132.9148,"[10679, 5009, 1433, 7239, 2767, 7882, 8649, 4638, 7177, 5189, 7165, 1779, 8646, 2856, 657, 660, 7473, 3722, 877, 7079, 2399, 654, 7054, 6713, 1773, 10644, 1771, 2268, 655, 6980, 4850, 6956, 8635, 6620, 7880, 10632, 653, 6728, 3723, 1225, 6665, 6690, 8619, 521, 5263, 3671, 10575, 1723]"
48,49,0.6330915999999998,133.7987,"[10679, 5009, 1433, 7239, 2767, 7882, 8649, 4638, 7177, 5189, 7165, 1779, 8646, 2856, 657, 660, 7473, 3722, 877, 7079, 2399, 654, 7054, 6713, 1773, 10644, 1771, 2268, 655, 6980, 4850, 6956, 8635, 6620, 7880, 10632, 653, 6728, 3723, 1225, 6665, 6690, 8619, 521, 5263, 3671, 10575, 1723, 8615]"
49,50,0.6330969,135.2617,"[10679, 5009, 1433, 7239, 2767, 7882, 8649, 4638, 7177, 5189, 7165, 1779, 8646, 2856, 657, 660, 7473, 3722, 877, 7079, 2399, 654, 7054, 6713, 1773, 10644, 1771, 2268, 655, 6980, 4850, 6956, 8635, 6620, 7880, 10632, 653, 6728, 3723, 1225, 6665, 6690, 8619, 521, 5263, 3671, 10575, 1723, 8615, 6971]"
