,k,run time,average cover size,S
0,1,0.0972455000000001,1.1936,[634]
1,2,0.09727180000000013,3.6055,"[634, 593]"
2,3,0.09733400000000003,4.6392,"[634, 593, 569]"
3,4,0.09734150000000019,5.6884,"[634, 593, 569, 525]"
4,5,0.09734770000000026,6.7315,"[634, 593, 569, 525, 691]"
5,6,0.09735400000000016,8.9745,"[634, 593, 569, 525, 691, 520]"
6,7,0.09743980000000008,10.2298,"[634, 593, 569, 525, 691, 520, 495]"
7,8,0.09748200000000029,11.3993,"[634, 593, 569, 525, 691, 520, 495, 55]"
8,9,0.09748860000000015,12.4043,"[634, 593, 569, 525, 691, 520, 495, 55, 685]"
9,10,0.09749430000000014,13.6481,"[634, 593, 569, 525, 691, 520, 495, 55, 685, 635]"
10,11,0.09751100000000035,14.6815,"[634, 593, 569, 525, 691, 520, 495, 55, 685, 635, 684]"
11,12,0.09751680000000018,18.9349,"[634, 593, 569, 525, 691, 520, 495, 55, 685, 635, 684, 289]"
12,13,0.09767030000000032,20.3114,"[634, 593, 569, 525, 691, 520, 495, 55, 685, 635, 684, 289, 498]"
13,14,0.09768580000000027,21.3489,"[634, 593, 569, 525, 691, 520, 495, 55, 685, 635, 684, 289, 498, 562]"
14,15,0.0976916000000001,22.5489,"[634, 593, 569, 525, 691, 520, 495, 55, 685, 635, 684, 289, 498, 562, 1015]"
15,16,0.09772930000000013,28.2749,"[634, 593, 569, 525, 691, 520, 495, 55, 685, 635, 684, 289, 498, 562, 1015, 152]"
16,17,0.09785300000000019,29.3804,"[634, 593, 569, 525, 691, 520, 495, 55, 685, 635, 684, 289, 498, 562, 1015, 152, 965]"
17,18,0.09785920000000026,33.1792,"[634, 593, 569, 525, 691, 520, 495, 55, 685, 635, 684, 289, 498, 562, 1015, 152, 965, 143]"
18,19,0.09791050000000023,39.3976,"[634, 593, 569, 525, 691, 520, 495, 55, 685, 635, 684, 289, 498, 562, 1015, 152, 965, 143, 121]"
19,20,0.09801210000000005,40.4383,"[634, 593, 569, 525, 691, 520, 495, 55, 685, 635, 684, 289, 498, 562, 1015, 152, 965, 143, 121, 950]"
20,21,0.0980181,41.3326,"[634, 593, 569, 525, 691, 520, 495, 55, 685, 635, 684, 289, 498, 562, 1015, 152, 965, 143, 121, 950, 948]"
21,22,0.09802329999999992,43.621,"[634, 593, 569, 525, 691, 520, 495, 55, 685, 635, 684, 289, 498, 562, 1015, 152, 965, 143, 121, 950, 948, 360]"
22,23,0.09807159999999993,44.7149,"[634, 593, 569, 525, 691, 520, 495, 55, 685, 635, 684, 289, 498, 562, 1015, 152, 965, 143, 121, 950, 948, 360, 907]"
23,24,0.09807809999999995,50.6482,"[634, 593, 569, 525, 691, 520, 495, 55, 685, 635, 684, 289, 498, 562, 1015, 152, 965, 143, 121, 950, 948, 360, 907, 138]"
24,25,0.09815310000000022,64.3503,"[634, 593, 569, 525, 691, 520, 495, 55, 685, 635, 684, 289, 498, 562, 1015, 152, 965, 143, 121, 950, 948, 360, 907, 138, 107]"
25,26,0.09825570000000017,65.2016,"[634, 593, 569, 525, 691, 520, 495, 55, 685, 635, 684, 289, 498, 562, 1015, 152, 965, 143, 121, 950, 948, 360, 907, 138, 107, 916]"
26,27,0.09826179999999995,69.502,"[634, 593, 569, 525, 691, 520, 495, 55, 685, 635, 684, 289, 498, 562, 1015, 152, 965, 143, 121, 950, 948, 360, 907, 138, 107, 916, 273]"
27,28,0.09835480000000008,70.684,"[634, 593, 569, 525, 691, 520, 495, 55, 685, 635, 684, 289, 498, 562, 1015, 152, 965, 143, 121, 950, 948, 360, 907, 138, 107, 916, 273, 902]"
28,29,0.09836100000000014,71.4316,"[634, 593, 569, 525, 691, 520, 495, 55, 685, 635, 684, 289, 498, 562, 1015, 152, 965, 143, 121, 950, 948, 360, 907, 138, 107, 916, 273, 902, 672]"
29,30,0.09836640000000019,72.395,"[634, 593, 569, 525, 691, 520, 495, 55, 685, 635, 684, 289, 498, 562, 1015, 152, 965, 143, 121, 950, 948, 360, 907, 138, 107, 916, 273, 902, 672, 673]"
30,31,0.09837150000000028,76.0657,"[634, 593, 569, 525, 691, 520, 495, 55, 685, 635, 684, 289, 498, 562, 1015, 152, 965, 143, 121, 950, 948, 360, 907, 138, 107, 916, 273, 902, 672, 673, 216]"
31,32,0.09843290000000016,81.8896,"[634, 593, 569, 525, 691, 520, 495, 55, 685, 635, 684, 289, 498, 562, 1015, 152, 965, 143, 121, 950, 948, 360, 907, 138, 107, 916, 273, 902, 672, 673, 216, 254]"
32,33,0.09848210000000002,86.6413,"[634, 593, 569, 525, 691, 520, 495, 55, 685, 635, 684, 289, 498, 562, 1015, 152, 965, 143, 121, 950, 948, 360, 907, 138, 107, 916, 273, 902, 672, 673, 216, 254, 214]"
33,34,0.09854870000000027,87.0806,"[634, 593, 569, 525, 691, 520, 495, 55, 685, 635, 684, 289, 498, 562, 1015, 152, 965, 143, 121, 950, 948, 360, 907, 138, 107, 916, 273, 902, 672, 673, 216, 254, 214, 77]"
34,35,0.09855440000000026,94.1235,"[634, 593, 569, 525, 691, 520, 495, 55, 685, 635, 684, 289, 498, 562, 1015, 152, 965, 143, 121, 950, 948, 360, 907, 138, 107, 916, 273, 902, 672, 673, 216, 254, 214, 77, 209]"
35,36,0.09862020000000005,95.5992,"[634, 593, 569, 525, 691, 520, 495, 55, 685, 635, 684, 289, 498, 562, 1015, 152, 965, 143, 121, 950, 948, 360, 907, 138, 107, 916, 273, 902, 672, 673, 216, 254, 214, 77, 209, 1124]"
36,37,0.09862660000000023,96.0468,"[634, 593, 569, 525, 691, 520, 495, 55, 685, 635, 684, 289, 498, 562, 1015, 152, 965, 143, 121, 950, 948, 360, 907, 138, 107, 916, 273, 902, 672, 673, 216, 254, 214, 77, 209, 1124, 997]"
