,k,run time,average cover size,S
0,1,8.8630146,1.0,[4038]
1,2,8.8630392,2.052,"[4038, 4026]"
2,3,8.8630499,6.3657,"[4038, 4026, 1522]"
3,4,8.8635764,8.3234,"[4038, 4026, 1522, 1502]"
4,5,8.863746200000001,9.5222,"[4038, 4026, 1522, 1502, 1501]"
5,6,8.8638087,11.362,"[4038, 4026, 1522, 1502, 1501, 1495]"
6,7,8.8638795,15.3218,"[4038, 4026, 1522, 1502, 1501, 1495, 1000]"
7,8,8.8640613,28.789,"[4038, 4026, 1522, 1502, 1501, 1495, 1000, 999]"
8,9,8.8947641,31.1057,"[4038, 4026, 1522, 1502, 1501, 1495, 1000, 999, 236]"
9,10,8.8949253,32.6603,"[4038, 4026, 1522, 1502, 1501, 1495, 1000, 999, 236, 778]"
10,11,8.894991399999999,34.1277,"[4038, 4026, 1522, 1502, 1501, 1495, 1000, 999, 236, 778, 1473]"
11,12,8.8951284,36.0605,"[4038, 4026, 1522, 1502, 1501, 1495, 1000, 999, 236, 778, 1473, 237]"
12,13,8.8951356,37.0059,"[4038, 4026, 1522, 1502, 1501, 1495, 1000, 999, 236, 778, 1473, 237, 774]"
13,14,8.895244600000002,42.5269,"[4038, 4026, 1522, 1502, 1501, 1495, 1000, 999, 236, 778, 1473, 237, 774, 984]"
14,15,8.895665099999999,44.2331,"[4038, 4026, 1522, 1502, 1501, 1495, 1000, 999, 236, 778, 1473, 237, 774, 984, 3763]"
15,16,8.8957388,45.0572,"[4038, 4026, 1522, 1502, 1501, 1495, 1000, 999, 236, 778, 1473, 237, 774, 984, 3763, 3754]"
16,17,8.895746599999999,49.2776,"[4038, 4026, 1522, 1502, 1501, 1495, 1000, 999, 236, 778, 1473, 237, 774, 984, 3763, 3754, 1458]"
17,18,8.895882,51.7307,"[4038, 4026, 1522, 1502, 1501, 1495, 1000, 999, 236, 778, 1473, 237, 774, 984, 3763, 3754, 1458, 732]"
18,19,8.895936500000001,53.8443,"[4038, 4026, 1522, 1502, 1501, 1495, 1000, 999, 236, 778, 1473, 237, 774, 984, 3763, 3754, 1458, 732, 3736]"
19,20,8.8960775,56.1846,"[4038, 4026, 1522, 1502, 1501, 1495, 1000, 999, 236, 778, 1473, 237, 774, 984, 3763, 3754, 1458, 732, 3736, 3718]"
20,21,8.8961836,59.6094,"[4038, 4026, 1522, 1502, 1501, 1495, 1000, 999, 236, 778, 1473, 237, 774, 984, 3763, 3754, 1458, 732, 3736, 3718, 716]"
21,22,8.896327500000002,65.2671,"[4038, 4026, 1522, 1502, 1501, 1495, 1000, 999, 236, 778, 1473, 237, 774, 984, 3763, 3754, 1458, 732, 3736, 3718, 716, 708]"
22,23,8.8964976,66.6692,"[4038, 4026, 1522, 1502, 1501, 1495, 1000, 999, 236, 778, 1473, 237, 774, 984, 3763, 3754, 1458, 732, 3736, 3718, 716, 708, 700]"
23,24,8.8965493,68.4137,"[4038, 4026, 1522, 1502, 1501, 1495, 1000, 999, 236, 778, 1473, 237, 774, 984, 3763, 3754, 1458, 732, 3736, 3718, 716, 708, 700, 3670]"
24,25,8.896643399999999,71.1969,"[4038, 4026, 1522, 1502, 1501, 1495, 1000, 999, 236, 778, 1473, 237, 774, 984, 3763, 3754, 1458, 732, 3736, 3718, 716, 708, 700, 3670, 1433]"
25,26,8.896739,71.7041,"[4038, 4026, 1522, 1502, 1501, 1495, 1000, 999, 236, 778, 1473, 237, 774, 984, 3763, 3754, 1458, 732, 3736, 3718, 716, 708, 700, 3670, 1433, 3649]"
26,27,8.896763,118.4717,"[4038, 4026, 1522, 1502, 1501, 1495, 1000, 999, 236, 778, 1473, 237, 774, 984, 3763, 3754, 1458, 732, 3736, 3718, 716, 708, 700, 3670, 1433, 3649, 688]"
27,28,8.8969248,126.2744,"[4038, 4026, 1522, 1502, 1501, 1495, 1000, 999, 236, 778, 1473, 237, 774, 984, 3763, 3754, 1458, 732, 3736, 3718, 716, 708, 700, 3670, 1433, 3649, 688, 964]"
28,29,8.897166599999998,128.5182,"[4038, 4026, 1522, 1502, 1501, 1495, 1000, 999, 236, 778, 1473, 237, 774, 984, 3763, 3754, 1458, 732, 3736, 3718, 716, 708, 700, 3670, 1433, 3649, 688, 964, 3605]"
29,30,8.8973442,128.5347,"[4038, 4026, 1522, 1502, 1501, 1495, 1000, 999, 236, 778, 1473, 237, 774, 984, 3763, 3754, 1458, 732, 3736, 3718, 716, 708, 700, 3670, 1433, 3649, 688, 964, 3605, 668]"
30,31,8.8973507,130.5142,"[4038, 4026, 1522, 1502, 1501, 1495, 1000, 999, 236, 778, 1473, 237, 774, 984, 3763, 3754, 1458, 732, 3736, 3718, 716, 708, 700, 3670, 1433, 3649, 688, 964, 3605, 668, 670]"
31,32,8.897367,131.8011,"[4038, 4026, 1522, 1502, 1501, 1495, 1000, 999, 236, 778, 1473, 237, 774, 984, 3763, 3754, 1458, 732, 3736, 3718, 716, 708, 700, 3670, 1433, 3649, 688, 964, 3605, 668, 670, 679]"
