,k,run time,average cover size,S
0,1,4.8707422,3267.1968,[131]
1,2,4.8712546,3280.4035,"[131, 639]"
2,3,4.8717536,3277.6165,"[131, 639, 287]"
3,4,4.8722886999999995,3280.7084,"[131, 639, 287, 608]"
4,5,4.8726929,3280.9993,"[131, 639, 287, 608, 267]"
5,6,4.8730585,3283.5754,"[131, 639, 287, 608, 267, 559]"
6,7,4.8734391,3291.1263,"[131, 639, 287, 608, 267, 559, 100]"
7,8,4.8739926,3297.1703,"[131, 639, 287, 608, 267, 559, 100, 124]"
8,9,4.8746459,3301.269,"[131, 639, 287, 608, 267, 559, 100, 124, 80]"
9,10,4.8751213,3306.5077,"[131, 639, 287, 608, 267, 559, 100, 124, 80, 606]"
10,11,4.8756052,3308.9219,"[131, 639, 287, 608, 267, 559, 100, 124, 80, 606, 247]"
11,12,4.8758801,3313.8741,"[131, 639, 287, 608, 267, 559, 100, 124, 80, 606, 247, 236]"
12,13,4.8762046,3314.5906,"[131, 639, 287, 608, 267, 559, 100, 124, 80, 606, 247, 236, 8]"
13,14,4.8764803,3323.5815,"[131, 639, 287, 608, 267, 559, 100, 124, 80, 606, 247, 236, 8, 412]"
14,15,4.8768563,3325.8301,"[131, 639, 287, 608, 267, 559, 100, 124, 80, 606, 247, 236, 8, 412, 196]"
15,16,4.8772975999999995,3329.0116,"[131, 639, 287, 608, 267, 559, 100, 124, 80, 606, 247, 236, 8, 412, 196, 646]"
16,17,4.8775943999999996,3329.9596,"[131, 639, 287, 608, 267, 559, 100, 124, 80, 606, 247, 236, 8, 412, 196, 646, 15]"
17,18,4.8778881,3336.6263,"[131, 639, 287, 608, 267, 559, 100, 124, 80, 606, 247, 236, 8, 412, 196, 646, 15, 239]"
18,19,4.87833,3341.0228,"[131, 639, 287, 608, 267, 559, 100, 124, 80, 606, 247, 236, 8, 412, 196, 646, 15, 239, 111]"
19,20,4.8786282,3339.9992,"[131, 639, 287, 608, 267, 559, 100, 124, 80, 606, 247, 236, 8, 412, 196, 646, 15, 239, 111, 265]"
20,21,4.8789850999999995,3342.8989,"[131, 639, 287, 608, 267, 559, 100, 124, 80, 606, 247, 236, 8, 412, 196, 646, 15, 239, 111, 265, 60]"
21,22,4.8792727,3347.7352,"[131, 639, 287, 608, 267, 559, 100, 124, 80, 606, 247, 236, 8, 412, 196, 646, 15, 239, 111, 265, 60, 1162]"
22,23,4.8796345,3351.9463,"[131, 639, 287, 608, 267, 559, 100, 124, 80, 606, 247, 236, 8, 412, 196, 646, 15, 239, 111, 265, 60, 1162, 1890]"
23,24,4.8799184,3353.285,"[131, 639, 287, 608, 267, 559, 100, 124, 80, 606, 247, 236, 8, 412, 196, 646, 15, 239, 111, 265, 60, 1162, 1890, 75]"
24,25,4.8801103999999995,3354.3501,"[131, 639, 287, 608, 267, 559, 100, 124, 80, 606, 247, 236, 8, 412, 196, 646, 15, 239, 111, 265, 60, 1162, 1890, 75, 310]"
25,26,4.8803905,3355.3785,"[131, 639, 287, 608, 267, 559, 100, 124, 80, 606, 247, 236, 8, 412, 196, 646, 15, 239, 111, 265, 60, 1162, 1890, 75, 310, 417]"
26,27,4.8805705,3357.9214,"[131, 639, 287, 608, 267, 559, 100, 124, 80, 606, 247, 236, 8, 412, 196, 646, 15, 239, 111, 265, 60, 1162, 1890, 75, 310, 417, 156]"
27,28,4.8808327,3365.7682,"[131, 639, 287, 608, 267, 559, 100, 124, 80, 606, 247, 236, 8, 412, 196, 646, 15, 239, 111, 265, 60, 1162, 1890, 75, 310, 417, 156, 41]"
