,S,average cover size,k,run time
0,[38868],13.429,1,580.1002925
1,"[38868, 57571]",18.786,2,580.1031171
2,"[38868, 57571, 6737]",23.094,3,580.1052737
3,"[38868, 57571, 6737, 13451]",27.307,4,580.1073559
4,"[38868, 57571, 6737, 13451, 21759]",31.691,5,580.1089205999999
5,"[38868, 57571, 6737, 13451, 21759, 72210]",52.249,6,580.1106989
6,"[38868, 57571, 6737, 13451, 21759, 72210, 11457]",56.458,7,580.1128797
7,"[38868, 57571, 6737, 13451, 21759, 72210, 11457, 13884]",61.106,8,580.1146116
8,"[38868, 57571, 6737, 13451, 21759, 72210, 11457, 13884, 96321]",65.019,9,580.1163858
9,"[38868, 57571, 6737, 13451, 21759, 72210, 11457, 13884, 96321, 63861]",68.173,10,580.1181508
10,"[38868, 57571, 6737, 13451, 21759, 72210, 11457, 13884, 96321, 63861, 3420]",71.907,11,580.1200789
11,"[38868, 57571, 6737, 13451, 21759, 72210, 11457, 13884, 96321, 63861, 3420, 24074]",75.773,12,580.1215124
12,"[38868, 57571, 6737, 13451, 21759, 72210, 11457, 13884, 96321, 63861, 3420, 24074, 19267]",80.536,13,580.1229241999999
13,"[38868, 57571, 6737, 13451, 21759, 72210, 11457, 13884, 96321, 63861, 3420, 24074, 19267, 33126]",85.452,14,580.1246444
14,"[38868, 57571, 6737, 13451, 21759, 72210, 11457, 13884, 96321, 63861, 3420, 24074, 19267, 33126, 4799]",87.746,15,580.1262673
15,"[38868, 57571, 6737, 13451, 21759, 72210, 11457, 13884, 96321, 63861, 3420, 24074, 19267, 33126, 4799, 98618]",94.448,16,580.1280044
16,"[38868, 57571, 6737, 13451, 21759, 72210, 11457, 13884, 96321, 63861, 3420, 24074, 19267, 33126, 4799, 98618, 5470]",93.611,17,580.1297794
17,"[38868, 57571, 6737, 13451, 21759, 72210, 11457, 13884, 96321, 63861, 3420, 24074, 19267, 33126, 4799, 98618, 5470, 37335]",100.114,18,580.1311724999999
18,"[38868, 57571, 6737, 13451, 21759, 72210, 11457, 13884, 96321, 63861, 3420, 24074, 19267, 33126, 4799, 98618, 5470, 37335, 22625]",102.242,19,580.132677
19,"[38868, 57571, 6737, 13451, 21759, 72210, 11457, 13884, 96321, 63861, 3420, 24074, 19267, 33126, 4799, 98618, 5470, 37335, 22625, 7427]",106.319,20,580.1340705
20,"[38868, 57571, 6737, 13451, 21759, 72210, 11457, 13884, 96321, 63861, 3420, 24074, 19267, 33126, 4799, 98618, 5470, 37335, 22625, 7427, 69476]",109.885,21,580.1355846
21,"[38868, 57571, 6737, 13451, 21759, 72210, 11457, 13884, 96321, 63861, 3420, 24074, 19267, 33126, 4799, 98618, 5470, 37335, 22625, 7427, 69476, 11323]",114.618,22,580.1372468
22,"[38868, 57571, 6737, 13451, 21759, 72210, 11457, 13884, 96321, 63861, 3420, 24074, 19267, 33126, 4799, 98618, 5470, 37335, 22625, 7427, 69476, 11323, 97670]",118.009,23,580.1387271
23,"[38868, 57571, 6737, 13451, 21759, 72210, 11457, 13884, 96321, 63861, 3420, 24074, 19267, 33126, 4799, 98618, 5470, 37335, 22625, 7427, 69476, 11323, 97670, 65720]",120.807,24,580.1400891
24,"[38868, 57571, 6737, 13451, 21759, 72210, 11457, 13884, 96321, 63861, 3420, 24074, 19267, 33126, 4799, 98618, 5470, 37335, 22625, 7427, 69476, 11323, 97670, 65720, 180399]",124.965,25,580.1414657
25,"[38868, 57571, 6737, 13451, 21759, 72210, 11457, 13884, 96321, 63861, 3420, 24074, 19267, 33126, 4799, 98618, 5470, 37335, 22625, 7427, 69476, 11323, 97670, 65720, 180399, 7465]",127.515,26,580.1428667
26,"[38868, 57571, 6737, 13451, 21759, 72210, 11457, 13884, 96321, 63861, 3420, 24074, 19267, 33126, 4799, 98618, 5470, 37335, 22625, 7427, 69476, 11323, 97670, 65720, 180399, 7465, 5945]",132.133,27,580.1446731
27,"[38868, 57571, 6737, 13451, 21759, 72210, 11457, 13884, 96321, 63861, 3420, 24074, 19267, 33126, 4799, 98618, 5470, 37335, 22625, 7427, 69476, 11323, 97670, 65720, 180399, 7465, 5945, 9220]",133.62,28,580.1461006999999
28,"[38868, 57571, 6737, 13451, 21759, 72210, 11457, 13884, 96321, 63861, 3420, 24074, 19267, 33126, 4799, 98618, 5470, 37335, 22625, 7427, 69476, 11323, 97670, 65720, 180399, 7465, 5945, 9220, 130594]",136.197,29,580.1476126
29,"[38868, 57571, 6737, 13451, 21759, 72210, 11457, 13884, 96321, 63861, 3420, 24074, 19267, 33126, 4799, 98618, 5470, 37335, 22625, 7427, 69476, 11323, 97670, 65720, 180399, 7465, 5945, 9220, 130594, 28005]",138.265,30,580.1492215999999
30,"[38868, 57571, 6737, 13451, 21759, 72210, 11457, 13884, 96321, 63861, 3420, 24074, 19267, 33126, 4799, 98618, 5470, 37335, 22625, 7427, 69476, 11323, 97670, 65720, 180399, 7465, 5945, 9220, 130594, 28005, 13830]",144.14,31,580.150406
31,"[38868, 57571, 6737, 13451, 21759, 72210, 11457, 13884, 96321, 63861, 3420, 24074, 19267, 33126, 4799, 98618, 5470, 37335, 22625, 7427, 69476, 11323, 97670, 65720, 180399, 7465, 5945, 9220, 130594, 28005, 13830, 145921]",147.025,32,580.1518596999999
32,"[38868, 57571, 6737, 13451, 21759, 72210, 11457, 13884, 96321, 63861, 3420, 24074, 19267, 33126, 4799, 98618, 5470, 37335, 22625, 7427, 69476, 11323, 97670, 65720, 180399, 7465, 5945, 9220, 130594, 28005, 13830, 145921, 9449]",150.211,33,580.1531018
33,"[38868, 57571, 6737, 13451, 21759, 72210, 11457, 13884, 96321, 63861, 3420, 24074, 19267, 33126, 4799, 98618, 5470, 37335, 22625, 7427, 69476, 11323, 97670, 65720, 180399, 7465, 5945, 9220, 130594, 28005, 13830, 145921, 9449, 5184]",153.065,34,580.1543361
34,"[38868, 57571, 6737, 13451, 21759, 72210, 11457, 13884, 96321, 63861, 3420, 24074, 19267, 33126, 4799, 98618, 5470, 37335, 22625, 7427, 69476, 11323, 97670, 65720, 180399, 7465, 5945, 9220, 130594, 28005, 13830, 145921, 9449, 5184, 51230]",156.353,35,580.1554955
35,"[38868, 57571, 6737, 13451, 21759, 72210, 11457, 13884, 96321, 63861, 3420, 24074, 19267, 33126, 4799, 98618, 5470, 37335, 22625, 7427, 69476, 11323, 97670, 65720, 180399, 7465, 5945, 9220, 130594, 28005, 13830, 145921, 9449, 5184, 51230, 36906]",157.205,36,580.1568327
36,"[38868, 57571, 6737, 13451, 21759, 72210, 11457, 13884, 96321, 63861, 3420, 24074, 19267, 33126, 4799, 98618, 5470, 37335, 22625, 7427, 69476, 11323, 97670, 65720, 180399, 7465, 5945, 9220, 130594, 28005, 13830, 145921, 9449, 5184, 51230, 36906, 27822]",162.007,37,580.1582171
37,"[38868, 57571, 6737, 13451, 21759, 72210, 11457, 13884, 96321, 63861, 3420, 24074, 19267, 33126, 4799, 98618, 5470, 37335, 22625, 7427, 69476, 11323, 97670, 65720, 180399, 7465, 5945, 9220, 130594, 28005, 13830, 145921, 9449, 5184, 51230, 36906, 27822, 25670]",166.707,38,580.1594466
38,"[38868, 57571, 6737, 13451, 21759, 72210, 11457, 13884, 96321, 63861, 3420, 24074, 19267, 33126, 4799, 98618, 5470, 37335, 22625, 7427, 69476, 11323, 97670, 65720, 180399, 7465, 5945, 9220, 130594, 28005, 13830, 145921, 9449, 5184, 51230, 36906, 27822, 25670, 18246]",168.291,39,580.1612749
39,"[38868, 57571, 6737, 13451, 21759, 72210, 11457, 13884, 96321, 63861, 3420, 24074, 19267, 33126, 4799, 98618, 5470, 37335, 22625, 7427, 69476, 11323, 97670, 65720, 180399, 7465, 5945, 9220, 130594, 28005, 13830, 145921, 9449, 5184, 51230, 36906, 27822, 25670, 18246, 109015]",172.677,40,580.1632741999999
