,S,average cover size,k,run time
0,[104],11.802,1,1.0371351000000004
1,"[104, 22]",18.65,2,1.0379525000000012
2,"[104, 22, 40]",24.319,3,1.0384812000000014
3,"[104, 22, 40, 232]",29.935,4,1.0390041000000014
4,"[104, 22, 40, 232, 354]",34.258,5,1.0394748000000007
5,"[104, 22, 40, 232, 354, 23]",39.01,6,1.0398928000000005
6,"[104, 22, 40, 232, 354, 23, 75]",43.334,7,1.0403258000000015
7,"[104, 22, 40, 232, 354, 23, 75, 71]",46.749,8,1.040765200000001
8,"[104, 22, 40, 232, 354, 23, 75, 71, 577]",50.207,9,1.0411600000000014
9,"[104, 22, 40, 232, 354, 23, 75, 71, 577, 428]",54.298,10,1.0416415000000008
10,"[104, 22, 40, 232, 354, 23, 75, 71, 577, 428, 51]",57.532,11,1.0419845000000016
11,"[104, 22, 40, 232, 354, 23, 75, 71, 577, 428, 51, 433]",61.409,12,1.0423705000000005
12,"[104, 22, 40, 232, 354, 23, 75, 71, 577, 428, 51, 433, 587]",64.521,13,1.0427371
13,"[104, 22, 40, 232, 354, 23, 75, 71, 577, 428, 51, 433, 587, 6]",67.623,14,1.043056700000001
14,"[104, 22, 40, 232, 354, 23, 75, 71, 577, 428, 51, 433, 587, 6, 236]",69.485,15,1.0433267000000015
15,"[104, 22, 40, 232, 354, 23, 75, 71, 577, 428, 51, 433, 587, 6, 236, 563]",73.188,16,1.0436653000000007
16,"[104, 22, 40, 232, 354, 23, 75, 71, 577, 428, 51, 433, 587, 6, 236, 563, 597]",74.985,17,1.0440351000000003
17,"[104, 22, 40, 232, 354, 23, 75, 71, 577, 428, 51, 433, 587, 6, 236, 563, 597, 218]",78.706,18,1.0445043000000016
18,"[104, 22, 40, 232, 354, 23, 75, 71, 577, 428, 51, 433, 587, 6, 236, 563, 597, 218, 338]",80.245,19,1.0448241000000014
19,"[104, 22, 40, 232, 354, 23, 75, 71, 577, 428, 51, 433, 587, 6, 236, 563, 597, 218, 338, 151]",83.168,20,1.0451037000000003
20,"[104, 22, 40, 232, 354, 23, 75, 71, 577, 428, 51, 433, 587, 6, 236, 563, 597, 218, 338, 151, 392]",86.576,21,1.0454161000000006
21,"[104, 22, 40, 232, 354, 23, 75, 71, 577, 428, 51, 433, 587, 6, 236, 563, 597, 218, 338, 151, 392, 142]",89.262,22,1.0456903000000004
22,"[104, 22, 40, 232, 354, 23, 75, 71, 577, 428, 51, 433, 587, 6, 236, 563, 597, 218, 338, 151, 392, 142, 73]",91.74,23,1.0461978000000016
23,"[104, 22, 40, 232, 354, 23, 75, 71, 577, 428, 51, 433, 587, 6, 236, 563, 597, 218, 338, 151, 392, 142, 73, 72]",92.717,24,1.0465642000000006
24,"[104, 22, 40, 232, 354, 23, 75, 71, 577, 428, 51, 433, 587, 6, 236, 563, 597, 218, 338, 151, 392, 142, 73, 72, 89]",95.101,25,1.0468821000000013
25,"[104, 22, 40, 232, 354, 23, 75, 71, 577, 428, 51, 433, 587, 6, 236, 563, 597, 218, 338, 151, 392, 142, 73, 72, 89, 312]",97.422,26,1.0472755000000014
26,"[104, 22, 40, 232, 354, 23, 75, 71, 577, 428, 51, 433, 587, 6, 236, 563, 597, 218, 338, 151, 392, 142, 73, 72, 89, 312, 39]",99.304,27,1.0475765
27,"[104, 22, 40, 232, 354, 23, 75, 71, 577, 428, 51, 433, 587, 6, 236, 563, 597, 218, 338, 151, 392, 142, 73, 72, 89, 312, 39, 686]",102.525,28,1.0478820000000013
28,"[104, 22, 40, 232, 354, 23, 75, 71, 577, 428, 51, 433, 587, 6, 236, 563, 597, 218, 338, 151, 392, 142, 73, 72, 89, 312, 39, 686, 321]",104.428,29,1.0482226000000008
29,"[104, 22, 40, 232, 354, 23, 75, 71, 577, 428, 51, 433, 587, 6, 236, 563, 597, 218, 338, 151, 392, 142, 73, 72, 89, 312, 39, 686, 321, 500]",105.965,30,1.0489900000000016
30,"[104, 22, 40, 232, 354, 23, 75, 71, 577, 428, 51, 433, 587, 6, 236, 563, 597, 218, 338, 151, 392, 142, 73, 72, 89, 312, 39, 686, 321, 500, 457]",107.995,31,1.0496885000000002
31,"[104, 22, 40, 232, 354, 23, 75, 71, 577, 428, 51, 433, 587, 6, 236, 563, 597, 218, 338, 151, 392, 142, 73, 72, 89, 312, 39, 686, 321, 500, 457, 511]",110.173,32,1.0502327000000005
32,"[104, 22, 40, 232, 354, 23, 75, 71, 577, 428, 51, 433, 587, 6, 236, 563, 597, 218, 338, 151, 392, 142, 73, 72, 89, 312, 39, 686, 321, 500, 457, 511, 583]",110.918,33,1.0507621
