,S,average cover size,k,run time
0,[8],4.420999999999959,1,341.0288891
1,"[8, 14949]",10.277999999999928,2,341.0377171
2,"[8, 14949, 12771]",14.892999999999942,3,341.0492865
3,"[8, 14949, 12771, 10519]",19.78199999999995,4,341.0583494
4,"[8, 14949, 12771, 10519, 481]",23.944999999999876,5,341.06716229999995
5,"[8, 14949, 12771, 10519, 481, 297]",28.06899999999991,6,341.0743566
6,"[8, 14949, 12771, 10519, 481, 297, 8939]",31.35299999999999,7,341.08582850000005
7,"[8, 14949, 12771, 10519, 481, 297, 8939, 9106]",35.257000000000055,8,341.09157589999995
8,"[8, 14949, 12771, 10519, 481, 297, 8939, 9106, 1241]",38.77199999999989,9,341.0971783
9,"[8, 14949, 12771, 10519, 481, 297, 8939, 9106, 1241, 2353]",41.78199999999992,10,341.10384369999997
10,"[8, 14949, 12771, 10519, 481, 297, 8939, 9106, 1241, 2353, 3661]",45.166999999999774,11,341.11094390000005
11,"[8, 14949, 12771, 10519, 481, 297, 8939, 9106, 1241, 2353, 3661, 5913]",48.423999999999864,12,341.1157604
12,"[8, 14949, 12771, 10519, 481, 297, 8939, 9106, 1241, 2353, 3661, 5913, 5765]",51.7279999999998,13,341.12136480000004
13,"[8, 14949, 12771, 10519, 481, 297, 8939, 9106, 1241, 2353, 3661, 5913, 5765, 244]",54.6999999999998,14,341.1281513
14,"[8, 14949, 12771, 10519, 481, 297, 8939, 9106, 1241, 2353, 3661, 5913, 5765, 244, 31037]",57.44599999999988,15,341.1329125
15,"[8, 14949, 12771, 10519, 481, 297, 8939, 9106, 1241, 2353, 3661, 5913, 5765, 244, 31037, 303]",60.69799999999998,16,341.13843340000005
16,"[8, 14949, 12771, 10519, 481, 297, 8939, 9106, 1241, 2353, 3661, 5913, 5765, 244, 31037, 303, 33399]",62.96700000000003,17,341.14318419999995
17,"[8, 14949, 12771, 10519, 481, 297, 8939, 9106, 1241, 2353, 3661, 5913, 5765, 244, 31037, 303, 33399, 3673]",66.44399999999999,18,341.1483667
18,"[8, 14949, 12771, 10519, 481, 297, 8939, 9106, 1241, 2353, 3661, 5913, 5765, 244, 31037, 303, 33399, 3673, 15934]",69.02300000000018,19,341.15347959999997
19,"[8, 14949, 12771, 10519, 481, 297, 8939, 9106, 1241, 2353, 3661, 5913, 5765, 244, 31037, 303, 33399, 3673, 15934, 7153]",71.75700000000005,20,341.15797369999996
20,"[8, 14949, 12771, 10519, 481, 297, 8939, 9106, 1241, 2353, 3661, 5913, 5765, 244, 31037, 303, 33399, 3673, 15934, 7153, 7303]",74.05299999999995,21,341.16238840000005
21,"[8, 14949, 12771, 10519, 481, 297, 8939, 9106, 1241, 2353, 3661, 5913, 5765, 244, 31037, 303, 33399, 3673, 15934, 7153, 7303, 12615]",76.75299999999991,22,341.1661842
22,"[8, 14949, 12771, 10519, 481, 297, 8939, 9106, 1241, 2353, 3661, 5913, 5765, 244, 31037, 303, 33399, 3673, 15934, 7153, 7303, 12615, 61341]",79.14399999999995,23,341.17147379999994
23,"[8, 14949, 12771, 10519, 481, 297, 8939, 9106, 1241, 2353, 3661, 5913, 5765, 244, 31037, 303, 33399, 3673, 15934, 7153, 7303, 12615, 61341, 9131]",81.74699999999999,24,341.17646879999995
24,"[8, 14949, 12771, 10519, 481, 297, 8939, 9106, 1241, 2353, 3661, 5913, 5765, 244, 31037, 303, 33399, 3673, 15934, 7153, 7303, 12615, 61341, 9131, 80341]",85.21699999999983,25,341.1811169
25,"[8, 14949, 12771, 10519, 481, 297, 8939, 9106, 1241, 2353, 3661, 5913, 5765, 244, 31037, 303, 33399, 3673, 15934, 7153, 7303, 12615, 61341, 9131, 80341, 10745]",87.14399999999976,26,341.18550889999995
26,"[8, 14949, 12771, 10519, 481, 297, 8939, 9106, 1241, 2353, 3661, 5913, 5765, 244, 31037, 303, 33399, 3673, 15934, 7153, 7303, 12615, 61341, 9131, 80341, 10745, 4935]",89.97499999999971,27,341.1894297
27,"[8, 14949, 12771, 10519, 481, 297, 8939, 9106, 1241, 2353, 3661, 5913, 5765, 244, 31037, 303, 33399, 3673, 15934, 7153, 7303, 12615, 61341, 9131, 80341, 10745, 4935, 15925]",92.13099999999962,28,341.19475380000006
28,"[8, 14949, 12771, 10519, 481, 297, 8939, 9106, 1241, 2353, 3661, 5913, 5765, 244, 31037, 303, 33399, 3673, 15934, 7153, 7303, 12615, 61341, 9131, 80341, 10745, 4935, 15925, 14439]",94.74799999999972,29,341.1986845
29,"[8, 14949, 12771, 10519, 481, 297, 8939, 9106, 1241, 2353, 3661, 5913, 5765, 244, 31037, 303, 33399, 3673, 15934, 7153, 7303, 12615, 61341, 9131, 80341, 10745, 4935, 15925, 14439, 1825]",97.59499999999973,30,341.20260099999996
30,"[8, 14949, 12771, 10519, 481, 297, 8939, 9106, 1241, 2353, 3661, 5913, 5765, 244, 31037, 303, 33399, 3673, 15934, 7153, 7303, 12615, 61341, 9131, 80341, 10745, 4935, 15925, 14439, 1825, 26010]",100.12799999999964,31,341.2077858
31,"[8, 14949, 12771, 10519, 481, 297, 8939, 9106, 1241, 2353, 3661, 5913, 5765, 244, 31037, 303, 33399, 3673, 15934, 7153, 7303, 12615, 61341, 9131, 80341, 10745, 4935, 15925, 14439, 1825, 26010, 82909]",102.75399999999969,32,341.21114480000006
32,"[8, 14949, 12771, 10519, 481, 297, 8939, 9106, 1241, 2353, 3661, 5913, 5765, 244, 31037, 303, 33399, 3673, 15934, 7153, 7303, 12615, 61341, 9131, 80341, 10745, 4935, 15925, 14439, 1825, 26010, 82909, 517]",105.2279999999996,33,341.2141828
33,"[8, 14949, 12771, 10519, 481, 297, 8939, 9106, 1241, 2353, 3661, 5913, 5765, 244, 31037, 303, 33399, 3673, 15934, 7153, 7303, 12615, 61341, 9131, 80341, 10745, 4935, 15925, 14439, 1825, 26010, 82909, 517, 37780]",107.24699999999979,34,341.2178758
34,"[8, 14949, 12771, 10519, 481, 297, 8939, 9106, 1241, 2353, 3661, 5913, 5765, 244, 31037, 303, 33399, 3673, 15934, 7153, 7303, 12615, 61341, 9131, 80341, 10745, 4935, 15925, 14439, 1825, 26010, 82909, 517, 37780, 56817]",109.82399999999959,35,341.2209322
35,"[8, 14949, 12771, 10519, 481, 297, 8939, 9106, 1241, 2353, 3661, 5913, 5765, 244, 31037, 303, 33399, 3673, 15934, 7153, 7303, 12615, 61341, 9131, 80341, 10745, 4935, 15925, 14439, 1825, 26010, 82909, 517, 37780, 56817, 12608]",112.11399999999958,36,341.22459619999995
36,"[8, 14949, 12771, 10519, 481, 297, 8939, 9106, 1241, 2353, 3661, 5913, 5765, 244, 31037, 303, 33399, 3673, 15934, 7153, 7303, 12615, 61341, 9131, 80341, 10745, 4935, 15925, 14439, 1825, 26010, 82909, 517, 37780, 56817, 12608, 3513]",114.78099999999978,37,341.22825880000005
37,"[8, 14949, 12771, 10519, 481, 297, 8939, 9106, 1241, 2353, 3661, 5913, 5765, 244, 31037, 303, 33399, 3673, 15934, 7153, 7303, 12615, 61341, 9131, 80341, 10745, 4935, 15925, 14439, 1825, 26010, 82909, 517, 37780, 56817, 12608, 3513, 767]",116.81499999999983,38,341.2311518
38,"[8, 14949, 12771, 10519, 481, 297, 8939, 9106, 1241, 2353, 3661, 5913, 5765, 244, 31037, 303, 33399, 3673, 15934, 7153, 7303, 12615, 61341, 9131, 80341, 10745, 4935, 15925, 14439, 1825, 26010, 82909, 517, 37780, 56817, 12608, 3513, 767, 3247]",118.75699999999986,39,341.23378260000004
39,"[8, 14949, 12771, 10519, 481, 297, 8939, 9106, 1241, 2353, 3661, 5913, 5765, 244, 31037, 303, 33399, 3673, 15934, 7153, 7303, 12615, 61341, 9131, 80341, 10745, 4935, 15925, 14439, 1825, 26010, 82909, 517, 37780, 56817, 12608, 3513, 767, 3247, 10517]",121.34699999999974,40,341.23664799999995
40,"[8, 14949, 12771, 10519, 481, 297, 8939, 9106, 1241, 2353, 3661, 5913, 5765, 244, 31037, 303, 33399, 3673, 15934, 7153, 7303, 12615, 61341, 9131, 80341, 10745, 4935, 15925, 14439, 1825, 26010, 82909, 517, 37780, 56817, 12608, 3513, 767, 3247, 10517, 6067]",123.20299999999999,41,341.2446102
41,"[8, 14949, 12771, 10519, 481, 297, 8939, 9106, 1241, 2353, 3661, 5913, 5765, 244, 31037, 303, 33399, 3673, 15934, 7153, 7303, 12615, 61341, 9131, 80341, 10745, 4935, 15925, 14439, 1825, 26010, 82909, 517, 37780, 56817, 12608, 3513, 767, 3247, 10517, 6067, 346]",126.07000000000004,42,341.2478108
42,"[8, 14949, 12771, 10519, 481, 297, 8939, 9106, 1241, 2353, 3661, 5913, 5765, 244, 31037, 303, 33399, 3673, 15934, 7153, 7303, 12615, 61341, 9131, 80341, 10745, 4935, 15925, 14439, 1825, 26010, 82909, 517, 37780, 56817, 12608, 3513, 767, 3247, 10517, 6067, 346, 99595]",127.18300000000013,43,341.25102990000005
43,"[8, 14949, 12771, 10519, 481, 297, 8939, 9106, 1241, 2353, 3661, 5913, 5765, 244, 31037, 303, 33399, 3673, 15934, 7153, 7303, 12615, 61341, 9131, 80341, 10745, 4935, 15925, 14439, 1825, 26010, 82909, 517, 37780, 56817, 12608, 3513, 767, 3247, 10517, 6067, 346, 99595, 70448]",129.591,44,341.255493
44,"[8, 14949, 12771, 10519, 481, 297, 8939, 9106, 1241, 2353, 3661, 5913, 5765, 244, 31037, 303, 33399, 3673, 15934, 7153, 7303, 12615, 61341, 9131, 80341, 10745, 4935, 15925, 14439, 1825, 26010, 82909, 517, 37780, 56817, 12608, 3513, 767, 3247, 10517, 6067, 346, 99595, 70448, 34]",132.01400000000018,45,341.26168470000005
