,S,average cover size,k,run time
0,[131],8.381999999999955,1,5.124353099999999
1,"[131, 639]",13.641999999999946,2,5.124895199999999
2,"[131, 639, 287]",18.74299999999995,3,5.1254501999999995
3,"[131, 639, 287, 267]",22.608999999999913,4,5.1260031
4,"[131, 639, 287, 267, 608]",25.962999999999916,5,5.1264012999999995
5,"[131, 639, 287, 267, 608, 100]",29.740999999999943,6,5.126842799999999
6,"[131, 639, 287, 267, 608, 100, 559]",32.195999999999984,7,5.127462599999999
7,"[131, 639, 287, 267, 608, 100, 559, 124]",35.79999999999998,8,5.1278805
8,"[131, 639, 287, 267, 608, 100, 559, 124, 80]",38.83199999999994,9,5.1285074
9,"[131, 639, 287, 267, 608, 100, 559, 124, 80, 236]",40.8999999999999,10,5.129071399999999
10,"[131, 639, 287, 267, 608, 100, 559, 124, 80, 236, 247]",43.84799999999985,11,5.1294355
11,"[131, 639, 287, 267, 608, 100, 559, 124, 80, 236, 247, 412]",46.641999999999854,12,5.129745099999999
12,"[131, 639, 287, 267, 608, 100, 559, 124, 80, 236, 247, 412, 646]",49.38599999999984,13,5.1301711999999995
13,"[131, 639, 287, 267, 608, 100, 559, 124, 80, 236, 247, 412, 646, 606]",51.76599999999985,14,5.130509699999999
14,"[131, 639, 287, 267, 608, 100, 559, 124, 80, 236, 247, 412, 646, 606, 8]",54.08499999999985,15,5.1310275999999995
15,"[131, 639, 287, 267, 608, 100, 559, 124, 80, 236, 247, 412, 646, 606, 8, 15]",57.17299999999991,16,5.1313236
16,"[131, 639, 287, 267, 608, 100, 559, 124, 80, 236, 247, 412, 646, 606, 8, 15, 1162]",59.718999999999916,17,5.131666599999999
17,"[131, 639, 287, 267, 608, 100, 559, 124, 80, 236, 247, 412, 646, 606, 8, 15, 1162, 196]",62.05199999999995,18,5.1320793999999985
18,"[131, 639, 287, 267, 608, 100, 559, 124, 80, 236, 247, 412, 646, 606, 8, 15, 1162, 196, 1890]",64.81599999999997,19,5.132553099999999
19,"[131, 639, 287, 267, 608, 100, 559, 124, 80, 236, 247, 412, 646, 606, 8, 15, 1162, 196, 1890, 265]",67.08900000000007,20,5.132867899999999
20,"[131, 639, 287, 267, 608, 100, 559, 124, 80, 236, 247, 412, 646, 606, 8, 15, 1162, 196, 1890, 265, 239]",69.4480000000001,21,5.1332582
21,"[131, 639, 287, 267, 608, 100, 559, 124, 80, 236, 247, 412, 646, 606, 8, 15, 1162, 196, 1890, 265, 239, 556]",71.60300000000005,22,5.1336683
22,"[131, 639, 287, 267, 608, 100, 559, 124, 80, 236, 247, 412, 646, 606, 8, 15, 1162, 196, 1890, 265, 239, 556, 111]",73.99900000000011,23,5.1338447999999985
23,"[131, 639, 287, 267, 608, 100, 559, 124, 80, 236, 247, 412, 646, 606, 8, 15, 1162, 196, 1890, 265, 239, 556, 111, 75]",76.48699999999994,24,5.1341673
24,"[131, 639, 287, 267, 608, 100, 559, 124, 80, 236, 247, 412, 646, 606, 8, 15, 1162, 196, 1890, 265, 239, 556, 111, 75, 41]",78.77199999999986,25,5.1343755999999985
25,"[131, 639, 287, 267, 608, 100, 559, 124, 80, 236, 247, 412, 646, 606, 8, 15, 1162, 196, 1890, 265, 239, 556, 111, 75, 41, 156]",81.41899999999985,26,5.1346647
26,"[131, 639, 287, 267, 608, 100, 559, 124, 80, 236, 247, 412, 646, 606, 8, 15, 1162, 196, 1890, 265, 239, 556, 111, 75, 41, 156, 154]",83.06799999999974,27,5.1349576
27,"[131, 639, 287, 267, 608, 100, 559, 124, 80, 236, 247, 412, 646, 606, 8, 15, 1162, 196, 1890, 265, 239, 556, 111, 75, 41, 156, 154, 4824]",85.36599999999969,28,5.135117699999999
28,"[131, 639, 287, 267, 608, 100, 559, 124, 80, 236, 247, 412, 646, 606, 8, 15, 1162, 196, 1890, 265, 239, 556, 111, 75, 41, 156, 154, 4824, 1159]",87.40499999999983,29,5.1354978
29,"[131, 639, 287, 267, 608, 100, 559, 124, 80, 236, 247, 412, 646, 606, 8, 15, 1162, 196, 1890, 265, 239, 556, 111, 75, 41, 156, 154, 4824, 1159, 310]",90.14599999999976,30,5.1357707999999995
30,"[131, 639, 287, 267, 608, 100, 559, 124, 80, 236, 247, 412, 646, 606, 8, 15, 1162, 196, 1890, 265, 239, 556, 111, 75, 41, 156, 154, 4824, 1159, 310, 227]",91.88099999999955,31,5.135978699999999
31,"[131, 639, 287, 267, 608, 100, 559, 124, 80, 236, 247, 412, 646, 606, 8, 15, 1162, 196, 1890, 265, 239, 556, 111, 75, 41, 156, 154, 4824, 1159, 310, 227, 192]",94.13499999999961,32,5.1361776
32,"[131, 639, 287, 267, 608, 100, 559, 124, 80, 236, 247, 412, 646, 606, 8, 15, 1162, 196, 1890, 265, 239, 556, 111, 75, 41, 156, 154, 4824, 1159, 310, 227, 192, 417]",96.41799999999968,33,5.136534699999999
