,S,average cover size,k,run time
0,[9253],2.4399999999999986,1,10.307804599999997
1,"[9253, 330]",3.689999999999998,2,10.307988800000004
2,"[9253, 330, 9093]",4.929999999999998,3,10.345209699999998
3,"[9253, 330, 9093, 13690]",6.179999999999994,4,10.4123703
4,"[9253, 330, 9093, 13690, 22607]",7.839999999999997,5,10.490075600000004
5,"[9253, 330, 9093, 13690, 22607, 9947]",9.180000000000003,6,10.5833686
6,"[9253, 330, 9093, 13690, 22607, 9947, 34995]",10.439999999999996,7,10.677850499999998
7,"[9253, 330, 9093, 13690, 22607, 9947, 34995, 91649]",11.449999999999992,8,10.7910732
8,"[9253, 330, 9093, 13690, 22607, 9947, 34995, 91649, 23152]",12.820000000000007,9,10.955027399999999
9,"[9253, 330, 9093, 13690, 22607, 9947, 34995, 91649, 23152, 37352]",13.910000000000002,10,11.109602599999995
10,"[9253, 330, 9093, 13690, 22607, 9947, 34995, 91649, 23152, 37352, 39031]",15.08000000000001,11,11.2756191
11,"[9253, 330, 9093, 13690, 22607, 9947, 34995, 91649, 23152, 37352, 39031, 42076]",16.44000000000001,12,11.416623800000004
12,"[9253, 330, 9093, 13690, 22607, 9947, 34995, 91649, 23152, 37352, 39031, 42076, 55528]",17.44,13,11.620747900000005
13,"[9253, 330, 9093, 13690, 22607, 9947, 34995, 91649, 23152, 37352, 39031, 42076, 55528, 77542]",18.879999999999995,14,11.817381999999995
14,"[9253, 330, 9093, 13690, 22607, 9947, 34995, 91649, 23152, 37352, 39031, 42076, 55528, 77542, 21398]",20.360000000000007,15,12.076072699999997
15,"[9253, 330, 9093, 13690, 22607, 9947, 34995, 91649, 23152, 37352, 39031, 42076, 55528, 77542, 21398, 56045]",21.629999999999995,16,12.348665599999997
16,"[9253, 330, 9093, 13690, 22607, 9947, 34995, 91649, 23152, 37352, 39031, 42076, 55528, 77542, 21398, 56045, 4676]",21.98,17,12.563082600000001
17,"[9253, 330, 9093, 13690, 22607, 9947, 34995, 91649, 23152, 37352, 39031, 42076, 55528, 77542, 21398, 56045, 4676, 5532]",23.650000000000006,18,12.8309948
18,"[9253, 330, 9093, 13690, 22607, 9947, 34995, 91649, 23152, 37352, 39031, 42076, 55528, 77542, 21398, 56045, 4676, 5532, 44288]",24.699999999999996,19,13.0660849
19,"[9253, 330, 9093, 13690, 22607, 9947, 34995, 91649, 23152, 37352, 39031, 42076, 55528, 77542, 21398, 56045, 4676, 5532, 44288, 59368]",25.889999999999986,20,13.288401800000003
20,"[9253, 330, 9093, 13690, 22607, 9947, 34995, 91649, 23152, 37352, 39031, 42076, 55528, 77542, 21398, 56045, 4676, 5532, 44288, 59368, 49833]",27.209999999999987,21,13.5693214
21,"[9253, 330, 9093, 13690, 22607, 9947, 34995, 91649, 23152, 37352, 39031, 42076, 55528, 77542, 21398, 56045, 4676, 5532, 44288, 59368, 49833, 13502]",28.08999999999999,22,13.830305700000004
22,"[9253, 330, 9093, 13690, 22607, 9947, 34995, 91649, 23152, 37352, 39031, 42076, 55528, 77542, 21398, 56045, 4676, 5532, 44288, 59368, 49833, 13502, 63318]",29.64,23,14.101054000000005
23,"[9253, 330, 9093, 13690, 22607, 9947, 34995, 91649, 23152, 37352, 39031, 42076, 55528, 77542, 21398, 56045, 4676, 5532, 44288, 59368, 49833, 13502, 63318, 62814]",30.18999999999999,24,14.399518299999997
24,"[9253, 330, 9093, 13690, 22607, 9947, 34995, 91649, 23152, 37352, 39031, 42076, 55528, 77542, 21398, 56045, 4676, 5532, 44288, 59368, 49833, 13502, 63318, 62814, 15617]",32.25999999999998,25,14.730351599999999
25,"[9253, 330, 9093, 13690, 22607, 9947, 34995, 91649, 23152, 37352, 39031, 42076, 55528, 77542, 21398, 56045, 4676, 5532, 44288, 59368, 49833, 13502, 63318, 62814, 15617, 23373]",33.29,26,15.021947400000002
26,"[9253, 330, 9093, 13690, 22607, 9947, 34995, 91649, 23152, 37352, 39031, 42076, 55528, 77542, 21398, 56045, 4676, 5532, 44288, 59368, 49833, 13502, 63318, 62814, 15617, 23373, 57968]",34.169999999999995,27,15.349089800000002
27,"[9253, 330, 9093, 13690, 22607, 9947, 34995, 91649, 23152, 37352, 39031, 42076, 55528, 77542, 21398, 56045, 4676, 5532, 44288, 59368, 49833, 13502, 63318, 62814, 15617, 23373, 57968, 83797]",35.65999999999999,28,15.631874199999999
28,"[9253, 330, 9093, 13690, 22607, 9947, 34995, 91649, 23152, 37352, 39031, 42076, 55528, 77542, 21398, 56045, 4676, 5532, 44288, 59368, 49833, 13502, 63318, 62814, 15617, 23373, 57968, 83797, 77933]",36.76,29,16.088636900000004
29,"[9253, 330, 9093, 13690, 22607, 9947, 34995, 91649, 23152, 37352, 39031, 42076, 55528, 77542, 21398, 56045, 4676, 5532, 44288, 59368, 49833, 13502, 63318, 62814, 15617, 23373, 57968, 83797, 77933, 2696]",38.029999999999994,30,16.4822572
30,"[9253, 330, 9093, 13690, 22607, 9947, 34995, 91649, 23152, 37352, 39031, 42076, 55528, 77542, 21398, 56045, 4676, 5532, 44288, 59368, 49833, 13502, 63318, 62814, 15617, 23373, 57968, 83797, 77933, 2696, 32870]",39.22999999999998,31,16.845767599999995
31,"[9253, 330, 9093, 13690, 22607, 9947, 34995, 91649, 23152, 37352, 39031, 42076, 55528, 77542, 21398, 56045, 4676, 5532, 44288, 59368, 49833, 13502, 63318, 62814, 15617, 23373, 57968, 83797, 77933, 2696, 32870, 62007]",40.15999999999999,32,17.2867904
32,"[9253, 330, 9093, 13690, 22607, 9947, 34995, 91649, 23152, 37352, 39031, 42076, 55528, 77542, 21398, 56045, 4676, 5532, 44288, 59368, 49833, 13502, 63318, 62814, 15617, 23373, 57968, 83797, 77933, 2696, 32870, 62007, 40694]",40.830000000000005,33,17.6901206
33,"[9253, 330, 9093, 13690, 22607, 9947, 34995, 91649, 23152, 37352, 39031, 42076, 55528, 77542, 21398, 56045, 4676, 5532, 44288, 59368, 49833, 13502, 63318, 62814, 15617, 23373, 57968, 83797, 77933, 2696, 32870, 62007, 40694, 65139]",42.329999999999984,34,18.091702000000005
34,"[9253, 330, 9093, 13690, 22607, 9947, 34995, 91649, 23152, 37352, 39031, 42076, 55528, 77542, 21398, 56045, 4676, 5532, 44288, 59368, 49833, 13502, 63318, 62814, 15617, 23373, 57968, 83797, 77933, 2696, 32870, 62007, 40694, 65139, 87212]",42.839999999999996,35,18.440871300000005
35,"[9253, 330, 9093, 13690, 22607, 9947, 34995, 91649, 23152, 37352, 39031, 42076, 55528, 77542, 21398, 56045, 4676, 5532, 44288, 59368, 49833, 13502, 63318, 62814, 15617, 23373, 57968, 83797, 77933, 2696, 32870, 62007, 40694, 65139, 87212, 83776]",44.24000000000002,36,18.888636999999996
36,"[9253, 330, 9093, 13690, 22607, 9947, 34995, 91649, 23152, 37352, 39031, 42076, 55528, 77542, 21398, 56045, 4676, 5532, 44288, 59368, 49833, 13502, 63318, 62814, 15617, 23373, 57968, 83797, 77933, 2696, 32870, 62007, 40694, 65139, 87212, 83776, 28261]",45.39,37,19.3215218
