,S,average cover size,k,run time
0,[11907],16.279999999999976,1,73.19590902328491
1,"[11907, 25609]",52.478999999999985,2,73.21582078933716
2,"[11907, 25609, 12650]",64.95199999999998,3,73.2377622127533
3,"[11907, 25609, 12650, 8515]",87.69899999999994,4,73.25272226333618
4,"[11907, 25609, 12650, 8515, 8970]",91.98400000000004,5,73.27170443534851
5,"[11907, 25609, 12650, 8515, 8970, 5551]",101.96300000000014,6,73.29062223434448
6,"[11907, 25609, 12650, 8515, 8970, 5551, 1723]",108.879,7,73.30458307266235
7,"[11907, 25609, 12650, 8515, 8970, 5551, 1723, 17529]",124.93399999999998,8,73.31954312324524
8,"[11907, 25609, 12650, 8515, 8970, 5551, 1723, 17529, 10040]",129.963,9,73.33549952507019
9,"[11907, 25609, 12650, 8515, 8970, 5551, 1723, 17529, 10040, 27611]",133.1420000000001,10,73.34846520423889
10,"[11907, 25609, 12650, 8515, 8970, 5551, 1723, 17529, 10040, 27611, 11454]",138.7020000000001,11,73.35946941375732
11,"[11907, 25609, 12650, 8515, 8970, 5551, 1723, 17529, 10040, 27611, 11454, 19202]",144.36300000000003,12,73.37240147590637
12,"[11907, 25609, 12650, 8515, 8970, 5551, 1723, 17529, 10040, 27611, 11454, 19202, 1520]",149.1200000000001,13,73.38787007331848
13,"[11907, 25609, 12650, 8515, 8970, 5551, 1723, 17529, 10040, 27611, 11454, 19202, 1520, 4887]",151.58100000000022,14,73.40685820579529
14,"[11907, 25609, 12650, 8515, 8970, 5551, 1723, 17529, 10040, 27611, 11454, 19202, 1520, 4887, 16822]",153.2429999999999,15,73.41882753372192
15,"[11907, 25609, 12650, 8515, 8970, 5551, 1723, 17529, 10040, 27611, 11454, 19202, 1520, 4887, 16822, 19780]",159.675,16,73.43478298187256
16,"[11907, 25609, 12650, 8515, 8970, 5551, 1723, 17529, 10040, 27611, 11454, 19202, 1520, 4887, 16822, 19780, 15347]",164.03699999999995,17,73.44675254821777
17,"[11907, 25609, 12650, 8515, 8970, 5551, 1723, 17529, 10040, 27611, 11454, 19202, 1520, 4887, 16822, 19780, 15347, 12914]",168.72400000000005,18,73.45872092247009
18,"[11907, 25609, 12650, 8515, 8970, 5551, 1723, 17529, 10040, 27611, 11454, 19202, 1520, 4887, 16822, 19780, 15347, 12914, 21735]",170.977,19,73.46769666671753
