,S,average cover size,k,run time
0,[9994],9.292999999999966,1,0.5685026000000004
1,"[9994, 9261]",13.742999999999983,2,0.5687780999999976
2,"[9994, 9261, 13245]",16.952999999999953,3,0.5689380999999987
3,"[9994, 9261, 13245, 3138]",20.718999999999955,4,0.5690681999999985
4,"[9994, 9261, 13245, 3138, 131]",531.6750000000001,5,0.5691730999999987
5,"[9994, 9261, 13245, 3138, 131, 100]",545.6770000000007,6,0.5693155999999977
6,"[9994, 9261, 13245, 3138, 131, 100, 239]",539.316,7,0.569582500000001
7,"[9994, 9261, 13245, 3138, 131, 100, 239, 196]",545.2599999999999,8,0.5697658999999984
8,"[9994, 9261, 13245, 3138, 131, 100, 239, 196, 88]",549.411000000001,9,0.5699175000000007
9,"[9994, 9261, 13245, 3138, 131, 100, 239, 196, 88, 525]",554.2110000000001,10,0.5701482999999978
10,"[9994, 9261, 13245, 3138, 131, 100, 239, 196, 88, 525, 328]",557.6709999999996,11,0.5702973999999994
11,"[9994, 9261, 13245, 3138, 131, 100, 239, 196, 88, 525, 328, 599]",560.9389999999996,12,0.5704115000000005
12,"[9994, 9261, 13245, 3138, 131, 100, 239, 196, 88, 525, 328, 599, 553]",561.1299999999994,13,0.5705377999999985
13,"[9994, 9261, 13245, 3138, 131, 100, 239, 196, 88, 525, 328, 599, 553, 1292]",573.8170000000007,14,0.570651100000001
14,"[9994, 9261, 13245, 3138, 131, 100, 239, 196, 88, 525, 328, 599, 553, 1292, 159]",575.9409999999999,15,0.5707660000000008
15,"[9994, 9261, 13245, 3138, 131, 100, 239, 196, 88, 525, 328, 599, 553, 1292, 159, 709]",577.6420000000004,16,0.570866999999998
16,"[9994, 9261, 13245, 3138, 131, 100, 239, 196, 88, 525, 328, 599, 553, 1292, 159, 709, 2119]",577.4739999999993,17,0.5709566999999982
17,"[9994, 9261, 13245, 3138, 131, 100, 239, 196, 88, 525, 328, 599, 553, 1292, 159, 709, 2119, 8]",578.2160000000008,18,0.5710582999999989
18,"[9994, 9261, 13245, 3138, 131, 100, 239, 196, 88, 525, 328, 599, 553, 1292, 159, 709, 2119, 8, 19]",580.8850000000011,19,0.5711478999999979
19,"[9994, 9261, 13245, 3138, 131, 100, 239, 196, 88, 525, 328, 599, 553, 1292, 159, 709, 2119, 8, 19, 752]",583.5149999999991,20,0.5712478000000001
20,"[9994, 9261, 13245, 3138, 131, 100, 239, 196, 88, 525, 328, 599, 553, 1292, 159, 709, 2119, 8, 19, 752, 238]",583.5669999999997,21,0.5713381000000002
21,"[9994, 9261, 13245, 3138, 131, 100, 239, 196, 88, 525, 328, 599, 553, 1292, 159, 709, 2119, 8, 19, 752, 238, 1738]",586.8829999999995,22,0.5714069999999989
22,"[9994, 9261, 13245, 3138, 131, 100, 239, 196, 88, 525, 328, 599, 553, 1292, 159, 709, 2119, 8, 19, 752, 238, 1738, 953]",586.0789999999993,23,0.5715319999999995
23,"[9994, 9261, 13245, 3138, 131, 100, 239, 196, 88, 525, 328, 599, 553, 1292, 159, 709, 2119, 8, 19, 752, 238, 1738, 953, 503]",588.884,24,0.5716224999999984
24,"[9994, 9261, 13245, 3138, 131, 100, 239, 196, 88, 525, 328, 599, 553, 1292, 159, 709, 2119, 8, 19, 752, 238, 1738, 953, 503, 1025]",593.0690000000003,25,0.5716920999999981
25,"[9994, 9261, 13245, 3138, 131, 100, 239, 196, 88, 525, 328, 599, 553, 1292, 159, 709, 2119, 8, 19, 752, 238, 1738, 953, 503, 1025, 5389]",599.0120000000004,26,0.5717719999999975
26,"[9994, 9261, 13245, 3138, 131, 100, 239, 196, 88, 525, 328, 599, 553, 1292, 159, 709, 2119, 8, 19, 752, 238, 1738, 953, 503, 1025, 5389, 3792]",598.2250000000009,27,0.571875099999998
27,"[9994, 9261, 13245, 3138, 131, 100, 239, 196, 88, 525, 328, 599, 553, 1292, 159, 709, 2119, 8, 19, 752, 238, 1738, 953, 503, 1025, 5389, 3792, 1379]",600.6950000000003,28,0.5719641999999983
28,"[9994, 9261, 13245, 3138, 131, 100, 239, 196, 88, 525, 328, 599, 553, 1292, 159, 709, 2119, 8, 19, 752, 238, 1738, 953, 503, 1025, 5389, 3792, 1379, 209]",604.1680000000008,29,0.5720361999999977
29,"[9994, 9261, 13245, 3138, 131, 100, 239, 196, 88, 525, 328, 599, 553, 1292, 159, 709, 2119, 8, 19, 752, 238, 1738, 953, 503, 1025, 5389, 3792, 1379, 209, 1485]",606.0039999999996,30,0.572124999999998
30,"[9994, 9261, 13245, 3138, 131, 100, 239, 196, 88, 525, 328, 599, 553, 1292, 159, 709, 2119, 8, 19, 752, 238, 1738, 953, 503, 1025, 5389, 3792, 1379, 209, 1485, 5020]",602.5889999999994,31,0.5722283999999984
31,"[9994, 9261, 13245, 3138, 131, 100, 239, 196, 88, 525, 328, 599, 553, 1292, 159, 709, 2119, 8, 19, 752, 238, 1738, 953, 503, 1025, 5389, 3792, 1379, 209, 1485, 5020, 383]",608.0459999999997,32,0.5722964000000008
32,"[9994, 9261, 13245, 3138, 131, 100, 239, 196, 88, 525, 328, 599, 553, 1292, 159, 709, 2119, 8, 19, 752, 238, 1738, 953, 503, 1025, 5389, 3792, 1379, 209, 1485, 5020, 383, 1423]",613.4379999999995,33,0.5723515999999993
33,"[9994, 9261, 13245, 3138, 131, 100, 239, 196, 88, 525, 328, 599, 553, 1292, 159, 709, 2119, 8, 19, 752, 238, 1738, 953, 503, 1025, 5389, 3792, 1379, 209, 1485, 5020, 383, 1423, 5367]",612.191999999999,34,0.5724122999999981
34,"[9994, 9261, 13245, 3138, 131, 100, 239, 196, 88, 525, 328, 599, 553, 1292, 159, 709, 2119, 8, 19, 752, 238, 1738, 953, 503, 1025, 5389, 3792, 1379, 209, 1485, 5020, 383, 1423, 5367, 4920]",611.3270000000007,35,0.572482599999999
35,"[9994, 9261, 13245, 3138, 131, 100, 239, 196, 88, 525, 328, 599, 553, 1292, 159, 709, 2119, 8, 19, 752, 238, 1738, 953, 503, 1025, 5389, 3792, 1379, 209, 1485, 5020, 383, 1423, 5367, 4920, 7243]",610.518,36,0.5725782000000006
36,"[9994, 9261, 13245, 3138, 131, 100, 239, 196, 88, 525, 328, 599, 553, 1292, 159, 709, 2119, 8, 19, 752, 238, 1738, 953, 503, 1025, 5389, 3792, 1379, 209, 1485, 5020, 383, 1423, 5367, 4920, 7243, 4416]",616.8809999999999,37,0.5726443999999997
