,k,run time,average cover size,S
0,1,0.4837057590484619,4.0032,[1143]
1,2,0.4866983890533447,5.648,"[1143, 7093]"
2,3,0.48968958854675293,7.934,"[1143, 7093, 5848]"
3,4,0.4916841983795166,9.4601,"[1143, 7093, 5848, 1032]"
4,5,0.4936788082122803,10.9839,"[1143, 7093, 5848, 1032, 6991]"
5,6,0.49567437171936035,12.3933,"[1143, 7093, 5848, 1032, 6991, 3660]"
6,7,0.496671199798584,13.823,"[1143, 7093, 5848, 1032, 6991, 3660, 5569]"
7,8,0.49866533279418945,15.1471,"[1143, 7093, 5848, 1032, 6991, 3660, 5569, 7742]"
8,9,0.5006604194641113,16.6058,"[1143, 7093, 5848, 1032, 6991, 3660, 5569, 7742, 4531]"
9,10,0.503652811050415,18.2915,"[1143, 7093, 5848, 1032, 6991, 3660, 5569, 7742, 4531, 6572]"
10,11,0.5066444873809814,19.4729,"[1143, 7093, 5848, 1032, 6991, 3660, 5569, 7742, 4531, 6572, 7307]"
11,12,0.509636402130127,20.8336,"[1143, 7093, 5848, 1032, 6991, 3660, 5569, 7742, 4531, 6572, 7307, 5598]"
12,13,0.5126287937164307,22.0515,"[1143, 7093, 5848, 1032, 6991, 3660, 5569, 7742, 4531, 6572, 7307, 5598, 4822]"
13,14,0.515620231628418,23.7739,"[1143, 7093, 5848, 1032, 6991, 3660, 5569, 7742, 4531, 6572, 7307, 5598, 4822, 7286]"
14,15,0.5186123847961426,25.5781,"[1143, 7093, 5848, 1032, 6991, 3660, 5569, 7742, 4531, 6572, 7307, 5598, 4822, 7286, 6486]"
15,16,0.5206072330474854,26.757,"[1143, 7093, 5848, 1032, 6991, 3660, 5569, 7742, 4531, 6572, 7307, 5598, 4822, 7286, 6486, 6705]"
16,17,0.5235991477966309,28.0377,"[1143, 7093, 5848, 1032, 6991, 3660, 5569, 7742, 4531, 6572, 7307, 5598, 4822, 7286, 6486, 6705, 7014]"
17,18,0.5265910625457764,29.5537,"[1143, 7093, 5848, 1032, 6991, 3660, 5569, 7742, 4531, 6572, 7307, 5598, 4822, 7286, 6486, 6705, 7014, 1179]"
18,19,0.52858567237854,30.9914,"[1143, 7093, 5848, 1032, 6991, 3660, 5569, 7742, 4531, 6572, 7307, 5598, 4822, 7286, 6486, 6705, 7014, 1179, 795]"
19,20,0.5305805206298828,32.4037,"[1143, 7093, 5848, 1032, 6991, 3660, 5569, 7742, 4531, 6572, 7307, 5598, 4822, 7286, 6486, 6705, 7014, 1179, 795, 6891]"
