,k,run time,average cover size,S
0,1,68.05398845672607,141.7080000000001,[1912]
1,2,68.05598378181458,196.5949999999999,"[1912, 1888]"
2,3,68.05798006057739,215.612,"[1912, 1888, 1563]"
3,4,68.05897617340088,215.78899999999973,"[1912, 1888, 1563, 1539]"
4,5,68.05997323989868,225.52299999999974,"[1912, 1888, 1563, 1539, 1359]"
5,6,68.06096982955933,233.28100000000003,"[1912, 1888, 1563, 1539, 1359, 1688]"
6,7,68.06197094917297,237.682,"[1912, 1888, 1563, 1539, 1359, 1688, 1644]"
7,8,68.06296825408936,243.23499999999987,"[1912, 1888, 1563, 1539, 1359, 1688, 1644, 1047]"
8,9,68.06396222114563,247.53900000000021,"[1912, 1888, 1563, 1539, 1359, 1688, 1644, 1047, 932]"
9,10,68.06495952606201,248.89200000000014,"[1912, 1888, 1563, 1539, 1359, 1688, 1644, 1047, 932, 1092]"
10,11,68.06595706939697,255.26700000000002,"[1912, 1888, 1563, 1539, 1359, 1688, 1644, 1047, 932, 1092, 2839]"
11,12,68.06695413589478,254.96399999999986,"[1912, 1888, 1563, 1539, 1359, 1688, 1644, 1047, 932, 1092, 2839, 3047]"
12,13,68.06795144081116,259.78999999999996,"[1912, 1888, 1563, 1539, 1359, 1688, 1644, 1047, 932, 1092, 2839, 3047, 1365]"
13,14,68.06894874572754,261.67099999999976,"[1912, 1888, 1563, 1539, 1359, 1688, 1644, 1047, 932, 1092, 2839, 3047, 1365, 896]"
14,15,68.06894874572754,267.57500000000084,"[1912, 1888, 1563, 1539, 1359, 1688, 1644, 1047, 932, 1092, 2839, 3047, 1365, 896, 3101]"
15,16,68.06994605064392,268.7179999999996,"[1912, 1888, 1563, 1539, 1359, 1688, 1644, 1047, 932, 1092, 2839, 3047, 1365, 896, 3101, 1655]"
16,17,68.0709445476532,271.46800000000036,"[1912, 1888, 1563, 1539, 1359, 1688, 1644, 1047, 932, 1092, 2839, 3047, 1365, 896, 3101, 1655, 1279]"
17,18,68.07194089889526,278.0959999999999,"[1912, 1888, 1563, 1539, 1359, 1688, 1644, 1047, 932, 1092, 2839, 3047, 1365, 896, 3101, 1655, 1279, 3399]"
18,19,68.07194089889526,279.31399999999985,"[1912, 1888, 1563, 1539, 1359, 1688, 1644, 1047, 932, 1092, 2839, 3047, 1365, 896, 3101, 1655, 1279, 3399, 3396]"
19,20,68.07293891906738,279.1660000000005,"[1912, 1888, 1563, 1539, 1359, 1688, 1644, 1047, 932, 1092, 2839, 3047, 1365, 896, 3101, 1655, 1279, 3399, 3396, 1066]"
20,21,68.07393527030945,283.5509999999998,"[1912, 1888, 1563, 1539, 1359, 1688, 1644, 1047, 932, 1092, 2839, 3047, 1365, 896, 3101, 1655, 1279, 3399, 3396, 1066, 941]"
21,22,68.07393527030945,288.436,"[1912, 1888, 1563, 1539, 1359, 1688, 1644, 1047, 932, 1092, 2839, 3047, 1365, 896, 3101, 1655, 1279, 3399, 3396, 1066, 941, 3321]"
22,23,68.07493281364441,286.49899999999985,"[1912, 1888, 1563, 1539, 1359, 1688, 1644, 1047, 932, 1092, 2839, 3047, 1365, 896, 3101, 1655, 1279, 3399, 3396, 1066, 941, 3321, 2850]"
23,24,68.07592988014221,294.0910000000004,"[1912, 1888, 1563, 1539, 1359, 1688, 1644, 1047, 932, 1092, 2839, 3047, 1365, 896, 3101, 1655, 1279, 3399, 3396, 1066, 941, 3321, 2850, 348]"
24,25,68.07692790031433,295.88599999999997,"[1912, 1888, 1563, 1539, 1359, 1688, 1644, 1047, 932, 1092, 2839, 3047, 1365, 896, 3101, 1655, 1279, 3399, 3396, 1066, 941, 3321, 2850, 348, 606]"
25,26,68.07692790031433,294.4180000000002,"[1912, 1888, 1563, 1539, 1359, 1688, 1644, 1047, 932, 1092, 2839, 3047, 1365, 896, 3101, 1655, 1279, 3399, 3396, 1066, 941, 3321, 2850, 348, 606, 3272]"
26,27,68.07792472839355,298.4560000000002,"[1912, 1888, 1563, 1539, 1359, 1688, 1644, 1047, 932, 1092, 2839, 3047, 1365, 896, 3101, 1655, 1279, 3399, 3396, 1066, 941, 3321, 2850, 348, 606, 3272, 683]"
27,28,68.07792472839355,298.04599999999965,"[1912, 1888, 1563, 1539, 1359, 1688, 1644, 1047, 932, 1092, 2839, 3047, 1365, 896, 3101, 1655, 1279, 3399, 3396, 1066, 941, 3321, 2850, 348, 606, 3272, 683, 3243]"
28,29,68.07892274856567,303.38700000000006,"[1912, 1888, 1563, 1539, 1359, 1688, 1644, 1047, 932, 1092, 2839, 3047, 1365, 896, 3101, 1655, 1279, 3399, 3396, 1066, 941, 3321, 2850, 348, 606, 3272, 683, 3243, 1844]"
29,30,68.07892274856567,299.235,"[1912, 1888, 1563, 1539, 1359, 1688, 1644, 1047, 932, 1092, 2839, 3047, 1365, 896, 3101, 1655, 1279, 3399, 3396, 1066, 941, 3321, 2850, 348, 606, 3272, 683, 3243, 1844, 1740]"
30,31,68.0799195766449,305.89999999999975,"[1912, 1888, 1563, 1539, 1359, 1688, 1644, 1047, 932, 1092, 2839, 3047, 1365, 896, 3101, 1655, 1279, 3399, 3396, 1066, 941, 3321, 2850, 348, 606, 3272, 683, 3243, 1844, 1740, 2987]"
31,32,68.0799195766449,312.50400000000036,"[1912, 1888, 1563, 1539, 1359, 1688, 1644, 1047, 932, 1092, 2839, 3047, 1365, 896, 3101, 1655, 1279, 3399, 3396, 1066, 941, 3321, 2850, 348, 606, 3272, 683, 3243, 1844, 1740, 2987, 1592]"
32,33,68.08091688156128,306.9410000000005,"[1912, 1888, 1563, 1539, 1359, 1688, 1644, 1047, 932, 1092, 2839, 3047, 1365, 896, 3101, 1655, 1279, 3399, 3396, 1066, 941, 3321, 2850, 348, 606, 3272, 683, 3243, 1844, 1740, 2987, 1592, 2665]"
33,34,68.08191394805908,309.2540000000007,"[1912, 1888, 1563, 1539, 1359, 1688, 1644, 1047, 932, 1092, 2839, 3047, 1365, 896, 3101, 1655, 1279, 3399, 3396, 1066, 941, 3321, 2850, 348, 606, 3272, 683, 3243, 1844, 1740, 2987, 1592, 2665, 1733]"
34,35,68.08191394805908,311.5650000000003,"[1912, 1888, 1563, 1539, 1359, 1688, 1644, 1047, 932, 1092, 2839, 3047, 1365, 896, 3101, 1655, 1279, 3399, 3396, 1066, 941, 3321, 2850, 348, 606, 3272, 683, 3243, 1844, 1740, 2987, 1592, 2665, 1733, 3046]"
