,S,average cover size,k,run time
0,[433],255.49,1,0.19747114181518555
1,"[433, 104]",270.173,2,0.19747114181518555
2,"[433, 104, 22]",274.451,3,0.19846773147583008
3,"[433, 104, 22, 40]",275.075,4,0.19946599006652832
4,"[433, 104, 22, 40, 232]",276.768,5,0.19946599006652832
5,"[433, 104, 22, 40, 232, 51]",279.831,6,0.20046234130859375
6,"[433, 104, 22, 40, 232, 51, 139]",280.783,7,0.20046234130859375
7,"[433, 104, 22, 40, 232, 51, 139, 355]",282.244,8,0.2014598846435547
8,"[433, 104, 22, 40, 232, 51, 139, 355, 340]",283.587,9,0.2014598846435547
9,"[433, 104, 22, 40, 232, 51, 139, 355, 340, 184]",284.9,10,0.2014598846435547
10,"[433, 104, 22, 40, 232, 51, 139, 355, 340, 184, 218]",283.225,11,0.20245695114135742
11,"[433, 104, 22, 40, 232, 51, 139, 355, 340, 184, 218, 729]",283.894,12,0.20245695114135742
12,"[433, 104, 22, 40, 232, 51, 139, 355, 340, 184, 218, 729, 206]",286.161,13,0.20245695114135742
13,"[433, 104, 22, 40, 232, 51, 139, 355, 340, 184, 218, 729, 206, 57]",286.8,14,0.20345830917358398
14,"[433, 104, 22, 40, 232, 51, 139, 355, 340, 184, 218, 729, 206, 57, 428]",288.602,15,0.20445632934570312
15,"[433, 104, 22, 40, 232, 51, 139, 355, 340, 184, 218, 729, 206, 57, 428, 236]",290.895,16,0.20445632934570312
16,"[433, 104, 22, 40, 232, 51, 139, 355, 340, 184, 218, 729, 206, 57, 428, 236, 587]",297.387,17,0.20445632934570312
17,"[433, 104, 22, 40, 232, 51, 139, 355, 340, 184, 218, 729, 206, 57, 428, 236, 587, 33]",298.16,18,0.20445632934570312
18,"[433, 104, 22, 40, 232, 51, 139, 355, 340, 184, 218, 729, 206, 57, 428, 236, 587, 33, 465]",299.297,19,0.20544958114624023
19,"[433, 104, 22, 40, 232, 51, 139, 355, 340, 184, 218, 729, 206, 57, 428, 236, 587, 33, 465, 583]",300.798,20,0.20544958114624023
