,S,average cover size,k,run time
0,[11907],117.55100000000026,1,226.04440140724182
1,"[11907, 25609]",509.97099999999955,2,226.08728575706482
2,"[11907, 25609, 12650]",562.362000000001,3,226.16208815574646
3,"[11907, 25609, 12650, 8515]",593.9239999999999,4,226.20596981048584
4,"[11907, 25609, 12650, 8515, 8970]",601.1379999999996,5,226.24985146522522
5,"[11907, 25609, 12650, 8515, 8970, 5551]",632.9679999999996,6,226.31766939163208
6,"[11907, 25609, 12650, 8515, 8970, 5551, 1723]",652.7279999999992,7,226.3585605621338
7,"[11907, 25609, 12650, 8515, 8970, 5551, 1723, 17529]",661.5250000000003,8,226.39945197105408
8,"[11907, 25609, 12650, 8515, 8970, 5551, 1723, 17529, 10040]",689.0130000000005,9,226.43734884262085
9,"[11907, 25609, 12650, 8515, 8970, 5551, 1723, 17529, 10040, 27611]",690.0699999999997,10,226.4991855621338
10,"[11907, 25609, 12650, 8515, 8970, 5551, 1723, 17529, 10040, 27611, 11454]",710.8759999999997,11,226.54805397987366
11,"[11907, 25609, 12650, 8515, 8970, 5551, 1723, 17529, 10040, 27611, 11454, 19202]",710.4300000000013,12,226.58695030212402
12,"[11907, 25609, 12650, 8515, 8970, 5551, 1723, 17529, 10040, 27611, 11454, 19202, 1520]",731.2799999999999,13,226.65277433395386
13,"[11907, 25609, 12650, 8515, 8970, 5551, 1723, 17529, 10040, 27611, 11454, 19202, 1520, 4887]",745.0250000000001,14,226.7046353816986
14,"[11907, 25609, 12650, 8515, 8970, 5551, 1723, 17529, 10040, 27611, 11454, 19202, 1520, 4887, 16822]",755.5930000000004,15,226.77843737602234
15,"[11907, 25609, 12650, 8515, 8970, 5551, 1723, 17529, 10040, 27611, 11454, 19202, 1520, 4887, 16822, 19780]",773.5380000000008,16,226.84027314186096
16,"[11907, 25609, 12650, 8515, 8970, 5551, 1723, 17529, 10040, 27611, 11454, 19202, 1520, 4887, 16822, 19780, 15347]",812.5590000000003,17,226.89512944221497
