,S,average cover size,k,run time
0,[9994],2.858,1,0.721071720123291
1,"[9994, 9261]",4.615,2,0.7250604629516602
2,"[9994, 9261, 13245]",6.171,3,0.7300848960876465
3,"[9994, 9261, 13245, 3138]",8.15,4,0.7370660305023193
4,"[9994, 9261, 13245, 3138, 131]",43.146,5,0.7440497875213623
5,"[9994, 9261, 13245, 3138, 131, 100]",58.115,6,0.7509913444519043
6,"[9994, 9261, 13245, 3138, 131, 100, 266]",72.114,7,0.7579724788665771
7,"[9994, 9261, 13245, 3138, 131, 100, 266, 196]",76.723,8,0.7649571895599365
8,"[9994, 9261, 13245, 3138, 131, 100, 266, 196, 525]",83.057,9,0.7719740867614746
9,"[9994, 9261, 13245, 3138, 131, 100, 266, 196, 525, 88]",90.784,10,0.778956413269043
10,"[9994, 9261, 13245, 3138, 131, 100, 266, 196, 525, 88, 599]",95.784,11,0.785935640335083
11,"[9994, 9261, 13245, 3138, 131, 100, 266, 196, 525, 88, 599, 1162]",101.112,12,0.7929172515869141
12,"[9994, 9261, 13245, 3138, 131, 100, 266, 196, 525, 88, 599, 1162, 1292]",109.318,13,0.7994682788848877
13,"[9994, 9261, 13245, 3138, 131, 100, 266, 196, 525, 88, 599, 1162, 1292, 128]",112.619,14,0.8039462566375732
14,"[9994, 9261, 13245, 3138, 131, 100, 266, 196, 525, 88, 599, 1162, 1292, 128, 457]",116.752,15,0.807445764541626
15,"[9994, 9261, 13245, 3138, 131, 100, 266, 196, 525, 88, 599, 1162, 1292, 128, 457, 1175]",119.851,16,0.8119423389434814
16,"[9994, 9261, 13245, 3138, 131, 100, 266, 196, 525, 88, 599, 1162, 1292, 128, 457, 1175, 156]",125.053,17,0.8144445419311523
17,"[9994, 9261, 13245, 3138, 131, 100, 266, 196, 525, 88, 599, 1162, 1292, 128, 457, 1175, 156, 1645]",129.223,18,0.8214287757873535
18,"[9994, 9261, 13245, 3138, 131, 100, 266, 196, 525, 88, 599, 1162, 1292, 128, 457, 1175, 156, 1645, 1060]",135.592,19,0.8284087181091309
19,"[9994, 9261, 13245, 3138, 131, 100, 266, 196, 525, 88, 599, 1162, 1292, 128, 457, 1175, 156, 1645, 1060, 19]",137.345,20,0.8353884220123291
20,"[9994, 9261, 13245, 3138, 131, 100, 266, 196, 525, 88, 599, 1162, 1292, 128, 457, 1175, 156, 1645, 1060, 19, 3164]",140.505,21,0.8413729667663574
21,"[9994, 9261, 13245, 3138, 131, 100, 266, 196, 525, 88, 599, 1162, 1292, 128, 457, 1175, 156, 1645, 1060, 19, 3164, 503]",142.342,22,0.8483541011810303
22,"[9994, 9261, 13245, 3138, 131, 100, 266, 196, 525, 88, 599, 1162, 1292, 128, 457, 1175, 156, 1645, 1060, 19, 3164, 503, 5389]",146.719,23,0.8543384075164795
