,S,average cover size,k,run time
0,[72210],481.679,1,50.226163387298584
1,"[72210, 38868]",722.218,2,50.51834559440613
2,"[72210, 38868, 130279]",763.299,3,50.78462767601013
3,"[72210, 38868, 130279, 112650]",827.782,4,51.03595566749573
4,"[72210, 38868, 130279, 112650, 109015]",891.774,5,51.28233480453491
5,"[72210, 38868, 130279, 112650, 109015, 170035]",932.59,6,51.52394223213196
6,"[72210, 38868, 130279, 112650, 109015, 170035, 212767]",948.332,7,51.802167654037476
7,"[72210, 38868, 130279, 112650, 109015, 170035, 212767, 89987]",970.894,8,52.07308626174927
8,"[72210, 38868, 130279, 112650, 109015, 170035, 212767, 89987, 28215]",992.213,9,52.31838536262512
9,"[72210, 38868, 130279, 112650, 109015, 170035, 212767, 89987, 28215, 50180]",1016.414,10,52.57336688041687
10,"[72210, 38868, 130279, 112650, 109015, 170035, 212767, 89987, 28215, 50180, 7427]",1033.403,11,52.847815990448
11,"[72210, 38868, 130279, 112650, 109015, 170035, 212767, 89987, 28215, 50180, 7427, 77110]",1059.226,12,53.101136922836304
12,"[72210, 38868, 130279, 112650, 109015, 170035, 212767, 89987, 28215, 50180, 7427, 77110, 11123]",1138.507,13,53.3297803401947
13,"[72210, 38868, 130279, 112650, 109015, 170035, 212767, 89987, 28215, 50180, 7427, 77110, 11123, 232769]",1141.439,14,53.577630043029785
14,"[72210, 38868, 130279, 112650, 109015, 170035, 212767, 89987, 28215, 50180, 7427, 77110, 11123, 232769, 84775]",1188.81,15,53.79301905632019
15,"[72210, 38868, 130279, 112650, 109015, 170035, 212767, 89987, 28215, 50180, 7427, 77110, 11123, 232769, 84775, 75389]",1191.413,16,54.02557015419006
16,"[72210, 38868, 130279, 112650, 109015, 170035, 212767, 89987, 28215, 50180, 7427, 77110, 11123, 232769, 84775, 75389, 318536]",1174.224,17,54.342942237854004
17,"[72210, 38868, 130279, 112650, 109015, 170035, 212767, 89987, 28215, 50180, 7427, 77110, 11123, 232769, 84775, 75389, 318536, 287432]",1187.538,18,54.750850200653076
18,"[72210, 38868, 130279, 112650, 109015, 170035, 212767, 89987, 28215, 50180, 7427, 77110, 11123, 232769, 84775, 75389, 318536, 287432, 100741]",1206.222,19,55.27651929855347
19,"[72210, 38868, 130279, 112650, 109015, 170035, 212767, 89987, 28215, 50180, 7427, 77110, 11123, 232769, 84775, 75389, 318536, 287432, 100741, 318733]",1242.787,20,55.60534405708313
