,k,run time,average cover size,S
0,1,2.775580883026123,1467.555,[4115]
1,2,2.7945303916931152,1544.359,"[4115, 1520]"
2,3,2.8045034408569336,1591.117,"[4115, 1520, 1145]"
3,4,2.815473794937134,1599.717,"[4115, 1520, 1145, 26536]"
4,5,2.826444625854492,1619.87,"[4115, 1520, 1145, 26536, 15347]"
5,6,2.840407371520996,1668.878,"[4115, 1520, 1145, 26536, 15347, 21735]"
6,7,2.8493833541870117,1667.167,"[4115, 1520, 1145, 26536, 15347, 21735, 12628]"
7,8,2.8593568801879883,1702.81,"[4115, 1520, 1145, 26536, 15347, 21735, 12628, 364]"
8,9,2.8683338165283203,1709.137,"[4115, 1520, 1145, 26536, 15347, 21735, 12628, 364, 3333]"
9,10,2.8773086071014404,1722.832,"[4115, 1520, 1145, 26536, 15347, 21735, 12628, 364, 3333, 13683]"
10,11,2.8902738094329834,1735.555,"[4115, 1520, 1145, 26536, 15347, 21735, 12628, 364, 3333, 13683, 809]"
11,12,2.900247097015381,1746.106,"[4115, 1520, 1145, 26536, 15347, 21735, 12628, 364, 3333, 13683, 809, 10509]"
12,13,2.9112188816070557,1769.08,"[4115, 1520, 1145, 26536, 15347, 21735, 12628, 364, 3333, 13683, 809, 10509, 10713]"
13,14,2.9241833686828613,1773.469,"[4115, 1520, 1145, 26536, 15347, 21735, 12628, 364, 3333, 13683, 809, 10509, 10713, 5551]"
14,15,2.934156656265259,1785.585,"[4115, 1520, 1145, 26536, 15347, 21735, 12628, 364, 3333, 13683, 809, 10509, 10713, 5551, 13941]"
15,16,2.9441299438476562,1795.214,"[4115, 1520, 1145, 26536, 15347, 21735, 12628, 364, 3333, 13683, 809, 10509, 10713, 5551, 13941, 11030]"
16,17,2.95210862159729,1797.293,"[4115, 1520, 1145, 26536, 15347, 21735, 12628, 364, 3333, 13683, 809, 10509, 10713, 5551, 13941, 11030, 17529]"
17,18,2.960087299346924,1812.566,"[4115, 1520, 1145, 26536, 15347, 21735, 12628, 364, 3333, 13683, 809, 10509, 10713, 5551, 13941, 11030, 17529, 4259]"
18,19,2.9700605869293213,1850.766,"[4115, 1520, 1145, 26536, 15347, 21735, 12628, 364, 3333, 13683, 809, 10509, 10713, 5551, 13941, 11030, 17529, 4259, 10040]"
19,20,2.9830260276794434,1863.607,"[4115, 1520, 1145, 26536, 15347, 21735, 12628, 364, 3333, 13683, 809, 10509, 10713, 5551, 13941, 11030, 17529, 4259, 10040, 5378]"
20,21,2.9959919452667236,1878.145,"[4115, 1520, 1145, 26536, 15347, 21735, 12628, 364, 3333, 13683, 809, 10509, 10713, 5551, 13941, 11030, 17529, 4259, 10040, 5378, 4879]"
21,22,3.0089564323425293,1876.186,"[4115, 1520, 1145, 26536, 15347, 21735, 12628, 364, 3333, 13683, 809, 10509, 10713, 5551, 13941, 11030, 17529, 4259, 10040, 5378, 4879, 6156]"
22,23,3.0229194164276123,1893.023,"[4115, 1520, 1145, 26536, 15347, 21735, 12628, 364, 3333, 13683, 809, 10509, 10713, 5551, 13941, 11030, 17529, 4259, 10040, 5378, 4879, 6156, 1568]"
23,24,3.0358848571777344,1918.283,"[4115, 1520, 1145, 26536, 15347, 21735, 12628, 364, 3333, 13683, 809, 10509, 10713, 5551, 13941, 11030, 17529, 4259, 10040, 5378, 4879, 6156, 1568, 11907]"
24,25,3.0488500595092773,1921.259,"[4115, 1520, 1145, 26536, 15347, 21735, 12628, 364, 3333, 13683, 809, 10509, 10713, 5551, 13941, 11030, 17529, 4259, 10040, 5378, 4879, 6156, 1568, 11907, 7050]"
25,26,3.057826042175293,1933.931,"[4115, 1520, 1145, 26536, 15347, 21735, 12628, 364, 3333, 13683, 809, 10509, 10713, 5551, 13941, 11030, 17529, 4259, 10040, 5378, 4879, 6156, 1568, 11907, 7050, 5061]"
26,27,3.070791244506836,1935.428,"[4115, 1520, 1145, 26536, 15347, 21735, 12628, 364, 3333, 13683, 809, 10509, 10713, 5551, 13941, 11030, 17529, 4259, 10040, 5378, 4879, 6156, 1568, 11907, 7050, 5061, 5567]"
27,28,3.0827598571777344,1958.57,"[4115, 1520, 1145, 26536, 15347, 21735, 12628, 364, 3333, 13683, 809, 10509, 10713, 5551, 13941, 11030, 17529, 4259, 10040, 5378, 4879, 6156, 1568, 11907, 7050, 5061, 5567, 5980]"
28,29,3.0897412300109863,1966.097,"[4115, 1520, 1145, 26536, 15347, 21735, 12628, 364, 3333, 13683, 809, 10509, 10713, 5551, 13941, 11030, 17529, 4259, 10040, 5378, 4879, 6156, 1568, 11907, 7050, 5061, 5567, 5980, 16026]"
29,30,3.09771990776062,1975.474,"[4115, 1520, 1145, 26536, 15347, 21735, 12628, 364, 3333, 13683, 809, 10509, 10713, 5551, 13941, 11030, 17529, 4259, 10040, 5378, 4879, 6156, 1568, 11907, 7050, 5061, 5567, 5980, 16026, 1743]"
