,S,average cover size,k,run time
0,[1143],1069.136,1,0.5415112972259521
1,"[1143, 7093]",1069.24,2,0.5445027351379395
2,"[1143, 7093, 5848]",1068.954,3,0.5474963188171387
3,"[1143, 7093, 5848, 1032]",1069.298,4,0.5504870414733887
4,"[1143, 7093, 5848, 1032, 6991]",1070.61,5,0.5534789562225342
5,"[1143, 7093, 5848, 1032, 6991, 3660]",1070.593,6,0.5564708709716797
6,"[1143, 7093, 5848, 1032, 6991, 3660, 5569]",1070.587,7,0.5594630241394043
7,"[1143, 7093, 5848, 1032, 6991, 3660, 5569, 7742]",1091.431,8,0.5634562969207764
8,"[1143, 7093, 5848, 1032, 6991, 3660, 5569, 7742, 4531]",1111.916,9,0.5684413909912109
9,"[1143, 7093, 5848, 1032, 6991, 3660, 5569, 7742, 4531, 6572]",1113.841,10,0.5744256973266602
10,"[1143, 7093, 5848, 1032, 6991, 3660, 5569, 7742, 4531, 6572, 7307]",1132.94,11,0.5794143676757812
11,"[1143, 7093, 5848, 1032, 6991, 3660, 5569, 7742, 4531, 6572, 7307, 5598]",1134.043,12,0.5824041366577148
12,"[1143, 7093, 5848, 1032, 6991, 3660, 5569, 7742, 4531, 6572, 7307, 5598, 4822]",1133.358,13,0.5853962898254395
13,"[1143, 7093, 5848, 1032, 6991, 3660, 5569, 7742, 4531, 6572, 7307, 5598, 4822, 7286]",1134.784,14,0.5873916149139404
14,"[1143, 7093, 5848, 1032, 6991, 3660, 5569, 7742, 4531, 6572, 7307, 5598, 4822, 7286, 6486]",1138.583,15,0.5903825759887695
15,"[1143, 7093, 5848, 1032, 6991, 3660, 5569, 7742, 4531, 6572, 7307, 5598, 4822, 7286, 6486, 6705]",1151.884,16,0.5933747291564941
16,"[1143, 7093, 5848, 1032, 6991, 3660, 5569, 7742, 4531, 6572, 7307, 5598, 4822, 7286, 6486, 6705, 7014]",1154.128,17,0.5983593463897705
17,"[1143, 7093, 5848, 1032, 6991, 3660, 5569, 7742, 4531, 6572, 7307, 5598, 4822, 7286, 6486, 6705, 7014, 1179]",1151.257,18,0.6043436527252197
18,"[1143, 7093, 5848, 1032, 6991, 3660, 5569, 7742, 4531, 6572, 7307, 5598, 4822, 7286, 6486, 6705, 7014, 1179, 795]",1171.16,19,0.6073348522186279
19,"[1143, 7093, 5848, 1032, 6991, 3660, 5569, 7742, 4531, 6572, 7307, 5598, 4822, 7286, 6486, 6705, 7014, 1179, 795, 6891]",1170.085,20,0.6103267669677734
20,"[1143, 7093, 5848, 1032, 6991, 3660, 5569, 7742, 4531, 6572, 7307, 5598, 4822, 7286, 6486, 6705, 7014, 1179, 795, 6891, 5581]",1169.332,21,0.613318920135498
21,"[1143, 7093, 5848, 1032, 6991, 3660, 5569, 7742, 4531, 6572, 7307, 5598, 4822, 7286, 6486, 6705, 7014, 1179, 795, 6891, 5581, 3981]",1168.1,22,0.6153135299682617
