,k,run time,average cover size,S
0,1,1.276587724685669,3183.948,[1912]
1,2,1.2775850296020508,3187.794,"[1912, 1888]"
2,3,1.2785828113555908,3189.73,"[1912, 1888, 1563]"
3,4,1.2795801162719727,3188.416,"[1912, 1888, 1563, 1539]"
4,5,1.2805771827697754,3185.187,"[1912, 1888, 1563, 1539, 1359]"
5,6,1.2815747261047363,3187.257,"[1912, 1888, 1563, 1539, 1359, 1688]"
6,7,1.2825722694396973,3189.382,"[1912, 1888, 1563, 1539, 1359, 1688, 1644]"
7,8,1.283569097518921,3192.23,"[1912, 1888, 1563, 1539, 1359, 1688, 1644, 1047]"
8,9,1.284566879272461,3186.951,"[1912, 1888, 1563, 1539, 1359, 1688, 1644, 1047, 932]"
9,10,1.284566879272461,3186.119,"[1912, 1888, 1563, 1539, 1359, 1688, 1644, 1047, 932, 1092]"
10,11,1.2855639457702637,3182.187,"[1912, 1888, 1563, 1539, 1359, 1688, 1644, 1047, 932, 1092, 2839]"
11,12,1.2865617275238037,3180.095,"[1912, 1888, 1563, 1539, 1359, 1688, 1644, 1047, 932, 1092, 2839, 3047]"
12,13,1.2875580787658691,3183.368,"[1912, 1888, 1563, 1539, 1359, 1688, 1644, 1047, 932, 1092, 2839, 3047, 1365]"
13,14,1.2885558605194092,3184.785,"[1912, 1888, 1563, 1539, 1359, 1688, 1644, 1047, 932, 1092, 2839, 3047, 1365, 896]"
14,15,1.289553165435791,3180.389,"[1912, 1888, 1563, 1539, 1359, 1688, 1644, 1047, 932, 1092, 2839, 3047, 1365, 896, 3101]"
15,16,1.289553165435791,3181.818,"[1912, 1888, 1563, 1539, 1359, 1688, 1644, 1047, 932, 1092, 2839, 3047, 1365, 896, 3101, 1655]"
16,17,1.2905511856079102,3184.306,"[1912, 1888, 1563, 1539, 1359, 1688, 1644, 1047, 932, 1092, 2839, 3047, 1365, 896, 3101, 1655, 1279]"
17,18,1.2915480136871338,3188.301,"[1912, 1888, 1563, 1539, 1359, 1688, 1644, 1047, 932, 1092, 2839, 3047, 1365, 896, 3101, 1655, 1279, 3399]"
18,19,1.2915480136871338,3191.628,"[1912, 1888, 1563, 1539, 1359, 1688, 1644, 1047, 932, 1092, 2839, 3047, 1365, 896, 3101, 1655, 1279, 3399, 3396]"
19,20,1.2915480136871338,3182.297,"[1912, 1888, 1563, 1539, 1359, 1688, 1644, 1047, 932, 1092, 2839, 3047, 1365, 896, 3101, 1655, 1279, 3399, 3396, 1066]"
