,S,average cover size,k,run time
0,[39085],9.4401,1,0.9934041500091553
1,"[39085, 51382]",13.4314,2,1.0003859996795654
2,"[39085, 51382, 65168]",17.9196,3,1.0073635578155518
3,"[39085, 51382, 65168, 36103]",21.9412,4,1.015345811843872
4,"[39085, 51382, 65168, 36103, 48570]",27.5449,5,1.0223264694213867
5,"[39085, 51382, 65168, 36103, 48570, 16164]",35.1629,6,1.0293078422546387
6,"[39085, 51382, 65168, 36103, 48570, 16164, 13648]",42.2871,7,1.0362894535064697
7,"[39085, 51382, 65168, 36103, 48570, 16164, 13648, 30160]",48.1678,8,1.0432722568511963
8,"[39085, 51382, 65168, 36103, 48570, 16164, 13648, 30160, 33512]",53.3922,9,1.0512497425079346
9,"[39085, 51382, 65168, 36103, 48570, 16164, 13648, 30160, 33512, 50568]",58.226,10,1.0582318305969238
10,"[39085, 51382, 65168, 36103, 48570, 16164, 13648, 30160, 33512, 50568, 5138]",63.3114,11,1.0652122497558594
11,"[39085, 51382, 65168, 36103, 48570, 16164, 13648, 30160, 33512, 50568, 5138, 19660]",67.0846,12,1.0721936225891113
12,"[39085, 51382, 65168, 36103, 48570, 16164, 13648, 30160, 33512, 50568, 5138, 19660, 28083]",70.8986,13,1.0781774520874023
13,"[39085, 51382, 65168, 36103, 48570, 16164, 13648, 30160, 33512, 50568, 5138, 19660, 28083, 25569]",74.8666,14,1.0851585865020752
14,"[39085, 51382, 65168, 36103, 48570, 16164, 13648, 30160, 33512, 50568, 5138, 19660, 28083, 25569, 34735]",77.8973,15,1.0921382904052734
15,"[39085, 51382, 65168, 36103, 48570, 16164, 13648, 30160, 33512, 50568, 5138, 19660, 28083, 25569, 34735, 12334]",81.2027,16,1.100116491317749
16,"[39085, 51382, 65168, 36103, 48570, 16164, 13648, 30160, 33512, 50568, 5138, 19660, 28083, 25569, 34735, 12334, 57738]",84.151,17,1.1070983409881592
17,"[39085, 51382, 65168, 36103, 48570, 16164, 13648, 30160, 33512, 50568, 5138, 19660, 28083, 25569, 34735, 12334, 57738, 32368]",87.6665,18,1.1150777339935303
18,"[39085, 51382, 65168, 36103, 48570, 16164, 13648, 30160, 33512, 50568, 5138, 19660, 28083, 25569, 34735, 12334, 57738, 32368, 55259]",90.6617,19,1.1220574378967285
19,"[39085, 51382, 65168, 36103, 48570, 16164, 13648, 30160, 33512, 50568, 5138, 19660, 28083, 25569, 34735, 12334, 57738, 32368, 55259, 52116]",93.6078,20,1.1290380954742432
20,"[39085, 51382, 65168, 36103, 48570, 16164, 13648, 30160, 33512, 50568, 5138, 19660, 28083, 25569, 34735, 12334, 57738, 32368, 55259, 52116, 46237]",96.3322,21,1.1350231170654297
21,"[39085, 51382, 65168, 36103, 48570, 16164, 13648, 30160, 33512, 50568, 5138, 19660, 28083, 25569, 34735, 12334, 57738, 32368, 55259, 52116, 46237, 24408]",98.8319,22,1.139012336730957
22,"[39085, 51382, 65168, 36103, 48570, 16164, 13648, 30160, 33512, 50568, 5138, 19660, 28083, 25569, 34735, 12334, 57738, 32368, 55259, 52116, 46237, 24408, 64577]",100.1777,23,1.1430015563964844
