,k,run time,average cover size,S
0,1,0.06682085990905762,11.9819,[433]
1,2,0.06682085990905762,33.3352,"[433, 104]"
2,3,0.06781888008117676,44.9828,"[433, 104, 22]"
3,4,0.06781888008117676,53.9067,"[433, 104, 22, 40]"
4,5,0.06781888008117676,61.2068,"[433, 104, 22, 40, 232]"
5,6,0.06781888008117676,67.7631,"[433, 104, 22, 40, 232, 51]"
6,7,0.06781888008117676,73.2321,"[433, 104, 22, 40, 232, 51, 139]"
7,8,0.06881570816040039,77.3062,"[433, 104, 22, 40, 232, 51, 139, 355]"
8,9,0.06881570816040039,81.9998,"[433, 104, 22, 40, 232, 51, 139, 355, 340]"
9,10,0.06881570816040039,85.5217,"[433, 104, 22, 40, 232, 51, 139, 355, 340, 184]"
10,11,0.06981301307678223,89.7669,"[433, 104, 22, 40, 232, 51, 139, 355, 340, 184, 218]"
11,12,0.06981301307678223,93.2583,"[433, 104, 22, 40, 232, 51, 139, 355, 340, 184, 218, 729]"
12,13,0.06981301307678223,96.2844,"[433, 104, 22, 40, 232, 51, 139, 355, 340, 184, 218, 729, 206]"
13,14,0.06981301307678223,100.0984,"[433, 104, 22, 40, 232, 51, 139, 355, 340, 184, 218, 729, 206, 57]"
14,15,0.07081007957458496,104.0933,"[433, 104, 22, 40, 232, 51, 139, 355, 340, 184, 218, 729, 206, 57, 428]"
15,16,0.07081007957458496,107.162,"[433, 104, 22, 40, 232, 51, 139, 355, 340, 184, 218, 729, 206, 57, 428, 236]"
16,17,0.07081007957458496,111.2816,"[433, 104, 22, 40, 232, 51, 139, 355, 340, 184, 218, 729, 206, 57, 428, 236, 587]"
17,18,0.07081007957458496,114.2444,"[433, 104, 22, 40, 232, 51, 139, 355, 340, 184, 218, 729, 206, 57, 428, 236, 587, 33]"
18,19,0.07081007957458496,116.5702,"[433, 104, 22, 40, 232, 51, 139, 355, 340, 184, 218, 729, 206, 57, 428, 236, 587, 33, 465]"
19,20,0.0718073844909668,118.8522,"[433, 104, 22, 40, 232, 51, 139, 355, 340, 184, 218, 729, 206, 57, 428, 236, 587, 33, 465, 583]"
20,21,0.0718073844909668,121.1863,"[433, 104, 22, 40, 232, 51, 139, 355, 340, 184, 218, 729, 206, 57, 428, 236, 587, 33, 465, 583, 517]"
21,22,0.0718073844909668,123.2598,"[433, 104, 22, 40, 232, 51, 139, 355, 340, 184, 218, 729, 206, 57, 428, 236, 587, 33, 465, 583, 517, 292]"
22,23,0.0718073844909668,125.247,"[433, 104, 22, 40, 232, 51, 139, 355, 340, 184, 218, 729, 206, 57, 428, 236, 587, 33, 465, 583, 517, 292, 362]"
23,24,0.0718073844909668,127.3327,"[433, 104, 22, 40, 232, 51, 139, 355, 340, 184, 218, 729, 206, 57, 428, 236, 587, 33, 465, 583, 517, 292, 362, 437]"
24,25,0.07280445098876953,129.0556,"[433, 104, 22, 40, 232, 51, 139, 355, 340, 184, 218, 729, 206, 57, 428, 236, 587, 33, 465, 583, 517, 292, 362, 437, 430]"
25,26,0.07280445098876953,132.9826,"[433, 104, 22, 40, 232, 51, 139, 355, 340, 184, 218, 729, 206, 57, 428, 236, 587, 33, 465, 583, 517, 292, 362, 437, 430, 563]"
26,27,0.07280445098876953,135.7689,"[433, 104, 22, 40, 232, 51, 139, 355, 340, 184, 218, 729, 206, 57, 428, 236, 587, 33, 465, 583, 517, 292, 362, 437, 430, 563, 89]"
27,28,0.07280445098876953,137.9464,"[433, 104, 22, 40, 232, 51, 139, 355, 340, 184, 218, 729, 206, 57, 428, 236, 587, 33, 465, 583, 517, 292, 362, 437, 430, 563, 89, 567]"
28,29,0.07280445098876953,140.0536,"[433, 104, 22, 40, 232, 51, 139, 355, 340, 184, 218, 729, 206, 57, 428, 236, 587, 33, 465, 583, 517, 292, 362, 437, 430, 563, 89, 567, 100]"
29,30,0.07280445098876953,142.2427,"[433, 104, 22, 40, 232, 51, 139, 355, 340, 184, 218, 729, 206, 57, 428, 236, 587, 33, 465, 583, 517, 292, 362, 437, 430, 563, 89, 567, 100, 690]"
30,31,0.07380199432373047,143.9243,"[433, 104, 22, 40, 232, 51, 139, 355, 340, 184, 218, 729, 206, 57, 428, 236, 587, 33, 465, 583, 517, 292, 362, 437, 430, 563, 89, 567, 100, 690, 329]"
31,32,0.07380199432373047,145.5624,"[433, 104, 22, 40, 232, 51, 139, 355, 340, 184, 218, 729, 206, 57, 428, 236, 587, 33, 465, 583, 517, 292, 362, 437, 430, 563, 89, 567, 100, 690, 329, 335]"
32,33,0.07380199432373047,147.4025,"[433, 104, 22, 40, 232, 51, 139, 355, 340, 184, 218, 729, 206, 57, 428, 236, 587, 33, 465, 583, 517, 292, 362, 437, 430, 563, 89, 567, 100, 690, 329, 335, 230]"
33,34,0.07380199432373047,149.0895,"[433, 104, 22, 40, 232, 51, 139, 355, 340, 184, 218, 729, 206, 57, 428, 236, 587, 33, 465, 583, 517, 292, 362, 437, 430, 563, 89, 567, 100, 690, 329, 335, 230, 129]"
34,35,0.07380199432373047,151.4875,"[433, 104, 22, 40, 232, 51, 139, 355, 340, 184, 218, 729, 206, 57, 428, 236, 587, 33, 465, 583, 517, 292, 362, 437, 430, 563, 89, 567, 100, 690, 329, 335, 230, 129, 485]"
35,36,0.07380199432373047,152.8098,"[433, 104, 22, 40, 232, 51, 139, 355, 340, 184, 218, 729, 206, 57, 428, 236, 587, 33, 465, 583, 517, 292, 362, 437, 430, 563, 89, 567, 100, 690, 329, 335, 230, 129, 485, 91]"
