,k,run time,average cover size,S
0,1,64.22622609138489,3446.3120000000035,[11907]
1,2,64.2342050075531,3481.562000000005,"[11907, 25609]"
2,3,64.24517560005188,3478.023000000004,"[11907, 25609, 12650]"
3,4,64.25814127922058,3479.1120000000024,"[11907, 25609, 12650, 8515]"
4,5,64.26711678504944,3501.655999999997,"[11907, 25609, 12650, 8515, 8970]"
5,6,64.28008246421814,3495.5719999999988,"[11907, 25609, 12650, 8515, 8970, 5551]"
6,7,64.2910532951355,3501.9669999999996,"[11907, 25609, 12650, 8515, 8970, 5551, 1723]"
7,8,64.30002903938293,3506.037999999993,"[11907, 25609, 12650, 8515, 8970, 5551, 1723, 17529]"
8,9,64.31299424171448,3538.761000000002,"[11907, 25609, 12650, 8515, 8970, 5551, 1723, 17529, 10040]"
9,10,64.32396483421326,3540.9839999999967,"[11907, 25609, 12650, 8515, 8970, 5551, 1723, 17529, 10040, 27611]"
10,11,64.335932970047,3572.5349999999958,"[11907, 25609, 12650, 8515, 8970, 5551, 1723, 17529, 10040, 27611, 11454]"
11,12,64.34590649604797,3570.747999999997,"[11907, 25609, 12650, 8515, 8970, 5551, 1723, 17529, 10040, 27611, 11454, 19202]"
12,13,64.35587954521179,3568.7009999999937,"[11907, 25609, 12650, 8515, 8970, 5551, 1723, 17529, 10040, 27611, 11454, 19202, 1520]"
13,14,64.36984276771545,3633.5870000000054,"[11907, 25609, 12650, 8515, 8970, 5551, 1723, 17529, 10040, 27611, 11454, 19202, 1520, 4887]"
14,15,64.37782120704651,3662.9830000000015,"[11907, 25609, 12650, 8515, 8970, 5551, 1723, 17529, 10040, 27611, 11454, 19202, 1520, 4887, 16822]"
15,16,64.38879251480103,3666.7830000000017,"[11907, 25609, 12650, 8515, 8970, 5551, 1723, 17529, 10040, 27611, 11454, 19202, 1520, 4887, 16822, 19780]"
16,17,64.39876508712769,3664.7050000000017,"[11907, 25609, 12650, 8515, 8970, 5551, 1723, 17529, 10040, 27611, 11454, 19202, 1520, 4887, 16822, 19780, 15347]"
17,18,64.41173100471497,3666.7620000000024,"[11907, 25609, 12650, 8515, 8970, 5551, 1723, 17529, 10040, 27611, 11454, 19202, 1520, 4887, 16822, 19780, 15347, 12914]"
18,19,64.42469573020935,3731.3190000000036,"[11907, 25609, 12650, 8515, 8970, 5551, 1723, 17529, 10040, 27611, 11454, 19202, 1520, 4887, 16822, 19780, 15347, 12914, 21735]"
19,20,64.43766117095947,3733.308000000003,"[11907, 25609, 12650, 8515, 8970, 5551, 1723, 17529, 10040, 27611, 11454, 19202, 1520, 4887, 16822, 19780, 15347, 12914, 21735, 14896]"
20,21,64.4506266117096,3736.5339999999956,"[11907, 25609, 12650, 8515, 8970, 5551, 1723, 17529, 10040, 27611, 11454, 19202, 1520, 4887, 16822, 19780, 15347, 12914, 21735, 14896, 9367]"
21,22,64.45960235595703,3796.3140000000035,"[11907, 25609, 12650, 8515, 8970, 5551, 1723, 17529, 10040, 27611, 11454, 19202, 1520, 4887, 16822, 19780, 15347, 12914, 21735, 14896, 9367, 109]"
22,23,64.46758103370667,3811.3530000000005,"[11907, 25609, 12650, 8515, 8970, 5551, 1723, 17529, 10040, 27611, 11454, 19202, 1520, 4887, 16822, 19780, 15347, 12914, 21735, 14896, 9367, 109, 12832]"
23,24,64.48054647445679,3811.180000000005,"[11907, 25609, 12650, 8515, 8970, 5551, 1723, 17529, 10040, 27611, 11454, 19202, 1520, 4887, 16822, 19780, 15347, 12914, 21735, 14896, 9367, 109, 12832, 2438]"
24,25,64.49351167678833,3861.354999999997,"[11907, 25609, 12650, 8515, 8970, 5551, 1723, 17529, 10040, 27611, 11454, 19202, 1520, 4887, 16822, 19780, 15347, 12914, 21735, 14896, 9367, 109, 12832, 2438, 5980]"
25,26,64.50547885894775,3858.0140000000033,"[11907, 25609, 12650, 8515, 8970, 5551, 1723, 17529, 10040, 27611, 11454, 19202, 1520, 4887, 16822, 19780, 15347, 12914, 21735, 14896, 9367, 109, 12832, 2438, 5980, 15806]"
26,27,64.51844453811646,3862.7089999999985,"[11907, 25609, 12650, 8515, 8970, 5551, 1723, 17529, 10040, 27611, 11454, 19202, 1520, 4887, 16822, 19780, 15347, 12914, 21735, 14896, 9367, 109, 12832, 2438, 5980, 15806, 15758]"
27,28,64.53141069412231,3867.5429999999997,"[11907, 25609, 12650, 8515, 8970, 5551, 1723, 17529, 10040, 27611, 11454, 19202, 1520, 4887, 16822, 19780, 15347, 12914, 21735, 14896, 9367, 109, 12832, 2438, 5980, 15806, 15758, 809]"
