,S,average cover size,k,run time
0,[1143],89.774,1,0.21875214576721191
1,"[1143, 435]",129.597,2,0.21875214576721191
2,"[1143, 435, 604]",188.916,3,0.23435711860656738
3,"[1143, 435, 604, 970]",216.118,4,0.24994468688964844
4,"[1143, 435, 604, 970, 897]",227.391,5,0.2812230587005615
5,"[1143, 435, 604, 970, 897, 521]",242.529,6,0.29684925079345703
6,"[1143, 435, 604, 970, 897, 521, 638]",294.206,7,0.31246352195739746
7,"[1143, 435, 604, 970, 897, 521, 638, 636]",335.604,8,0.32808732986450195
8,"[1143, 435, 604, 970, 897, 521, 638, 636, 369]",353.006,9,0.34371352195739746
9,"[1143, 435, 604, 970, 897, 521, 638, 636, 369, 460]",365.046,10,0.35932302474975586
10,"[1143, 435, 604, 970, 897, 521, 638, 636, 369, 460, 418]",375.066,11,0.35932302474975586
11,"[1143, 435, 604, 970, 897, 521, 638, 636, 369, 460, 418, 4466]",391.5,12,0.37494730949401855
12,"[1143, 435, 604, 970, 897, 521, 638, 636, 369, 460, 418, 4466, 1179]",416.074,13,0.37494730949401855
13,"[1143, 435, 604, 970, 897, 521, 638, 636, 369, 460, 418, 4466, 1179, 111]",472.46,14,0.3905367851257324
14,"[1143, 435, 604, 970, 897, 521, 638, 636, 369, 460, 418, 4466, 1179, 111, 324]",516.12,15,0.4061570167541504
15,"[1143, 435, 604, 970, 897, 521, 638, 636, 369, 460, 418, 4466, 1179, 111, 324, 631]",535.376,16,0.42177462577819824
16,"[1143, 435, 604, 970, 897, 521, 638, 636, 369, 460, 418, 4466, 1179, 111, 324, 631, 520]",552.483,17,0.42177462577819824
17,"[1143, 435, 604, 970, 897, 521, 638, 636, 369, 460, 418, 4466, 1179, 111, 324, 631, 520, 370]",567.003,18,0.4373972415924072
18,"[1143, 435, 604, 970, 897, 521, 638, 636, 369, 460, 418, 4466, 1179, 111, 324, 631, 520, 370, 795]",592.847,19,0.45305490493774414
19,"[1143, 435, 604, 970, 897, 521, 638, 636, 369, 460, 418, 4466, 1179, 111, 324, 631, 520, 370, 795, 2019]",620.094,20,0.45305490493774414
20,"[1143, 435, 604, 970, 897, 521, 638, 636, 369, 460, 418, 4466, 1179, 111, 324, 631, 520, 370, 795, 2019, 346]",625.545,21,0.4745814800262451
21,"[1143, 435, 604, 970, 897, 521, 638, 636, 369, 460, 418, 4466, 1179, 111, 324, 631, 520, 370, 795, 2019, 346, 1338]",655.997,22,0.4882991313934326
22,"[1143, 435, 604, 970, 897, 521, 638, 636, 369, 460, 418, 4466, 1179, 111, 324, 631, 520, 370, 795, 2019, 346, 1338, 179]",684.384,23,0.4882991313934326
23,"[1143, 435, 604, 970, 897, 521, 638, 636, 369, 460, 418, 4466, 1179, 111, 324, 631, 520, 370, 795, 2019, 346, 1338, 179, 777]",712.756,24,0.5039243698120117
24,"[1143, 435, 604, 970, 897, 521, 638, 636, 369, 460, 418, 4466, 1179, 111, 324, 631, 520, 370, 795, 2019, 346, 1338, 179, 777, 2115]",731.558,25,0.5039243698120117
25,"[1143, 435, 604, 970, 897, 521, 638, 636, 369, 460, 418, 4466, 1179, 111, 324, 631, 520, 370, 795, 2019, 346, 1338, 179, 777, 2115, 689]",744.845,26,0.5195877552032471
26,"[1143, 435, 604, 970, 897, 521, 638, 636, 369, 460, 418, 4466, 1179, 111, 324, 631, 520, 370, 795, 2019, 346, 1338, 179, 777, 2115, 689, 300]",790.175,27,0.5352070331573486
27,"[1143, 435, 604, 970, 897, 521, 638, 636, 369, 460, 418, 4466, 1179, 111, 324, 631, 520, 370, 795, 2019, 346, 1338, 179, 777, 2115, 689, 300, 653]",797.045,28,0.5352070331573486
28,"[1143, 435, 604, 970, 897, 521, 638, 636, 369, 460, 418, 4466, 1179, 111, 324, 631, 520, 370, 795, 2019, 346, 1338, 179, 777, 2115, 689, 300, 653, 1406]",818.71,29,0.5352070331573486
29,"[1143, 435, 604, 970, 897, 521, 638, 636, 369, 460, 418, 4466, 1179, 111, 324, 631, 520, 370, 795, 2019, 346, 1338, 179, 777, 2115, 689, 300, 653, 1406, 702]",839.864,30,0.5508301258087158
30,"[1143, 435, 604, 970, 897, 521, 638, 636, 369, 460, 418, 4466, 1179, 111, 324, 631, 520, 370, 795, 2019, 346, 1338, 179, 777, 2115, 689, 300, 653, 1406, 702, 738]",840.555,31,0.5508301258087158
31,"[1143, 435, 604, 970, 897, 521, 638, 636, 369, 460, 418, 4466, 1179, 111, 324, 631, 520, 370, 795, 2019, 346, 1338, 179, 777, 2115, 689, 300, 653, 1406, 702, 738, 1381]",865.314,32,0.5664503574371338
32,"[1143, 435, 604, 970, 897, 521, 638, 636, 369, 460, 418, 4466, 1179, 111, 324, 631, 520, 370, 795, 2019, 346, 1338, 179, 777, 2115, 689, 300, 653, 1406, 702, 738, 1381, 1905]",879.705,33,0.5820319652557373
33,"[1143, 435, 604, 970, 897, 521, 638, 636, 369, 460, 418, 4466, 1179, 111, 324, 631, 520, 370, 795, 2019, 346, 1338, 179, 777, 2115, 689, 300, 653, 1406, 702, 738, 1381, 1905, 508]",892.141,34,0.5820319652557373
34,"[1143, 435, 604, 970, 897, 521, 638, 636, 369, 460, 418, 4466, 1179, 111, 324, 631, 520, 370, 795, 2019, 346, 1338, 179, 777, 2115, 689, 300, 653, 1406, 702, 738, 1381, 1905, 508, 2456]",901.605,35,0.5820319652557373
35,"[1143, 435, 604, 970, 897, 521, 638, 636, 369, 460, 418, 4466, 1179, 111, 324, 631, 520, 370, 795, 2019, 346, 1338, 179, 777, 2115, 689, 300, 653, 1406, 702, 738, 1381, 1905, 508, 2456, 354]",918.759,36,0.5976910591125488
36,"[1143, 435, 604, 970, 897, 521, 638, 636, 369, 460, 418, 4466, 1179, 111, 324, 631, 520, 370, 795, 2019, 346, 1338, 179, 777, 2115, 689, 300, 653, 1406, 702, 738, 1381, 1905, 508, 2456, 354, 372]",938.852,37,0.5976910591125488
37,"[1143, 435, 604, 970, 897, 521, 638, 636, 369, 460, 418, 4466, 1179, 111, 324, 631, 520, 370, 795, 2019, 346, 1338, 179, 777, 2115, 689, 300, 653, 1406, 702, 738, 1381, 1905, 508, 2456, 354, 372, 3493]",947.922,38,0.6133124828338623
38,"[1143, 435, 604, 970, 897, 521, 638, 636, 369, 460, 418, 4466, 1179, 111, 324, 631, 520, 370, 795, 2019, 346, 1338, 179, 777, 2115, 689, 300, 653, 1406, 702, 738, 1381, 1905, 508, 2456, 354, 372, 3493, 3224]",957.29,39,0.6133124828338623
39,"[1143, 435, 604, 970, 897, 521, 638, 636, 369, 460, 418, 4466, 1179, 111, 324, 631, 520, 370, 795, 2019, 346, 1338, 179, 777, 2115, 689, 300, 653, 1406, 702, 738, 1381, 1905, 508, 2456, 354, 372, 3493, 3224, 1545]",969.533,40,0.6288962364196777
40,"[1143, 435, 604, 970, 897, 521, 638, 636, 369, 460, 418, 4466, 1179, 111, 324, 631, 520, 370, 795, 2019, 346, 1338, 179, 777, 2115, 689, 300, 653, 1406, 702, 738, 1381, 1905, 508, 2456, 354, 372, 3493, 3224, 1545, 22]",978.293,41,0.6288962364196777
41,"[1143, 435, 604, 970, 897, 521, 638, 636, 369, 460, 418, 4466, 1179, 111, 324, 631, 520, 370, 795, 2019, 346, 1338, 179, 777, 2115, 689, 300, 653, 1406, 702, 738, 1381, 1905, 508, 2456, 354, 372, 3493, 3224, 1545, 22, 143]",994.092,42,0.6445162296295166
42,"[1143, 435, 604, 970, 897, 521, 638, 636, 369, 460, 418, 4466, 1179, 111, 324, 631, 520, 370, 795, 2019, 346, 1338, 179, 777, 2115, 689, 300, 653, 1406, 702, 738, 1381, 1905, 508, 2456, 354, 372, 3493, 3224, 1545, 22, 143, 467]",995.141,43,0.6445162296295166
43,"[1143, 435, 604, 970, 897, 521, 638, 636, 369, 460, 418, 4466, 1179, 111, 324, 631, 520, 370, 795, 2019, 346, 1338, 179, 777, 2115, 689, 300, 653, 1406, 702, 738, 1381, 1905, 508, 2456, 354, 372, 3493, 3224, 1545, 22, 143, 467, 4262]",1015.649,44,0.6601393222808838
44,"[1143, 435, 604, 970, 897, 521, 638, 636, 369, 460, 418, 4466, 1179, 111, 324, 631, 520, 370, 795, 2019, 346, 1338, 179, 777, 2115, 689, 300, 653, 1406, 702, 738, 1381, 1905, 508, 2456, 354, 372, 3493, 3224, 1545, 22, 143, 467, 4262, 955]",1036.399,45,0.6781384944915771
45,"[1143, 435, 604, 970, 897, 521, 638, 636, 369, 460, 418, 4466, 1179, 111, 324, 631, 520, 370, 795, 2019, 346, 1338, 179, 777, 2115, 689, 300, 653, 1406, 702, 738, 1381, 1905, 508, 2456, 354, 372, 3493, 3224, 1545, 22, 143, 467, 4262, 955, 3146]",1040.005,46,0.6844124794006348
46,"[1143, 435, 604, 970, 897, 521, 638, 636, 369, 460, 418, 4466, 1179, 111, 324, 631, 520, 370, 795, 2019, 346, 1338, 179, 777, 2115, 689, 300, 653, 1406, 702, 738, 1381, 1905, 508, 2456, 354, 372, 3493, 3224, 1545, 22, 143, 467, 4262, 955, 3146, 97]",1062.185,47,0.6844124794006348
47,"[1143, 435, 604, 970, 897, 521, 638, 636, 369, 460, 418, 4466, 1179, 111, 324, 631, 520, 370, 795, 2019, 346, 1338, 179, 777, 2115, 689, 300, 653, 1406, 702, 738, 1381, 1905, 508, 2456, 354, 372, 3493, 3224, 1545, 22, 143, 467, 4262, 955, 3146, 97, 1526]",1068.519,48,0.700040340423584
48,"[1143, 435, 604, 970, 897, 521, 638, 636, 369, 460, 418, 4466, 1179, 111, 324, 631, 520, 370, 795, 2019, 346, 1338, 179, 777, 2115, 689, 300, 653, 1406, 702, 738, 1381, 1905, 508, 2456, 354, 372, 3493, 3224, 1545, 22, 143, 467, 4262, 955, 3146, 97, 1526, 1446]",1074.948,49,0.700040340423584
49,"[1143, 435, 604, 970, 897, 521, 638, 636, 369, 460, 418, 4466, 1179, 111, 324, 631, 520, 370, 795, 2019, 346, 1338, 179, 777, 2115, 689, 300, 653, 1406, 702, 738, 1381, 1905, 508, 2456, 354, 372, 3493, 3224, 1545, 22, 143, 467, 4262, 955, 3146, 97, 1526, 1446, 846]",1082.21,50,0.7156631946563721
