,S,average cover size,k,run time
0,[107],844.934,1,0.5392389297485352
1,"[107, 1912]",1053.725,2,0.5392389297485352
2,"[107, 1912, 3437]",1321.409,3,0.5392389297485352
3,"[107, 1912, 3437, 0]",1636.872,4,0.5392389297485352
4,"[107, 1912, 3437, 0, 686]",1744.895,5,0.5548593997955322
5,"[107, 1912, 3437, 0, 686, 2742]",1768.214,6,0.5548593997955322
6,"[107, 1912, 3437, 0, 686, 2742, 2754]",1770.734,7,0.5548593997955322
7,"[107, 1912, 3437, 0, 686, 2742, 2754, 2661]",1805.943,8,0.5548593997955322
8,"[107, 1912, 3437, 0, 686, 2742, 2754, 2661, 2669]",1815.244,9,0.5548593997955322
9,"[107, 1912, 3437, 0, 686, 2742, 2754, 2661, 2669, 373]",1818.059,10,0.5548593997955322
10,"[107, 1912, 3437, 0, 686, 2742, 2754, 2661, 2669, 373, 2730]",1831.779,11,0.5548593997955322
11,"[107, 1912, 3437, 0, 686, 2742, 2754, 2661, 2669, 373, 2730, 2664]",1843.997,12,0.5548593997955322
12,"[107, 1912, 3437, 0, 686, 2742, 2754, 2661, 2669, 373, 2730, 2664, 370]",1846.5,13,0.5548593997955322
13,"[107, 1912, 3437, 0, 686, 2742, 2754, 2661, 2669, 373, 2730, 2664, 370, 2724]",1848.388,14,0.5548593997955322
14,"[107, 1912, 3437, 0, 686, 2742, 2754, 2661, 2669, 373, 2730, 2664, 370, 2724, 2666]",1870.974,15,0.5548593997955322
15,"[107, 1912, 3437, 0, 686, 2742, 2754, 2661, 2669, 373, 2730, 2664, 370, 2724, 2666, 3980]",1887.558,16,0.5548593997955322
16,"[107, 1912, 3437, 0, 686, 2742, 2754, 2661, 2669, 373, 2730, 2664, 370, 2724, 2666, 3980, 2729]",1886.937,17,0.5548593997955322
17,"[107, 1912, 3437, 0, 686, 2742, 2754, 2661, 2669, 373, 2730, 2664, 370, 2724, 2666, 3980, 2729, 2741]",1896.565,18,0.5548593997955322
18,"[107, 1912, 3437, 0, 686, 2742, 2754, 2661, 2669, 373, 2730, 2664, 370, 2724, 2666, 3980, 2729, 2741, 2665]",1899.873,19,0.5548593997955322
19,"[107, 1912, 3437, 0, 686, 2742, 2754, 2661, 2669, 373, 2730, 2664, 370, 2724, 2666, 3980, 2729, 2741, 2665, 422]",1896.078,20,0.5548593997955322
20,"[107, 1912, 3437, 0, 686, 2742, 2754, 2661, 2669, 373, 2730, 2664, 370, 2724, 2666, 3980, 2729, 2741, 2665, 422, 2720]",1899.618,21,0.5548593997955322
21,"[107, 1912, 3437, 0, 686, 2742, 2754, 2661, 2669, 373, 2730, 2664, 370, 2724, 2666, 3980, 2729, 2741, 2665, 422, 2720, 2712]",1904.058,22,0.5704803466796875
22,"[107, 1912, 3437, 0, 686, 2742, 2754, 2661, 2669, 373, 2730, 2664, 370, 2724, 2666, 3980, 2729, 2741, 2665, 422, 2720, 2712, 2681]",1914.116,23,0.5704803466796875
23,"[107, 1912, 3437, 0, 686, 2742, 2754, 2661, 2669, 373, 2730, 2664, 370, 2724, 2666, 3980, 2729, 2741, 2665, 422, 2720, 2712, 2681, 360]",1919.045,24,0.5704803466796875
24,"[107, 1912, 3437, 0, 686, 2742, 2754, 2661, 2669, 373, 2730, 2664, 370, 2724, 2666, 3980, 2729, 2741, 2665, 422, 2720, 2712, 2681, 360, 404]",1918.579,25,0.5704803466796875
25,"[107, 1912, 3437, 0, 686, 2742, 2754, 2661, 2669, 373, 2730, 2664, 370, 2724, 2666, 3980, 2729, 2741, 2665, 422, 2720, 2712, 2681, 360, 404, 2787]",1930.816,26,0.5704803466796875
26,"[107, 1912, 3437, 0, 686, 2742, 2754, 2661, 2669, 373, 2730, 2664, 370, 2724, 2666, 3980, 2729, 2741, 2665, 422, 2720, 2712, 2681, 360, 404, 2787, 355]",1932.724,27,0.5704803466796875
