,S,average cover size,k,run time
0,[9994],16.298,1,1.0587549209594727
1,"[9994, 9261]",20.295,2,1.0743763446807861
2,"[9994, 9261, 13245]",25.419,3,1.0743763446807861
3,"[9994, 9261, 13245, 3138]",51.811,4,1.0743763446807861
4,"[9994, 9261, 13245, 3138, 131]",3304.407,5,1.089996576309204
5,"[9994, 9261, 13245, 3138, 131, 100]",3326.765,6,1.1056630611419678
6,"[9994, 9261, 13245, 3138, 131, 100, 266]",3324.062,7,1.1056630611419678
7,"[9994, 9261, 13245, 3138, 131, 100, 266, 196]",3324.791,8,1.1056630611419678
8,"[9994, 9261, 13245, 3138, 131, 100, 266, 196, 525]",3322.681,9,1.1212406158447266
9,"[9994, 9261, 13245, 3138, 131, 100, 266, 196, 525, 88]",3338.918,10,1.1212406158447266
10,"[9994, 9261, 13245, 3138, 131, 100, 266, 196, 525, 88, 599]",3344.65,11,1.1212406158447266
11,"[9994, 9261, 13245, 3138, 131, 100, 266, 196, 525, 88, 599, 1162]",3352.275,12,1.1368598937988281
12,"[9994, 9261, 13245, 3138, 131, 100, 266, 196, 525, 88, 599, 1162, 1292]",3349.054,13,1.1368598937988281
13,"[9994, 9261, 13245, 3138, 131, 100, 266, 196, 525, 88, 599, 1162, 1292, 128]",3354.573,14,1.1524817943572998
14,"[9994, 9261, 13245, 3138, 131, 100, 266, 196, 525, 88, 599, 1162, 1292, 128, 457]",3359.516,15,1.1524817943572998
15,"[9994, 9261, 13245, 3138, 131, 100, 266, 196, 525, 88, 599, 1162, 1292, 128, 457, 1175]",3371.694,16,1.168107032775879
16,"[9994, 9261, 13245, 3138, 131, 100, 266, 196, 525, 88, 599, 1162, 1292, 128, 457, 1175, 156]",3358.168,17,1.168107032775879
17,"[9994, 9261, 13245, 3138, 131, 100, 266, 196, 525, 88, 599, 1162, 1292, 128, 457, 1175, 156, 1645]",3381.307,18,1.168107032775879
18,"[9994, 9261, 13245, 3138, 131, 100, 266, 196, 525, 88, 599, 1162, 1292, 128, 457, 1175, 156, 1645, 1060]",3373.894,19,1.1837260723114014
