,S,average cover size,k,run time
0,[4115],462.129,1,5.3653724193573
1,"[4115, 1520]",524.025,2,5.396610975265503
2,"[4115, 1520, 1145]",530.465,3,5.4122350215911865
3,"[4115, 1520, 1145, 26536]",780.102,4,5.427856206893921
4,"[4115, 1520, 1145, 26536, 15347]",820.803,5,5.443480968475342
5,"[4115, 1520, 1145, 26536, 15347, 21735]",871.862,6,5.4590983390808105
6,"[4115, 1520, 1145, 26536, 15347, 21735, 12628]",986.751,7,5.474754333496094
7,"[4115, 1520, 1145, 26536, 15347, 21735, 12628, 364]",965.763,8,5.49037504196167
8,"[4115, 1520, 1145, 26536, 15347, 21735, 12628, 364, 3333]",1169.799,9,5.505959749221802
9,"[4115, 1520, 1145, 26536, 15347, 21735, 12628, 364, 3333, 13683]",1210.516,10,5.521585941314697
10,"[4115, 1520, 1145, 26536, 15347, 21735, 12628, 364, 3333, 13683, 809]",1403.667,11,5.537239074707031
11,"[4115, 1520, 1145, 26536, 15347, 21735, 12628, 364, 3333, 13683, 809, 10509]",1455.229,12,5.552861213684082
12,"[4115, 1520, 1145, 26536, 15347, 21735, 12628, 364, 3333, 13683, 809, 10509, 10713]",1487.13,13,5.568449258804321
13,"[4115, 1520, 1145, 26536, 15347, 21735, 12628, 364, 3333, 13683, 809, 10509, 10713, 5551]",1656.012,14,5.5996925830841064
14,"[4115, 1520, 1145, 26536, 15347, 21735, 12628, 364, 3333, 13683, 809, 10509, 10713, 5551, 13941]",1655.478,15,5.615351438522339
15,"[4115, 1520, 1145, 26536, 15347, 21735, 12628, 364, 3333, 13683, 809, 10509, 10713, 5551, 13941, 11030]",1720.203,16,5.642947196960449
16,"[4115, 1520, 1145, 26536, 15347, 21735, 12628, 364, 3333, 13683, 809, 10509, 10713, 5551, 13941, 11030, 17529]",1796.884,17,5.650349378585815
17,"[4115, 1520, 1145, 26536, 15347, 21735, 12628, 364, 3333, 13683, 809, 10509, 10713, 5551, 13941, 11030, 17529, 4259]",1800.546,18,5.681600093841553
18,"[4115, 1520, 1145, 26536, 15347, 21735, 12628, 364, 3333, 13683, 809, 10509, 10713, 5551, 13941, 11030, 17529, 4259, 10040]",1868.24,19,5.697220325469971
19,"[4115, 1520, 1145, 26536, 15347, 21735, 12628, 364, 3333, 13683, 809, 10509, 10713, 5551, 13941, 11030, 17529, 4259, 10040, 5378]",1881.743,20,5.728461742401123
20,"[4115, 1520, 1145, 26536, 15347, 21735, 12628, 364, 3333, 13683, 809, 10509, 10713, 5551, 13941, 11030, 17529, 4259, 10040, 5378, 4879]",1889.23,21,5.7597479820251465
21,"[4115, 1520, 1145, 26536, 15347, 21735, 12628, 364, 3333, 13683, 809, 10509, 10713, 5551, 13941, 11030, 17529, 4259, 10040, 5378, 4879, 6156]",1889.738,22,5.7597479820251465
22,"[4115, 1520, 1145, 26536, 15347, 21735, 12628, 364, 3333, 13683, 809, 10509, 10713, 5551, 13941, 11030, 17529, 4259, 10040, 5378, 4879, 6156, 1568]",1973.202,23,5.775372743606567
23,"[4115, 1520, 1145, 26536, 15347, 21735, 12628, 364, 3333, 13683, 809, 10509, 10713, 5551, 13941, 11030, 17529, 4259, 10040, 5378, 4879, 6156, 1568, 11907]",2089.386,24,5.790950536727905
24,"[4115, 1520, 1145, 26536, 15347, 21735, 12628, 364, 3333, 13683, 809, 10509, 10713, 5551, 13941, 11030, 17529, 4259, 10040, 5378, 4879, 6156, 1568, 11907, 7050]",2122.229,25,5.806572198867798
25,"[4115, 1520, 1145, 26536, 15347, 21735, 12628, 364, 3333, 13683, 809, 10509, 10713, 5551, 13941, 11030, 17529, 4259, 10040, 5378, 4879, 6156, 1568, 11907, 7050, 5061]",2175.471,26,5.822188854217529
26,"[4115, 1520, 1145, 26536, 15347, 21735, 12628, 364, 3333, 13683, 809, 10509, 10713, 5551, 13941, 11030, 17529, 4259, 10040, 5378, 4879, 6156, 1568, 11907, 7050, 5061, 5567]",2248.376,27,5.8463685512542725
27,"[4115, 1520, 1145, 26536, 15347, 21735, 12628, 364, 3333, 13683, 809, 10509, 10713, 5551, 13941, 11030, 17529, 4259, 10040, 5378, 4879, 6156, 1568, 11907, 7050, 5061, 5567, 5980]",2248.741,28,5.8776185512542725
28,"[4115, 1520, 1145, 26536, 15347, 21735, 12628, 364, 3333, 13683, 809, 10509, 10713, 5551, 13941, 11030, 17529, 4259, 10040, 5378, 4879, 6156, 1568, 11907, 7050, 5061, 5567, 5980, 16026]",2273.133,29,5.893276691436768
29,"[4115, 1520, 1145, 26536, 15347, 21735, 12628, 364, 3333, 13683, 809, 10509, 10713, 5551, 13941, 11030, 17529, 4259, 10040, 5378, 4879, 6156, 1568, 11907, 7050, 5061, 5567, 5980, 16026, 1743]",2286.513,30,5.9245219230651855
30,"[4115, 1520, 1145, 26536, 15347, 21735, 12628, 364, 3333, 13683, 809, 10509, 10713, 5551, 13941, 11030, 17529, 4259, 10040, 5378, 4879, 6156, 1568, 11907, 7050, 5061, 5567, 5980, 16026, 1743, 16822]",2340.766,31,5.940108299255371
31,"[4115, 1520, 1145, 26536, 15347, 21735, 12628, 364, 3333, 13683, 809, 10509, 10713, 5551, 13941, 11030, 17529, 4259, 10040, 5378, 4879, 6156, 1568, 11907, 7050, 5061, 5567, 5980, 16026, 1743, 16822, 17274]",2327.63,32,5.955729961395264
