,S,average cover size,k,run time
0,[104],76.0053,1,0.023935794830322266
1,"[104, 22]",125.7083,2,0.0249330997467041
2,"[104, 22, 134]",145.9334,3,0.025930166244506836
3,"[104, 22, 134, 133]",175.1134,4,0.026927471160888672
4,"[104, 22, 134, 133, 105]",212.9547,5,0.026927471160888672
5,"[104, 22, 134, 133, 105, 9]",321.911,6,0.02792501449584961
6,"[104, 22, 134, 133, 105, 9, 0]",413.1865,7,0.028922319412231445
7,"[104, 22, 134, 133, 105, 9, 0, 354]",418.4346,8,0.028922319412231445
8,"[104, 22, 134, 133, 105, 9, 0, 354, 340]",422.0643,9,0.02991962432861328
9,"[104, 22, 134, 133, 105, 9, 0, 354, 340, 375]",427.04,10,0.03091716766357422
10,"[104, 22, 134, 133, 105, 9, 0, 354, 340, 375, 236]",432.2239,11,0.03091716766357422
11,"[104, 22, 134, 133, 105, 9, 0, 354, 340, 375, 236, 302]",434.5601,12,0.031914472579956055
12,"[104, 22, 134, 133, 105, 9, 0, 354, 340, 375, 236, 302, 240]",436.5808,13,0.031914472579956055
13,"[104, 22, 134, 133, 105, 9, 0, 354, 340, 375, 236, 302, 240, 433]",439.2983,14,0.03291153907775879
14,"[104, 22, 134, 133, 105, 9, 0, 354, 340, 375, 236, 302, 240, 433, 184]",440.7668,15,0.03291153907775879
15,"[104, 22, 134, 133, 105, 9, 0, 354, 340, 375, 236, 302, 240, 433, 184, 192]",443.5833,16,0.033908843994140625
16,"[104, 22, 134, 133, 105, 9, 0, 354, 340, 375, 236, 302, 240, 433, 184, 192, 181]",447.0509,17,0.03490614891052246
17,"[104, 22, 134, 133, 105, 9, 0, 354, 340, 375, 236, 302, 240, 433, 184, 192, 181, 307]",449.2409,18,0.03490614891052246
18,"[104, 22, 134, 133, 105, 9, 0, 354, 340, 375, 236, 302, 240, 433, 184, 192, 181, 307, 459]",452.7423,19,0.0359036922454834
19,"[104, 22, 134, 133, 105, 9, 0, 354, 340, 375, 236, 302, 240, 433, 184, 192, 181, 307, 459, 103]",459.1895,20,0.0359036922454834
