,S,average cover size,k,run time
0,"[317, 1919, 2430, 8738, 24812]",10.716999999999926,5,6.928828599999999
1,"[317, 1919, 2430, 8738, 24812, 9369, 12333, 11175, 18051, 30818]",21.714999999999886,10,6.241814699999999
2,"[317, 1919, 2430, 8738, 24812, 9369, 12333, 11175, 18051, 30818, 21327, 21390, 27861, 22194, 33833]",34.07400000000003,15,6.276791599999996
3,"[317, 1919, 2430, 8738, 24812, 9369, 12333, 11175, 18051, 30818, 21327, 21390, 27861, 22194, 33833, 49554, 32338, 30201, 51509, 34307]",46.235999999999855,20,6.309515000000005
4,"[317, 1919, 2430, 8738, 24812, 9369, 12333, 11175, 18051, 30818, 21327, 21390, 27861, 22194, 33833, 49554, 32338, 30201, 51509, 34307, 56069, 28459, 73488, 74765, 50841]",60.02799999999989,25,6.903432300000006
5,"[317, 1919, 2430, 8738, 24812, 9369, 12333, 11175, 18051, 30818, 21327, 21390, 27861, 22194, 33833, 49554, 32338, 30201, 51509, 34307, 56069, 28459, 73488, 74765, 50841, 52491, 48098, 40973, 58146, 40989]",73.18000000000015,30,6.243115699999997
6,"[317, 1919, 2430, 8738, 24812, 9369, 12333, 11175, 18051, 30818, 21327, 21390, 27861, 22194, 33833, 49554, 32338, 30201, 51509, 34307, 56069, 28459, 73488, 74765, 50841, 52491, 48098, 40973, 58146, 40989, 39842, 46859, 66300, 44811, 49974]",84.46399999999986,35,7.254328800000003
7,"[317, 1919, 2430, 8738, 24812, 9369, 12333, 11175, 18051, 30818, 21327, 21390, 27861, 22194, 33833, 49554, 32338, 30201, 51509, 34307, 56069, 28459, 73488, 74765, 50841, 52491, 48098, 40973, 58146, 40989, 39842, 46859, 66300, 44811, 49974, 66517, 81619, 41100, 65477, 57481]",97.81099999999961,40,6.252417300000005
8,"[317, 1919, 2430, 8738, 24812, 9369, 12333, 11175, 18051, 30818, 21327, 21390, 27861, 22194, 33833, 49554, 32338, 30201, 51509, 34307, 56069, 28459, 73488, 74765, 50841, 52491, 48098, 40973, 58146, 40989, 39842, 46859, 66300, 44811, 49974, 66517, 81619, 41100, 65477, 57481, 63683, 70621, 80844, 75906, 73783]",109.16599999999963,45,6.214090200000001
9,"[317, 1919, 2430, 8738, 24812, 9369, 12333, 11175, 18051, 30818, 21327, 21390, 27861, 22194, 33833, 49554, 32338, 30201, 51509, 34307, 56069, 28459, 73488, 74765, 50841, 52491, 48098, 40973, 58146, 40989, 39842, 46859, 66300, 44811, 49974, 66517, 81619, 41100, 65477, 57481, 63683, 70621, 80844, 75906, 73783, 71008, 56237, 50057, 49646, 63660]",123.05799999999978,50,6.9628112999999985
