,S,average cover size,k,run time
0,"[72210, 31470, 20503, 4496, 38868]",779.2880000000008,5,7.2776198
1,"[72210, 31470, 20503, 4496, 38868, 32534, 12300, 130279, 18522, 13076]",1307.7849999999987,10,6.692276600000003
2,"[72210, 31470, 20503, 4496, 38868, 32534, 12300, 130279, 18522, 13076, 5209, 112650, 6760, 109015, 97287]",1822.180999999999,15,7.6192311
3,"[72210, 31470, 20503, 4496, 38868, 32534, 12300, 130279, 18522, 13076, 5209, 112650, 6760, 109015, 97287, 63460, 18285, 114914, 103756, 30679]",2041.5070000000005,20,7.425852800000001
4,"[72210, 31470, 20503, 4496, 38868, 32534, 12300, 130279, 18522, 13076, 5209, 112650, 6760, 109015, 97287, 63460, 18285, 114914, 103756, 30679, 34263, 89987, 42596, 34074, 28215]",2313.4119999999994,25,6.980018300000012
5,"[72210, 31470, 20503, 4496, 38868, 32534, 12300, 130279, 18522, 13076, 5209, 112650, 6760, 109015, 97287, 63460, 18285, 114914, 103756, 30679, 34263, 89987, 42596, 34074, 28215, 2488, 50180, 7538, 4972, 7427]",3456.6799999999976,30,7.4343006
6,"[72210, 31470, 20503, 4496, 38868, 32534, 12300, 130279, 18522, 13076, 5209, 112650, 6760, 109015, 97287, 63460, 18285, 114914, 103756, 30679, 34263, 89987, 42596, 34074, 28215, 2488, 50180, 7538, 4972, 7427, 77110, 45852, 28720, 85022, 30207]",3631.6139999999987,35,6.792816500000015
7,"[72210, 31470, 20503, 4496, 38868, 32534, 12300, 130279, 18522, 13076, 5209, 112650, 6760, 109015, 97287, 63460, 18285, 114914, 103756, 30679, 34263, 89987, 42596, 34074, 28215, 2488, 50180, 7538, 4972, 7427, 77110, 45852, 28720, 85022, 30207, 11123, 7691, 19238, 13124, 22203]",4472.137,40,7.560857800000008
8,"[72210, 31470, 20503, 4496, 38868, 32534, 12300, 130279, 18522, 13076, 5209, 112650, 6760, 109015, 97287, 63460, 18285, 114914, 103756, 30679, 34263, 89987, 42596, 34074, 28215, 2488, 50180, 7538, 4972, 7427, 77110, 45852, 28720, 85022, 30207, 11123, 7691, 19238, 13124, 22203, 17628, 17247, 9876, 75389, 287432]",4970.328000000008,45,6.755330999999984
9,"[72210, 31470, 20503, 4496, 38868, 32534, 12300, 130279, 18522, 13076, 5209, 112650, 6760, 109015, 97287, 63460, 18285, 114914, 103756, 30679, 34263, 89987, 42596, 34074, 28215, 2488, 50180, 7538, 4972, 7427, 77110, 45852, 28720, 85022, 30207, 11123, 7691, 19238, 13124, 22203, 17628, 17247, 9876, 75389, 287432, 228868, 63961, 42931, 318536, 155638]",5028.292999999996,50,7.423877199999993
