,S,average cover size,k,run time
0,"[645, 71399, 1059, 1596, 1225]",2929.146999999999,5,5.111434999999998
1,"[645, 71399, 1059, 1596, 1225, 629, 652, 3234, 22, 350]",3482.2610000000013,10,4.9421364000000025
2,"[645, 71399, 1059, 1596, 1225, 629, 652, 3234, 22, 350, 1483, 466, 1023, 2060, 849]",3662.385,15,5.189043799999993
3,"[645, 71399, 1059, 1596, 1225, 629, 652, 3234, 22, 350, 1483, 466, 1023, 2060, 849, 159, 437, 237, 828, 2067]",3729.3470000000007,20,4.961390499999993
4,"[645, 71399, 1059, 1596, 1225, 629, 652, 3234, 22, 350, 1483, 466, 1023, 2060, 849, 159, 437, 237, 828, 2067, 3284, 1626, 2205, 2646, 2183]",4109.6979999999985,25,4.988437799999986
5,"[645, 71399, 1059, 1596, 1225, 629, 652, 3234, 22, 350, 1483, 466, 1023, 2060, 849, 159, 437, 237, 828, 2067, 3284, 1626, 2205, 2646, 2183, 1629, 2249, 1206, 3924, 651]",4660.295000000002,30,4.720277299999992
6,"[645, 71399, 1059, 1596, 1225, 629, 652, 3234, 22, 350, 1483, 466, 1023, 2060, 849, 159, 437, 237, 828, 2067, 3284, 1626, 2205, 2646, 2183, 1629, 2249, 1206, 3924, 651, 1501, 5518, 5908, 617, 1529]",4950.2279999999955,35,5.047324500000002
7,"[645, 71399, 1059, 1596, 1225, 629, 652, 3234, 22, 350, 1483, 466, 1023, 2060, 849, 159, 437, 237, 828, 2067, 3284, 1626, 2205, 2646, 2183, 1629, 2249, 1206, 3924, 651, 1501, 5518, 5908, 617, 1529, 6055, 6489, 1209, 1234, 622]",5225.698000000006,40,5.091797299999996
8,"[645, 71399, 1059, 1596, 1225, 629, 652, 3234, 22, 350, 1483, 466, 1023, 2060, 849, 159, 437, 237, 828, 2067, 3284, 1626, 2205, 2646, 2183, 1629, 2249, 1206, 3924, 651, 1501, 5518, 5908, 617, 1529, 6055, 6489, 1209, 1234, 622, 2057, 485, 932, 829, 1056]",5309.585999999993,45,5.065659100000005
9,"[645, 71399, 1059, 1596, 1225, 629, 652, 3234, 22, 350, 1483, 466, 1023, 2060, 849, 159, 437, 237, 828, 2067, 3284, 1626, 2205, 2646, 2183, 1629, 2249, 1206, 3924, 651, 1501, 5518, 5908, 617, 1529, 6055, 6489, 1209, 1234, 622, 2057, 485, 932, 829, 1056, 5175, 1678, 1408, 1684, 6772]",5399.734000000005,50,5.029920500000003
