,S,average cover size,k,run time
0,"[11404, 9261, 13245, 3597, 326]",81.24699999999983,5,0.2457932000000005
1,"[11404, 9261, 13245, 3597, 326, 1162, 2250, 2244, 1587, 1663]",145.92900000000014,10,0.14368809999999943
2,"[11404, 9261, 13245, 3597, 326, 1162, 2250, 2244, 1587, 1663, 196, 267, 287, 14, 592]",312.53200000000004,15,0.13904670000000063
3,"[11404, 9261, 13245, 3597, 326, 1162, 2250, 2244, 1587, 1663, 196, 267, 287, 14, 592, 525, 1175, 512, 80, 265]",383.9840000000004,20,0.25197119999999984
4,"[11404, 9261, 13245, 3597, 326, 1162, 2250, 2244, 1587, 1663, 196, 267, 287, 14, 592, 525, 1175, 512, 80, 265, 1059, 606, 5370, 2941, 329]",453.37199999999996,25,0.15604139999999944
5,"[11404, 9261, 13245, 3597, 326, 1162, 2250, 2244, 1587, 1663, 196, 267, 287, 14, 592, 525, 1175, 512, 80, 265, 1059, 606, 5370, 2941, 329, 2927, 28, 649, 5892, 103]",531.6250000000006,30,0.15326800000000063
6,"[11404, 9261, 13245, 3597, 326, 1162, 2250, 2244, 1587, 1663, 196, 267, 287, 14, 592, 525, 1175, 512, 80, 265, 1059, 606, 5370, 2941, 329, 2927, 28, 649, 5892, 103, 5389, 5651, 7438, 163, 2314]",566.0899999999997,35,0.17394070000000106
7,"[11404, 9261, 13245, 3597, 326, 1162, 2250, 2244, 1587, 1663, 196, 267, 287, 14, 592, 525, 1175, 512, 80, 265, 1059, 606, 5370, 2941, 329, 2927, 28, 649, 5892, 103, 5389, 5651, 7438, 163, 2314, 981, 4696, 1405, 5363, 6021]",589.3479999999998,40,0.19883120000000076
8,"[11404, 9261, 13245, 3597, 326, 1162, 2250, 2244, 1587, 1663, 196, 267, 287, 14, 592, 525, 1175, 512, 80, 265, 1059, 606, 5370, 2941, 329, 2927, 28, 649, 5892, 103, 5389, 5651, 7438, 163, 2314, 981, 4696, 1405, 5363, 6021, 5367, 4263, 1782, 8874, 8536]",614.2750000000002,45,0.14626349999999988
9,"[11404, 9261, 13245, 3597, 326, 1162, 2250, 2244, 1587, 1663, 196, 267, 287, 14, 592, 525, 1175, 512, 80, 265, 1059, 606, 5370, 2941, 329, 2927, 28, 649, 5892, 103, 5389, 5651, 7438, 163, 2314, 981, 4696, 1405, 5363, 6021, 5367, 4263, 1782, 8874, 8536, 10105, 308, 485, 1423, 7333]",645.5530000000001,50,0.14589580000000169
