,S,average cover size,k,run time
0,"[11404, 9261, 13245, 3597, 326]",6.517999999999959,5,0.21476300000000048
1,"[11404, 9261, 13245, 3597, 326, 1162, 2250, 2244, 1587, 1663]",12.625999999999923,10,0.1470065999999992
2,"[11404, 9261, 13245, 3597, 326, 1162, 2250, 2244, 1587, 1663, 196, 267, 287, 14, 592]",19.815999999999946,15,0.1500553
3,"[11404, 9261, 13245, 3597, 326, 1162, 2250, 2244, 1587, 1663, 196, 267, 287, 14, 592, 525, 512, 1175, 80, 265]",26.516999999999875,20,0.20325939999999942
4,"[11404, 9261, 13245, 3597, 326, 1162, 2250, 2244, 1587, 1663, 196, 267, 287, 14, 592, 525, 512, 1175, 80, 265, 606, 1059, 5370, 2941, 329]",32.94300000000002,25,0.1482473999999998
5,"[11404, 9261, 13245, 3597, 326, 1162, 2250, 2244, 1587, 1663, 196, 267, 287, 14, 592, 525, 512, 1175, 80, 265, 606, 1059, 5370, 2941, 329, 2927, 28, 649, 5892, 103]",39.01699999999996,30,0.14370749999999965
6,"[11404, 9261, 13245, 3597, 326, 1162, 2250, 2244, 1587, 1663, 196, 267, 287, 14, 592, 525, 512, 1175, 80, 265, 606, 1059, 5370, 2941, 329, 2927, 28, 649, 5892, 103, 5389, 5651, 7438, 163, 981]",44.97799999999987,35,0.14362589999999997
7,"[11404, 9261, 13245, 3597, 326, 1162, 2250, 2244, 1587, 1663, 196, 267, 287, 14, 592, 525, 512, 1175, 80, 265, 606, 1059, 5370, 2941, 329, 2927, 28, 649, 5892, 103, 5389, 5651, 7438, 163, 981, 2314, 4696, 1405, 5363, 5367]",50.602999999999774,40,0.19732320000000136
8,"[11404, 9261, 13245, 3597, 326, 1162, 2250, 2244, 1587, 1663, 196, 267, 287, 14, 592, 525, 512, 1175, 80, 265, 606, 1059, 5370, 2941, 329, 2927, 28, 649, 5892, 103, 5389, 5651, 7438, 163, 981, 2314, 4696, 1405, 5363, 5367, 6021, 1782, 8874, 8536, 10105]",56.324999999999804,45,0.13924959999999942
9,"[11404, 9261, 13245, 3597, 326, 1162, 2250, 2244, 1587, 1663, 196, 267, 287, 14, 592, 525, 512, 1175, 80, 265, 606, 1059, 5370, 2941, 329, 2927, 28, 649, 5892, 103, 5389, 5651, 7438, 163, 981, 2314, 4696, 1405, 5363, 5367, 6021, 1782, 8874, 8536, 10105, 308, 485, 1423, 7333, 871]",61.993,50,0.1418531999999999
